"dataset_link","u_id","public","derived_view","domain","type","name","visits","creation_date","last_update_date_data","publication_stage"
"https://dashboard.edmonton.ca/d/yuty-fysp","yuty-fysp","true","false","dashboard.edmonton.ca","dataset","Number of Electric Vehicle (EV) Charging Stations","86","2019-02-27T03:44:00.000Z","2019-02-27T03:56:00.000Z","published"
"https://dashboard.edmonton.ca/d/7cz8-x7b5","7cz8-x7b5","true","false","dashboard.edmonton.ca","dataset","Smaller European Elm Bark Beetle Monitoring","60","2019-02-21T22:32:00.000Z","2019-02-25T17:16:00.000Z","published"
"https://dashboard.edmonton.ca/d/rr4c-ywqz","rr4c-ywqz","true","false","dashboard.edmonton.ca","dataset","4.1 Number of City employees trained in open data","20","2018-12-17T21:37:00.000Z","2018-12-17T22:29:00.000Z","published"
"https://dashboard.edmonton.ca/d/xch4-ya2k","xch4-ya2k","true","false","dashboard.edmonton.ca","dataset","5.2 Percentage of justifications provided for declined open dataset requests","12","2018-12-17T21:37:00.000Z","2018-12-17T22:44:00.000Z","published"
"https://dashboard.edmonton.ca/d/bhkz-5wcb","bhkz-5wcb","true","false","dashboard.edmonton.ca","dataset","6.1 Number of research summaries released in the past 12 months to address the social and economic impacts of open data","14","2018-12-17T21:37:00.000Z","2018-12-17T22:46:00.000Z","published"
"https://dashboard.edmonton.ca/d/7erh-k3mm","7erh-k3mm","true","false","dashboard.edmonton.ca","dataset","5.1 Number of open data assets released","34","2018-12-17T21:37:00.000Z","2018-12-31T16:20:00.000Z","published"
"https://dashboard.edmonton.ca/d/fbvq-ay45","fbvq-ay45","true","false","dashboard.edmonton.ca","dataset","4.2 Number of training sessions organized","15","2018-12-17T21:37:00.000Z","2018-12-17T22:33:00.000Z","published"
"https://dashboard.edmonton.ca/d/ezez-nfp7","ezez-nfp7","true","false","dashboard.edmonton.ca","dataset","4.3 Number of citizens trained in open data","14","2018-12-17T21:37:00.000Z","2018-12-17T22:35:00.000Z","published"
"https://dashboard.edmonton.ca/d/iczp-dsga","iczp-dsga","true","false","dashboard.edmonton.ca","dataset","6.2 Number of open data applications and tools created in the past 12 months by external partners","16","2018-12-17T21:37:00.000Z","2018-12-19T23:22:00.000Z","published"
"https://dashboard.edmonton.ca/d/ev8y-7mfp","ev8y-7mfp","true","false","dashboard.edmonton.ca","dataset","3.3 Number of external assets hosted by the City","13","2018-12-17T21:37:00.000Z","2018-12-17T22:26:00.000Z","published"
