"corridor","corridor_description","corridor_num_and_description","fy","clean_corridor","type","detailed_type","midpoint_times","side_of_street","supdistrict","dpw_zone","representative_street_segment","cnn_route_id","evaluation_date","evaluator_name","inspector","_11_score_10_20_or_30_score","_21_litter_10_20_or_30_score","_22_grime_leaks_spills_of_sidewalk_w_out","_24_illegal_dumping_y_n_where_y_none","_251_feces_needles_condoms_y_n_where_y_none","_252_broken_glass_y_n_where_y_none","_26_odors_dpw","_27_odors_nondpw","_31_public_dpw","_32_public_nondpw","_33_private_please_indicate_nearest_address_on_attached_work_s","_34_sidewalk_on_sidewalk_preiously_23","total_trash_receptacles","_41_fullness","_42_cleanliness_of_trash_receptacles","_43_cleanliness_around_trash_receptacles","_44_painting","_45_structural_integrity_function","_46_doors","total_trees","_51_cleanliness","_52_tree_appearance","_53_weediness","_54_clearance","_11_pass","_21_pass","_22_pass","_31_pass","_32_pass","_33_pass","_34_pass","_41_pass","_42_pass","_43_pass","_44_pass","_45_pass","_46_pass","_51_pass","_52_pass","_53_pass","_54_pass","longitude","latitude","location","priority"
,"Guttenberg St -- Mission to Hanover",,"2017-18",,"Residential","Residential","Wed 12PM to 5PM","L","11","E","Guttenberg St  :  Pretor Way  -  Hanover St","6595000","2018-06-06T00:00:00.000","Jordan","JBR","1","1.0625","0.9725","1","1","1","1","1","0","1.375","0","0","0",,,,,,,"0",,,,,"1","1","1","1","0","1","1",,,,,,,,,,,"-122.4430004","37.70993461",,"Regular"
"60","Mission EE: Rolph to Foote","#60 Mission EE: Rolph to Foote","2017-18","Clean Corridor","Commercial","Commercial","Fri 12PM to 5PM","R","11","E","Mission St  :  Rolph St  -  Niagara Ave","9179000","2018-05-18T00:00:00.000","Jordan","JBR","1","1.208333333","0.9613888889","1","1","1","1","1","0","6.402777778","0","0.4722222222","1","1","1","1","1","1","1","23","0.8958333333","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","-122.4415543","37.71575344",,"Regular"
"53","Potrero B: 20th - Cesar Chavez","#53 Potrero B: 20th - Cesar Chavez","2017-18","Clean Corridor","Commercial","Residential/Commercial","Thu 12PM to 5PM","R","10","E","Potrero Ave  :  23rd St  -  24th St","10671000","2018-06-28T00:00:00.000","Jordan","JBR","1.4000000000000001","1.4000000000000001","0.9471666666666666","1","0","1","1","1","0.25","1.3666666666666665","0","0.6833333333333332","3","1","1","0.6666666666666666","1","1","1","23","0.8523809523809524","0.9444444444444445","1","1","1","1","1","0","0","1","0","1","1","0","1","1","1","0","1","1","1","-122.4064526","37.75427693",,"Regular"
"74","Van Ness 5: Mission - Golden Gate","#74 Van Ness 5: Mission - Golden Gate","2017-18",,"Commercial","Commercial","Fri 12PM to 5PM","L","6","B","South Van Ness Ave  :  Market St  -  Mission St","12015101","2018-06-22T00:00:00.000","Jordan","JBR","1.1","1.083333333","0.9551666667","1","1","1","1","1","0","2.683333333","0","0.8","10","1","1","1","1","1","1","43","0.8375","0.9375","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","-122.4192556","37.77514707",,"Regular"
,"28th Ave -- California to Cabrillo",,"2017-18",,"Residential","Residential","Fri 1st, 3rd 9AM to 11AM","R","1","C","28th Ave  :  Clement St  -  Geary Blvd","1578000","2018-06-01T00:00:00.000","Jordan","JBR","1.35","1.3","0.951","1","1","1","1","1","0","0.5","0","0.1","0",,,,,,,"14","0.9375","1","1","1","1","1","1","1","0","1","0",,,,,,,"1","1","1","1","-122.488085","37.7818745",,"Regular"
"47","3rd St D: Galvez - Oakdale","#47 3rd St D: Galvez - Oakdale","2017-18","Clean Corridor","Commercial","Commercial","Wed 12PM to 5PM","L","10","E","03rd St  :  Galvez Ave  -  Hudson Ave","204101","2018-06-06T00:00:00.000","Jordan","JBR","1","1","0.96125","1","1","1","1","1","0","1","0","0.125","12","1","1","1","1","1","1","52","0.8380952381","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","-122.3884759","37.74110763",,"Regular"
,"Silver Ave -- Santa Fe to Quint",,"2017-18",,"Residential","Residential","Fri 12PM to 5PM","R","10","E","Silver Ave  :  Topeka Ave  -  Thomas Ave","11934000","2018-06-01T00:00:00.000","Jordan","JBR","1.15","1.15","0.955","1","1","1","1","1","0","1.25","0","0.1","0",,,,,,,"10","1","1","1","1","1","1","1","1","0","1","0",,,,,,,"1","1","1","1","-122.4009524","37.7352614",,"Priority"
,"Dolores St -- 27th St to San Jose Ave",,"2017-18",,"Residential","Residential","Thurs 12PM to 5pm","L","8","D","Dolores St  :  Duncan St  -  28th St","4885101","2018-05-17T00:00:00.000","Jordan","JBR","1","1","0.9696428571","1","1","1","1","1","0","0.5","0","0.1785714286","1","1","1","1","1","1","1","49","0.9795918367","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","-122.4246028","37.7462414",,"Regular"
,"Steiner St -- Page to Hayes",,"2017-18",,"Residential","Residential","Mon 12PM to 5PM","R","5","C","Steiner St  :  Page St  -  Oak St","12122000","2018-05-21T00:00:00.000","Jordan","JBR","1","1","0.975","1","1","1","1","1","0","2","0","1.333333333","0",,,,,,,"25","0.9090909091","1","1","1","1","1","1","1","0","1","0",,,,,,,"1","1","1","1","-122.4322801","37.77282925",,"Regular"
,"Hampshire St -- 18th to 23rd",,"2017-18",,"Residential","Residential","Mon 8AM to 12PM","L","9","D","Hampshire St  :  22nd St  -  23rd St","6655000","2018-06-11T00:00:00.000","Jordan","JBR","1.05","1.05","0.9646666667","1","1","1","1","1","0","2.733333333","0","0.2166666667","0",,,,,,,"57","0.8704545455","1","1","1","1","1","1","1","0","1","0",,,,,,,"0","1","1","1","-122.4076019","37.75610878",,"Priority"
