"month","mobile","web","phone","twitter","summary"
"2022-07-10T18:49:00.000","36150","9239","13064","278","58731"
"2022-06-02T08:18:00.000","33972","9724","12927","239","56862"
"2022-05-06T07:28:00.000","32812","11364","12893","206","57275"
"2022-04-08T21:27:00.000","31966","9816","12772","183","54737"
"2022-03-01T08:13:00.000","33940","10513","13920","239","58612"
"2022-02-03T14:12:00.000","32130","9918","13098","232","55378"
"2022-01-10T13:44:00.000","38919","11165","14533","243","64860"
"2021-12-01T08:13:00.000","30786","9165","13276","181","53408"
"2021-11-04T08:22:00.000","36646","9750","14603","216","61215"
"2021-10-01T09:47:00.000","35519","11679","16118","229","63545"
"2021-09-06T01:07:00.000","35718","10145","14413","211","60487"
"2021-08-11T18:35:27.000","36794","10549","15001","225","62569"
"2021-07-17T21:04:00.000","34806","8900","14023","199","57928"
"2021-06-07T18:27:00.000","32632","9488","14071","172","56363"
"2021-05-10T17:50:00.000","27868","9339","13105","160","50472"
"2021-04-01T08:25:00.000","28086","13228","12741","153","54208"
"2021-03-01T19:06:00.000","29392","11033","13323","181","53929"
"2021-02-02T16:50:00.000","28614","9703","12169","136","50622"
"2021-01-07T16:47:00.000","35290","10998","14452","194","60934"
"2020-12-09T12:03:00.000","31395","9453","13603","172","54623"
"2020-11-12T07:29:56.000","30161","8754","13874","160","52949"
"2020-10-04T10:33:52.000","33526","9663","16071","191","59451"
"2020-09-01T06:11:00.000","34496","9419","15792","219","59926"
"2020-08-02T11:57:00.000","35603","9451","15871","351","61276"
"2020-07-07T09:52:00.000","31936","8914","16199","271","57320"
"2020-06-11T11:40:00.000","28853","9210","14551","248","52862"
"2020-05-13T17:07:00.000","27744","8019","13187","217","49167"
"2020-04-28T10:49:00.000","23331","7840","12827","232","44230"
"2020-03-01T19:11:00.000","29438","7569","15697","312","53016"
"2020-02-09T10:49:00.000","35621","9740","17440","317","63118"
"2020-01-06T10:13:54.000","38319","9099","18154","345","65917"
"2019-12-02T08:41:15.000","33159","8106","17189","269","58723"
"2019-11-05T21:57:32.000","30903","8253","17314","264","56734"
"2019-10-21T08:47:00.000","36002","10283","19666","276","66227"
"2019-09-01T00:48:00.000","34734","8671","19273","253","62931"
"2019-08-09T07:04:00.000","35966","9054","20001","276","65297"
"2019-07-07T10:27:20.000","34248","9124","18725","259","62356"
"2019-06-02T11:25:00.000","30793","8901","17796","267","57757"
