"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
"202109","SkyWest Airlines","OO","United Airlines","UA","Domestic","US","Passenger","Regional Jet","Bombardier","CRJ2","-","1189","55883000"
"202109","Frontier Airlines","F9","Frontier Airlines","F9","Domestic","US","Passenger","Narrow Body","Airbus","A320","-","19","2701762"
"202109","Air New Zealand","NZ","Air New Zealand","NZ","International","Australia / Oceania","Passenger","Wide Body","Boeing","B789","-","15","6375000"
"202109","Japan Airlines","JL","Japan Airlines","JL","International","Asia","Passenger","Wide Body","Boeing","B772","-","1","470000"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B738","-","20","2945500"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Passenger","Wide Body","Boeing","B773","-","6","3324000"
"202109","Air Canada","AC","Air Canada","AC","International","Canada","Passenger","Narrow Body","Airbus","A321","-","88","15093760"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B772","-","3","1410000"
"202109","Japan Airlines","JL","Japan Airlines","JL","International","Asia","Passenger","Wide Body","Boeing","B789","-","27","11475000"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B773","-","149","82546000"
"202109","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Passenger","Narrow Body","Airbus","A321","-","3","514560"
"202109","United Airlines","UA","United Airlines","UA","International","Mexico","Passenger","Narrow Body","Airbus","A320","-","78","11091444"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B789","-","91","38675000"
"202109","Swissport USA",,"Swissport USA",,"International","Asia","Passenger","Wide Body","Boeing","B789","-","2","850000"
"202109","China Southern","CZ","China Southern","CZ","International","Asia","Passenger","Wide Body","Airbus","A333","-","12","4894260"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B773","-","46","25484000"
"202109","Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Passenger","Wide Body","Airbus","A359","-","32","14462336"
"202109","China Airlines","CI","China Airlines","CI","International","Asia","Passenger","Wide Body","Boeing","B773","-","41","22714000"
"202109","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Passenger","Wide Body","Airbus","A333","-","16","6525680"
