"year","month","airline_code","airline","number_of_power_run_ups","number_of_power_run_ups_per_1000_departures","percentage_of_power_run_ups_for_the_period"
"2005","1","DHL","DHL","1","23.5","4.00"
"2005","1","AAL","AMERICAN AIRLINES","12","11.9","43.00"
"2005","1","UAL","UNITED AIR LINES","15","3.8","54.00"
"2005","2","DAL","DELTA AIR LINES","1","2.3","4.00"
"2005","2","KAL","KOREAN AIR","1","27.0","4.00"
"2005","2","AAL","AMERICAN AIRLINES","5","5.5","19.00"
"2005","2","UAL","UNITED AIR LINES","20","5.5","74.00"
"2005","3","AAL","AMERICAN AIRLINES","12","11.7","32.00"
"2005","3","UAL","UNITED AIR LINES","26","6.3","68.00"
"2005","4","AMT","AMERICAN TRANS AIR","1","6.8","3.00"
"2005","4","ASA","ALASKA AIRLINES","1","1.7","3.00"
"2005","4","AAL","AMERICAN AIRLINES","10","9.5","32.00"
"2005","4","UAL","UNITED AIR LINES","19","4.8","61.00"
"2005","5","ASA","ALASKA AIRLINES","1","1.8","3.00"
"2005","5","UAL","UNITED AIR LINES","13","3.1","35.00"
"2005","5","AAL","AMERICAN AIRLINES","23","21.5","62.00"
"2005","6","COA","CONTINENTAL AIR LINES","1","2.4","2.00"
"2005","6","ASA","ALASKA AIRLINES","2","3.8","5.00"
"2005","6","DAL","DELTA AIR LINES","3","5.8","7.00"
"2005","6","AAL","AMERICAN AIRLINES","17","15.7","40.0"
"2005","6","UAL","UNITED AIR LINES","20","4.7","47.00"
"2005","7","DAL","DELTA AIR LINES","1","1.9","3.00"
"2005","7","EJA","NETJETS AVIATION","1","4.3","3.00"
"2005","7","AAL","AMERICAN AIRLINES","12","11.0","36.00"
"2005","7","UAL","UNITED AIR LINES","19","4.5","58.00"
"2005","8","AMT","AMERICAN TRANS AIR","2","12.3","4.00"
"2005","8","DAL","DELTA AIR LINES","2","3.6","4.00"
"2005","8","AAL","AMERICAN AIRLINES","20","17.9","38.00"
"2005","8","UAL","UNITED AIR LINES","29","6.5","55.00"
"2005","9","COA","CONTINENTAL AIR LINES","1","2.7","2.00"
"2005","9","DAL","DELTA AIR LINES","2","3.3","5.00"
"2005","9","AAL","AMERICAN AIRLINES","10","9.7","24.00"
"2005","9","UAL","UNITED AIR LINES","28","6.7","68.00"
"2005","10","AWE","US AIRWAYS","1","2.8","3.00"
"2005","10","DAL","DELTA AIR LINES","1","1.6","3.00"
"2005","10","ASA","ALASKA AIRLINES","2","3.6","6.00"
"2005","10","AAL","AMERICAN AIRLINES","10","9.6","28.00"
"2005","10","UAL","UNITED AIR LINES","22","5.1","61.00"
"2005","11","DHL","DHL","1","24.4","2.00"
"2005","11","AAL","AMERICAN AIRLINES","20","19.4","49.00"
"2005","11","UAL","UNITED AIR LINES","20","4.8","49.00"
"2005","12","ASA","ALASKA AIRLINES","1","1.7","2.00"
"2005","12","AAL","AMERICAN AIRLINES","20","19.5","45.00"
"2005","12","UAL","UNITED AIR LINES","23","5.3","52.00"
"2006","1","DAL","DELTA AIR LINES","1","2.2","3.00"
"2006","1","AAL","AMERICAN AIRLINES","11","11.1","32.00"
"2006","1","UAL","UNITED AIR LINES","22","5.2","65.00"
"2006","2","AAL","AMERICAN AIRLINES","8","9.2","31.00"
"2006","2","UAL","UNITED AIR LINES","18","4.7","69.00"
"2006","3","ASA","ALASKA AIRLINES","1","1.6","3.00"
"2006","3","UAL","UNITED AIR LINES","17","4.0","45.00"
"2006","3","AAL","AMERICAN AIRLINES","20","20.4","53.00"
