"polygon_number","point_order","longitude","latitude","tractce10","aland10","geom"
"34","54","-122.36863","37.73211","980600","2132295","(37.7321070006376, -122.36862600009)"
"21","0","-122.44253","37.80695","012700","434518","(37.8069470003039, -122.442525000428)"
"21","247","-122.44422","37.80728","012700","434518","(37.8072760001873, -122.444216000168)"
"3","19","-122.42664","37.77833","016300","245867","(37.7783290007828, -122.426640999982)"
"34","90","-122.3652","37.73376","980600","2132295","(37.7337560002393, -122.365196000195)"
"36","292","-122.49583","37.7875","980200","1022567","(37.7875010001711, -122.495828999808)"
"21","677","-122.44308","37.80632","012700","434518","(37.8063150008367, -122.44307799985)"
"21","1020","-122.44312","37.80671","012700","434518","(37.8067090001203, -122.443115999804)"
"21","391","-122.44682","37.80568","012700","434518","(37.8056770001934, -122.446819999743)"
"36","93","-122.50612","37.78798","980200","1022567","(37.787975000446, -122.50612200053)"
"34","521","-122.38161","37.72215","980600","2132295","(37.7221450007912, -122.381606000616)"
"21","941","-122.44349","37.80697","012700","434518","(37.8069660002807, -122.443488999917)"
"21","856","-122.4445","37.80641","012700","434518","(37.8064090006749, -122.444501999867)"
"34","343","-122.3656","37.71602","980600","2132295","(37.7160230008608, -122.365604000124)"
"21","164","-122.44313","37.80757","012700","434518","(37.8075740004398, -122.443133999734)"
"27","16","-122.41301","37.79432","011200","177414","(37.7943210008136, -122.413011000058)"
"21","692","-122.44345","37.80639","012700","434518","(37.806390000698, -122.443445999733)"
"22","13","-122.41208","37.78974","012100","123393","(37.7897400000011, -122.412076000107)"
"33","25","-122.40699","37.80167","010600","187222","(37.8016740008545, -122.406988000196)"
"21","766","-122.4449","37.80614","012700","434518","(37.8061380007682, -122.444904000419)"
"20","15","-122.44747","37.79939","012800","497841","(37.799390000748, -122.447465999856)"
"34","503","-122.37982","37.72275","980600","2132295","(37.7227530000509, -122.379823000231)"
"21","379","-122.44687","37.80588","012700","434518","(37.8058800005616, -122.446874000435)"
"21","824","-122.44516","37.80629","012700","434518","(37.806289000537, -122.445162999773)"
"10","38","-122.4564","37.78145","015400","719856","(37.7814470006786, -122.456395999776)"
"36","15","-122.50416","37.78113","980200","1022567","(37.7811270003108, -122.504159999984)"
"21","724","-122.44404","37.80632","012700","434518","(37.8063159999834, -122.444038000054)"
"5","35","-122.42361","37.78477","016000","158236","(37.7847660008503, -122.423612000593)"
"36","160","-122.50159","37.78823","980200","1022567","(37.7882270003758, -122.501591000224)"
"25","63","-122.40461","37.79357","011700","556044","(37.7935650001247, -122.40461300039)"
"21","545","-122.44423","37.80584","012700","434518","(37.8058360003312, -122.444228999868)"
"21","523","-122.4446","37.80591","012700","434518","(37.8059120002387, -122.444597999798)"
"34","186","-122.36039","37.72826","980600","2132295","(37.7282590003526, -122.360389999799)"
"34","197","-122.35721","37.7279","980600","2132295","(37.7278980007922, -122.357211999834)"
"36","324","-122.49442","37.78782","980200","1022567","(37.7878190004466, -122.494420000483)"
"21","115","-122.44241","37.80773","012700","434518","(37.8077290003931, -122.442413999806)"
"34","232","-122.35915","37.71924","980600","2132295","(37.7192350005948, -122.359154000357)"
"4","24","-122.42383","37.78108","016100","368901","(37.7810780007492, -122.423825000523)"
"34","227","-122.35922","37.71941","980600","2132295","(37.7194070004328, -122.359220999849)"
"36","279","-122.49664","37.78731","980200","1022567","(37.7873140005407, -122.49663900029)"
"34","0","-122.38218","37.72225","980600","2132295","(37.7222460000529, -122.382175999922)"
"34","22","-122.37258","37.72926","980600","2132295","(37.729255000418, -122.372584000052)"
"21","809","-122.44549","37.80617","012700","434518","(37.8061740006297, -122.445487000325)"
"31","29","-122.41189","37.79713","010800","226074","(37.7971320000418, -122.411888000431)"
"21","988","-122.44333","37.80688","012700","434518","(37.8068750005809, -122.443330999826)"
"36","49","-122.50923","37.78545","980200","1022567","(37.7854450006863, -122.509233000103)"
"33","3","-122.40204","37.79751","010600","187222","(37.7975050001557, -122.402041000492)"
"25","7","-122.39749","37.79239","011700","556044","(37.7923870006596, -122.397490000163)"
"30","35","-122.41923","37.80013","010900","249763","(37.8001339999842, -122.419233000103)"
"34","154","-122.36077","37.73022","980600","2132295","(37.7302180007602, -122.360766000051)"
"14","6","-122.43558","37.78917","013500","235184","(37.7891720007872, -122.435581000363)"
"21","914","-122.44398","37.80668","012700","434518","(37.8066770004432, -122.443977999985)"
"21","460","-122.44574","37.80578","012700","434518","(37.8057750002162, -122.445736000116)"
"10","20","-122.45123","37.78205","015400","719856","(37.7820510006532, -122.451233000003)"
"23","6","-122.42169","37.78669","012000","124978","(37.786689000497, -122.421689000047)"
"40","16","-122.3866","37.74207","980900","3586378","(37.7420680004379, -122.386602999928)"
"34","303","-122.36188","37.71319","980600","2132295","(37.7131940008026, -122.361884000346)"
"36","147","-122.50195","37.78818","980200","1022567","(37.7881810000532, -122.501951999785)"
"21","592","-122.4434","37.80594","012700","434518","(37.8059370004922, -122.443401000356)"
"21","201","-122.44343","37.80767","012700","434518","(37.8076720004625, -122.443434000079)"
"21","264","-122.44465","37.80715","012700","434518","(37.8071490006259, -122.444646000213)"
"36","192","-122.50018","37.78852","980200","1022567","(37.7885180003055, -122.500176999769)"
"10","6","-122.44583","37.78251","015400","719856","(37.7825120003286, -122.44582599977)"
"20","14","-122.44734","37.79855","012800","497841","(37.7985530008204, -122.447341000387)"
