"year","month","_01l_r","_01l_r_percent_of_departures","_10l_r","_10l_r_percent_of_departures","_19l_r","_19l_r_percent_of_departures","_28l_r","_28l_r_percent_of_departures"
"2005","1","14","6.00","164","71.00","4","2.00","49","21.00"
"2005","2","14","7.00","158","80.0","0","0","25","13.00"
"2005","3","10","4.00","165","69.00","0","0","65","27.00"
"2005","4","26","9.00","99","32.00","0","0","180","59.00"
"2005","5","36","10.0","90","24.00","0","0","242","66.00"
"2005","6","26","6.00","96","24.00","0","0","285","70.0"
"2005","7","73","18.00","63","15.00","0","0","275","67.00"
"2005","8","113","28.00","85","21.00","0","0","211","52.00"
"2005","9","50","13.00","140","38.00","0","0","181","49.00"
"2005","10","53","15.00","131","36.00","0","0","181","50.0"
"2005","11","28","12.00","162","70.0","0","0","42","18.00"
"2005","12","53","17.00","226","71.00","11","3.00","28","9.00"
"2006","1","40","14.00","193","70.0","0","0","43","16.00"
"2006","2","34","14.00","162","65.00","0","0","52","21.00"
"2006","3","21","7.00","209","74.00","3","1.00","49","17.00"
"2006","4","49","13.00","210","54.00","0","0","128","33.00"
"2006","5","24","6.00","108","27.00","0","0","265","67.00"
"2006","6","103","25.00","80","20.0","0","0","225","55.00"
"2006","7","94","26.00","96","26.00","0","0","176","48.00"
"2006","8","104","27.00","112","29.00","0","0","169","44.00"
"2006","9","30","10.0","114","37.00","0","0","163","53.00"
"2006","10","32","10.0","145","47.00","0","0","131","43.00"
"2006","11","23","11.00","141","67.00","0","0","47","22.00"
"2006","12","28","11.00","163","64.00","1","0","61","24.00"
"2007","1","9","4.00","137","68.00","0","0","56","28.00"
"2007","2","33","17.00","106","54.00","0","0","56","29.00"
"2007","3","45","15.00","106","35.00","0","0","155","51.00"
"2007","4","61","17.00","84","23.00","0","0","213","59.00"
"2007","5","49","13.00","62","16.00","0","0","277","71.00"
"2007","6","83","19.00","73","16.00","0","0","289","65.00"
"2007","7","124","29.00","61","14.00","0","0","238","56.00"
"2007","8","141","33.00","66","16.00","0","0","216","51.00"
"2007","9","67","18.00","129","35.00","0","0","168","46.00"
"2007","10","67","21.00","94","30.0","0","0","157","49.00"
"2007","11","76","29.00","99","38.00","0","0","83","32.00"
"2007","12","68","25.00","132","48.00","1","0","75","27.00"
"2008","1","43","17.00","162","63.00","0","0","54","21.00"
"2008","2","46","25.00","88","47.00","0","0","52","28.00"
"2008","3","92","30.0","41","13.00","0","0","172","56.00"
"2008","4","64","21.00","38","13.00","0","0","202","66.00"
"2008","5","39","14.00","47","17.00","0","0","191","69.00"
"2008","6","122","34.00","21","6.00","0","0","212","60.0"
"2008","7","109","33.00","10","3.00","0","0","214","64.00"
"2008","8","74","25.00","24","8.00","0","0","199","67.00"
"2008","9","36","16.00","49","22.00","0","0","134","61.00"
"2008","10","35","15.00","77","32.00","0","0","127","53.00"
"2008","11","27","18.00","77","50.0","0","0","50","32.00"
"2008","12","48","24.00","85","42.00","2","1.00","68","33.00"
"2009","1","64","33.00","93","48.00","0","0","35","18.00"
"2009","2","34","15.00","146","64.00","3","1.00","46","20.0"
"2009","3","88","25.00","79","23.00","7","2.00","174","50.0"
"2009","4","95","26.00","55","15.00","0","0","221","60.0"
"2009","5","95","27.00","64","18.00","0","0","196","55.00"
"2009","6","128","34.00","18","5.00","0","0","235","62.00"
"2009","7","137","37.00","13","4.00","0","0","221","60.0"
"2009","8","101","29.00","43","13.00","0","0","199","58.00"
"2009","9","58","20.0","32","11.00","0","0","205","69.00"
"2009","10","49","15.00","109","34.00","2","1.00","158","50.0"
"2009","11","32","21.00","83","55.00","0","0","35","23.00"
"2009","12","47","21.00","125","57.00","2","1.00","45","21.00"
"2010","1","27","14.00","148","74.00","0","0","24","12.00"
"2010","2","63","29.00","123","56.00","0","0","34","15.00"
"2010","3","92","28.00","102","31.00","0","0","132","40.0"
"2010","4","71","20.0","127","36.00","0","0","150","43.00"
"2010","5","97","26.00","36","10.0","0","0","242","65.00"
"2010","6","124","27.00","22","5.00","0","0","309","68.00"
"2010","7","116","31.00","59","16.00","0","0","204","54.00"
"2010","8","172","42.00","36","9.00","0","0","205","50.0"
"2010","9","88","24.00","57","16.00","0","0","217","60.0"
"2010","10","95","26.00","97","27.00","0","0","167","47.00"
"2010","11","62","30.0","71","34.00","0","0","75","36.00"
"2010","12","83","29.00","148","52.00","19","7.00","33","12.00"
"2011","1","76","42.00","78","43.00","0","0","27","15.00"
"2011","2","57","29.00","73","37.00","7","4.00","60","30.0"
"2011","3","59","19.00","141","45.00","17","5.00","96","31.00"
"2011","4","95","32.00","32","11.00","0","0","169","57.00"
"2011","5","85","27.00","52","16.00","0","0","180","57.00"
"2011","6","168","40.0","53","13.00","0","0","203","48.00"
"2011","7","249","53.00","24","5.00","0","0","198","42.00"
"2011","8","200","48.00","40","10.0","0","0","175","42.00"
"2011","9","101","33.00","49","16.00","0","0","160","52.00"
"2011","10","88","27.00","89","27.00","1","0","151","46.00"
"2011","11","84","37.00","88","39.00","0","0","54","24.00"
"2011","12","93","49.00","73","38.00","0","0","24","13.00"
"2012","1","92","39.00","85","36.00","10","4.00","46","20.0"
"2012","2","89","49.00","52","28.00","1","1.00","41","22.00"
"2012","3","81","27.00","99","33.00","0","0","120","40.0"
"2012","4","75","22.00","63","18.00","0","0","210","60.0"
"2012","5","112","32.00","23","7.00","0","0","211","61.00"
"2012","6","199","46.00","17","4.00","0","0","221","51.00"
"2012","7","237","50.0","29","6.00","0","0","211","44.00"
"2012","8","187","44.00","2","0","0","0","232","55.00"
"2012","9","122","36.00","4","1.00","0","0","215","63.00"
"2012","10","127","36.00","32","9.00","0","0","195","55.00"
"2012","11","80","37.00","81","37.00","10","5.00","46","21.00"
"2012","12","102","34.00","150","51.00","5","2.00","40","13.00"
"2013","1","77","52.00","42","28.00","0","0","30","20.0"
"2013","2","82","55.00","37","25.00","0","0","29","20.0"
"2013","3","126","47.00","48","18.00","4","1.00","90","34.00"
"2013","4","124","38.00","18","6.00","0","0","185","57.00"
"2013","5","122","33.00","36","10.0","0","0","215","58.00"
"2013","6","173","36.00","36","8.00","0","0","270","56.00"
"2013","7","275","58.00","10","2.00","5","1.00","188","39.00"
"2013","8","214","50.0","2","0","0","0","208","49.00"
"2013","9","132","38.00","16","5.00","0","0","201","58.00"
"2013","10","129","37.00","29","8.00","0","0","191","55.00"
"2013","11","102","51.00","38","19.00","0","0","60","30.0"
"2013","12","95","47.00","42","21.00","0","0","66","33.00"
"2014","1","110","56.00","45","23.00","0","0","40","21.00"
"2014","2","51","28.00","68","38.00","0","0","60","34.00"
"2014","3","92","34.00","57","21.00","0","0","121","45.00"
"2014","4","72","24.00","28","9.00","0","0","196","66.00"
"2014","5","47","15.00","8","3.00","0","0","258","82.00"
"2014","6","0","0","5","1.00","0","0","357","99.00"
"2014","7","0","0","0","0","0","0","381","100"
"2014","8","88","24.00","2","1.00","0","0","275","75.00"
"2014","9","130","39.00","0","0","0","0","206","61.00"
"2014","10","123","36.00","10","3.00","0","0","213","62.00"
"2014","11","92","52.00","9","5.00","0","0","76","43.00"
"2014","12","156","50.0","75","24.00","0","0","82","26.00"
"2015","1","99","54.00","5","3.00","0","0","81","44.00"
"2015","2","72","36.00","22","11.00","22","11.00","82","41.00"
"2015","3","114","38.00","6","2.00","0","0","181","60.0"
"2015","4","178","42.00","18","4.00","0","0","226","54.00"
"2015","5","206","44.00","1","0","0","0","262","56.00"
"2015","6","259","49.00","0","0","0","0","269","51.00"
"2015","7","303","53.00","0","0","0","0","270","47.00"
"2015","8","302","56.00","2","0","0","0","240","44.00"
"2015","9","247","49.00","9","2.00","0","0","244","49.00"
"2015","10","235","49.00","4","1.00","0","0","239","50.0"
"2015","11","199","66.00","7","2.00","0","0","94","31.00"
"2015","12","300","59.00","51","10.0","0","0","157","31.00"
"2016","1","155","49.00","72","23.00","5","2.00","85","27.00"
"2016","2","149","58.00","14","5.00","0","0","93","36.00"
"2016","3","168","36.00","85","18.00","0","0","216","46.00"
"2016","4","166","39.00","8","2.00","0","0","250","59.00"
"2016","5","167","37.00","3","1.00","0","0","287","63.00"
"2016","6","216","43.00","9","2.00","0","0","282","56.00"
"2016","7","335","51.00","19","3.00","0","0","298","46.00"
"2016","8","265","44.00","27","4.00","0","0","309","51.00"
"2016","9","140","31.00","36","8.00","0","0","278","61.00"
"2016","10","111","23.00","91","19.00","0","0","284","58.00"
"2016","11","140","42.00","33","10.0","0","0","160","48.00"
"2016","12","264","57.00","68","15.00","0","0","135","29.00"
"2017","1","79","20.0","85","21.00","36","9.00","204","50.0"
"2017","2","53","20.0","88","33.00","35","13.00","88","33.00"
"2017","3","134","35.00","57","15.00","0","0","192","50.0"
"2017","4","197","40.0","44","9.00","4","1.00","250","51.00"
"2017","5","188","37.00","4","1.00","0","0","311","62.00"
"2017","6","311","51.00","1","0","0","0","302","49.00"
"2017","7","258","42.00","1","0","0","0","359","58.00"
"2017","8","310","47.00","5","1.00","0","0","350","53.00"
"2017","9","238","48.00","10","2.00","0","0","250","50.0"
"2017","10","314","52.00","7","1.00","0","0","284","47.00"
"2017","11","234","52.00","41","9.00","1","0","175","39.00"
"2017","12","314","66.00","8","2.00","0","0","153","32.00"
"2018","1","254","69.00","15","4.00","0","0","98","27.00"
"2018","2","229","73.00","7","2.00","0","0","79","25.00"
