"gen_hght","height","shape_area","shape_len","geometry","multigeom"
"26","26-X","9794.84785971","397.762407644","POLYGON ((-122.47355770711032 37.732238745125116, -122.47372187980997 37.732028327903826, -122.47380727249589 37.73206667422319, -122.47388256929692 37.73210048788618, -122.47404843860232 37.732174973469945, -122.47388588813781 37.73238612010838, -122.4737200185241 37.73231163429839, -122.47364472160704 37.73227782143353, -122.47355770711032 37.732238745125116))","false"
"26","26-X","9661.59140481","414.961799878","POLYGON ((-122.4740930932047 37.732432858926614, -122.47422915198193 37.7322561243597, -122.47440579909913 37.73233544962718, -122.47453311000982 37.73239261909925, -122.47449837833443 37.73242575197826, -122.4744668837652 37.73254373773654, -122.47447415855098 37.732639829851394, -122.47443828367452 37.73262396009927, -122.47425566671757 37.73254317126658, -122.47407675671994 37.732464022477004, -122.47407735076074 37.73246216409095, -122.47407798703199 37.73246031491091, -122.4740786632413 37.73245847407399, -122.47407937941256 37.73245664248111, -122.47408013672784 37.73245482191488, -122.47408093291867 37.73245301241328, -122.47408176911927 37.73245121395735, -122.47408264535363 37.732449427447925, -122.47408355935319 37.73244765292302, -122.47408451227622 37.732445891264405, -122.47408550528074 37.73244414335396, -122.47408653609838 37.7324424092297, -122.47408760361874 37.73244068981142, -122.47408871013427 37.73243898596197, -122.47408985337651 37.73243729771937, -122.47409103334537 37.732435625083596, -122.4740930932047 37.732432858926614))","false"
"26","26-X","3001.53475311","261.934491748","POLYGON ((-122.46412793428259 37.74115722187126, -122.4641878034351 37.74108966524257, -122.46447059791849 37.74125749071435, -122.46445006423248 37.741278819126826, -122.4644291717387 37.74129992640703, -122.46441887073614 37.741310243304, -122.46440864009543 37.7413206031873, -122.46412793428259 37.74115722187126))","false"
"40","40-X","79271.2975142","1159.29849613","POLYGON ((-122.41249079426039 37.7130267312668, -122.41257402516854 37.71284036276558, -122.41265937403129 37.71286356950515, -122.41274114831626 37.71288580593344, -122.41282292262694 37.71290804140402, -122.41290469698654 37.712930276817794, -122.41298320172953 37.712951622596016, -122.4130617042496 37.71297296835868, -122.41329721550544 37.71303700617798, -122.4132683168947 37.71310171765164, -122.4132139873472 37.71322337606677, -122.4131723725446 37.71331656099627, -122.41314418168207 37.71337968829907, -122.41311598963773 37.713442815612936, -122.41308779870258 37.713505943801884, -122.4130596065625 37.71356907110096, -122.41303141437444 37.713632198392695, -122.41300322329573 37.713695326559495, -122.4129743230392 37.7137600379727, -122.41288277917283 37.713965024961226, -122.4126946952713 37.71391388322335, -122.41261291989261 37.71389164766731, -122.41252296690986 37.713867188131466, -122.41244115965061 37.713844943963096, -122.41235938328963 37.71382270824919, -122.41215958088165 37.7137683781327, -122.41219763588217 37.71368316504147, -122.41222653678487 37.71361845381803, -122.41225543650324 37.713553742605185, -122.41228433614813 37.713489030483736, -122.4123132357659 37.71342431925544, -122.41234213533333 37.71335960801933, -122.41237681541901 37.713281954154446, -122.41240756409213 37.713213100586145, -122.41244917979542 37.71311991592533, -122.41249079426039 37.7130267312668))","false"
"40","40-X","77566.0371905","1146.47203274","POLYGON ((-122.41342703426005 37.71328843461765, -122.41351025765307 37.71310207366245, -122.41358627805765 37.7131238496341, -122.4136657750867 37.71314661990201, -122.41374527103045 37.71316939013461, -122.41382476704608 37.713192161214366, -122.41390426308725 37.71321493133953, -122.41398376033423 37.7132377022934, -122.41406325647279 37.7132604723111, -122.41414275266001 37.713283242275075, -122.41422224891912 37.7133060130862, -122.41415392333772 37.713459016025865, -122.41412566996873 37.71352228518179, -122.4140974154408 37.71358555524955, -122.41406948051184 37.71364810994985, -122.41404164313772 37.71371044586155, -122.41401380682773 37.7137727808468, -122.41398596933703 37.71383511584327, -122.41395813295688 37.71389745171492, -122.41393029537284 37.713959786697, -122.41390113304743 37.71402508749998, -122.41387197397997 37.71409038463639, -122.41384281370412 37.71415568088249, -122.4138147871994 37.714218440674664, -122.41360216888486 37.71416062978576, -122.41352039296335 37.71413839486053, -122.41343861709076 37.71411615987842, -122.41335684126707 37.7140939248395, -122.4132750654923 37.714071689743704, -122.41317677103955 37.714044963527314, -122.41309866721656 37.714023726707296, -122.4131826420388 37.71383568746169, -122.41321694923897 37.71375886582496, -122.41324719649073 37.71369113679611, -122.41327397365204 37.7136311750086, -122.41330682081667 37.71355762236879, -122.41333571850672 37.713492913611326, -122.41336923912446 37.71341785127304, -122.41339813670584 37.71335314249883, -122.41342703426005 37.71328843461765))","false"
"105","105-D","37812.8936929","824.774263257","POLYGON ((-122.43013063085233 37.79499829392146, -122.43060079651787 37.794938221120006, -122.43067613815286 37.79531107793222, -122.43069093214702 37.795384293843746, -122.4307513868852 37.7956834774853, -122.43064886548851 37.79569650509505, -122.43028105067683 37.79574323997213, -122.43026587747363 37.79566809351354, -122.43025081916518 37.79559352104883, -122.43023576199874 37.79551894766176, -122.43022070375078 37.79544437519111, -122.43013063085233 37.79499829392146))","false"
"105","105-D","28138.5381833","688.016987836","POLYGON ((-122.42947544604631 37.79641868217517, -122.42940015513497 37.796045795984384, -122.42957104177259 37.79602416620241, -122.42974790862692 37.7960017795164, -122.42983335128923 37.79599096441362, -122.43000423765108 37.79596933310291, -122.43008369995293 37.795959275388874, -122.43013845582338 37.79623044903954, -122.43016254781874 37.79634976591381, -122.42982675588395 37.79639226934333, -122.42982319091695 37.79637461789261, -122.42973176892751 37.79638620223614, -122.42964632837045 37.79639702893822, -122.4295608866532 37.79640785559692, -122.42947544604631 37.79641868217517))","false"
"105","105-E","34768.309158","1012.28001576","POLYGON ((-122.41918642434567 37.765907936038474, -122.41913780621582 37.76540016089161, -122.41871277310851 37.76542583116768, -122.41869311066655 37.76522044716654, -122.41911814149417 37.765194777879756, -122.41924750471176 37.76518696504595, -122.41926716751942 37.76539234807348, -122.41956037826803 37.765374638204854, -122.41960899473035 37.76588241325361, -122.41918642434567 37.765907936038474))","false"
"105","105-E","75196.8245209","1096.88342811","POLYGON ((-122.4386206770216 37.784549923227985, -122.43955928886315 37.78443027353168, -122.43970956728204 37.78517264584203, -122.43877088226321 37.785291975134946, -122.4386206770216 37.784549923227985))","false"
"105","105-F","32954.6079667","792.523641132","POLYGON ((-122.38990343890036 37.78126193969223, -122.3901887045503 37.78103540101772, -122.39053534156648 37.78130200770434, -122.39080314490967 37.78150797899009, -122.39087830618513 37.7815657857208, -122.39058256740071 37.78180064363628, -122.39050854804142 37.78174192981487, -122.38990343890036 37.78126193969223))","false"
"105","105-F","141815.155869","1670.81572419","POLYGON ((-122.38849711228374 37.782378719849596, -122.38946259800561 37.78161202163302, -122.38977179121112 37.78136648514521, -122.3905410408086 37.78197667519915, -122.3905402094085 37.78197733560021, -122.38994517183468 37.78244986991212, -122.38975140443107 37.782296168914534, -122.38907259448764 37.78283521601019, -122.38901529799179 37.78278976588701, -122.38849711228374 37.782378719849596))","false"
"105","105-F","16089.3051926","524.945265584","POLYGON ((-122.39100059747048 37.784364525918775, -122.39125174784833 37.78416584418164, -122.39147140120689 37.78434006893285, -122.39146071512394 37.78434855403251, -122.39163265692292 37.78448493425432, -122.39144788982428 37.78463110175782, -122.39139221346937 37.78467514758679, -122.39122073060958 37.784539130956006, -122.39100059747048 37.784364525918775))","false"
