"respnum","ccgid","runid","intdate","day","gate","barea","strata","peak","meth","saq","airline","destination","flight","airline_code","dest_code","destgeo","destmark","arrtime","deptime","q2purp1","q2purp2","q2purp3","q3getto1","q3getto2","q3getto3","q3park","q4bags","q4store","q4food","q4wifi","q5timesflown","q5firsttime","q6longuse","q7art","q7food","q7store","q7sign","q7walkway","q7screens","q7infodown","q7infoup","q7wifi","q7roads","q7park","q7airtrain","q7ltparking","q7rental","q7all","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q9boarding","q9airtrain","q9rental","q9food","q9restroom","q9all","q9_1","q9_2","q9_3","q10safe","q10_1","q10_2","q10_3","q11tsapre","q12precheckrate","q12_1","q12_2","q12_3","q13county","q13getrate","q14find","q14passthru","q15problem","q15a","q15_1","q15_2","q15_3","netpro","q17live","q18county","q18zip","q18country","home","q19clear","q20age","q21gender","q22income","q23fly","q24sjc","q24oak","lang","weight"
"1842","1680","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T14:00:00.000","1899-12-31T18:15:00.000","2",,,"2",,,,"1","1","1","1","2","1","1","6","6","3","4","4","4","4","4","4","4","6","6","6","6","4","0",,,,,,"4","6","6","6","4","3","0",,,"3","4",,,"0",,,,,"18","5","4","3","2",,,,,"5","3",,,"CYPRUS","15","2","6","2","0","0","2","2","1","0.6704842"
"1844","1681","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T13:00:00.000","1899-12-31T18:15:00.000","2","3",,"9",,,,"1","2","2","2","1","2","1","6","3","4","4","4","5","6","6","2","4","6","4","6","2","4","0",,,,,,"5","4","3","6","4","4","0",,,"4","0",,,"1","2","14",,,"5","4","4","3","2",,,,,"7","3",,,"TURKEY","15","2","4","1","2","1","2","2","1","0.6704842"
"1840","1678","552","21","2","102","G","3","3","1","1","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T15:30:00.000","1899-12-31T18:15:00.000","5",,,"7",,,,"3","3","3","1","1","2","3","3","6","4","4","6","4","3","3","5","6","6","6","6","6","4","0",,,,,,"4","6","6","6","2","3","0",,,"4","0",,,"1","3","0",,,"0","4","5","3","2",,,,,"7","3",,,"TURKEY","15","1","5","1","5","2","2","2","1","0.6704842"
"1837","1676","552","21","2","102","G","3","3","1","1","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T14:30:00.000","1899-12-31T18:15:00.000","3",,,"5",,,,"1","1","1","1","2","1","0","0","4","4","4","5","4","0","0","5","0","0","0","0","0","4","0",,,,,,"5","0","0","3","4","4","0",,,"4","0",,,"0",,,,,"0","0","0","0","0",,,,,"8","3",,,"MACEDONIA","15","2","2","2","3","3","2","1","1","0.6704842"
"1833","1674","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T15:20:00.000","1899-12-31T18:15:00.000","4",,,"2",,,,"1","2","0","2","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BLANK","11",,,,,,"5","6","6","4","5","5","1",,,"3","1",,,"0",,,,,"0","3","3","3","1","I FLEW WITH TK A NUMBER OF TIMES AND NEVER ENCOUNTERED PROBLEMS. ODA I WAS TOLD HAT I COULDN'T USE A BACKPACK AS MY HANDBAG REPACKING","31",,,"8","3",,,"GERMANY","15","2","2","2","2","2","2","2","1","0.6704842"
"3010","2216","613","23","4","58","D","3","2","1","2","AMERICAN","MIAMI","556","8","37","2","4","1899-12-31T20:00:00.000","1899-12-31T21:28:00.000","1",,,"5",,,,"2","0","1","2","1","2","1","3","4","3","3","3","3","6","3","6","6","6","6","6","6","4","0",,,,,,"5","6","6","4","0","4","0",,,"5","0",,,"0",,,,,"5","4","5","3","2",,,,,"8","3","MIAMI-DADE COUNTY","33146","US","12","1","4","2","4","3","2","2","1","1.0611394"
"1838","1677","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T15:00:00.000","1899-12-31T18:15:00.000","1",,,"6",,,,"1","2","1","1","1","2","1","4","3","3","2","3","4","4","4","5","6","6","6","6","6","4","0",,,,,,"5","6","6","5","3","4","0",,,"5","0",,,"0",,,,,"5","5","4","4","2",,,,,"8","3",,,"TURKEY","15","2","3","1","2","2","2","2","1","0.6704842"
"1845","1682","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T16:00:00.000","1899-12-31T18:15:00.000","2",,,"3",,,,"2","2","2","1","1","0","1","3","6","6","4","4","4","6","6","4","6","6","6","6","6","4","0",,,,,,"4","6","6","6","3","3","0",,,"4","0",,,"4",,,,,"11","6","4","6","2",,,,,"8","3","CLARK COUNTY","98661","US","10","2","6","1","2","2","2","2","1","0.6704842"
"2097","1705","557","21","2","98","G","3","3","1","2","UNITED INTL","MEXICO CITY","412","31","36","4","4","1899-12-31T20:45:00.000","1899-12-31T23:10:00.000","1",,,"2",,,,"2","1","2","1","4","1","4","4","3","3","4","4","4","6","6","4","4","4","6","3","6","4","0",,,,,,"4","6","6","4","4","4","0",,,"4","4",,,"1","5","21","10",,"2","3","5","5","2",,,,,"9","1","CONTRA COSTA COUNTY","94505","US","2","2","6","2","4","2","1","1","1","1.4869248"
"1846","1683","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T15:50:00.000","1899-12-31T18:15:00.000","1",,,"7",,,,"2","2","2","2","2","2","1","3","4","3","4","3","4","3","0","2","3","2","2","2","2","4","0",,,,,,"5","5","5","5","4","5","0",,,"4","0",,,"0",,,,,"25","4","5","5","2",,,,,"9","0",,,,"99","2","4","0","2","2","2","2","1","0.6704842"
