"objectid","cnn","streetname","from_st","to_st","facility_t","direct","surface_tr","barrier","notes","dir","double","fy","qtr","street_","length","number_","install_yr","install_mo","update_yr","update_mo","globalid","symbology","sharrow","buffered","raised","contraflow","greenwave","biap","sm_sweeper","shape"
"4828","19789000.0",,"UNNAMED 078","UNNAMED 052","CLASS III","2W",,,"PRESIDIO","N","0","0","0","Unnamed077","0.08767875","65",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.47513 37.807407, -122.47497 37.80752, -122.47479 37.80761, -122.47468 37.80764, -122.47457 37.80764, -122.47447 37.807613, -122.47424 37.80746, -122.473885 37.80713)"
"1112","19790000.0",,"LINCOLN BLVD","UNNAMED 078","CLASS III","2W",,,"PRESIDIO","N","0","0","0","Unnamed077","0.03728133","65",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.473885 37.80713, -122.473434 37.806725)"
"1421","19866002.0",,,,"CLASS III","2W",,,"PRESIDIO","S","0","0","0","Hwy 101","0.05170732","2",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.47602 37.806896, -122.47539 37.806335)"
"3745","19789000.0",,"UNNAMED 078","UNNAMED 052","CLASS III","2W",,,"PRESIDIO","S","1","0","0","Unnamed077","0.08767875","95",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.47513 37.807407, -122.47497 37.80752, -122.47479 37.80761, -122.47468 37.80764, -122.47457 37.80764, -122.47447 37.807613, -122.47424 37.80746, -122.473885 37.80713)"
"3724","19790000.0",,"LINCOLN BLVD","UNNAMED 078","CLASS III","2W",,,"PRESIDIO","S","1","0","0","Unnamed 077","0.03728133","95",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.473885 37.80713, -122.473434 37.806725)"
"4139","19866002.0",,,,"CLASS III","2W",,,"PRESIDIO","N","1","0","0","Hwy 101","0.05170732","95",,,,,,"BIKE ROUTE","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.47602 37.806896, -122.47539 37.806335)"
"2396","0.0",,"ALEMANY BL","BAYSHORE BL","CLASS I","N",,,,"N","0",,,,"0.03342753",,"2018","12","0","0",,"BIKE PATH","0","NO","NO","NO","NO","NO",,"LINESTRING (-122.40716 37.737377, -122.4071 37.73755, -122.40705 37.73767, -122.407005 37.737736, -122.40689 37.737785)"
"5214","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.00345473","95","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.449005 37.772243, -122.44896 37.772274)"
"515","0.0",,,,"CLASS I","2W",,,"Not City Maintained (OTHER PATH)",,"0","0","0",,"0.2086306","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50399 37.716877, -122.504036 37.716896, -122.50408 37.716934, -122.50412 37.71697, -122.504166 37.717, -122.504196 37.717045, -122.50423 37.71709, -122.504234 37.717106, -122.50425 37.71712, -122.50426 37.717136, -122.504265 37.71715, -122.50428 37.717167, -122.50429 37.717182, -122.504295 37.717197, -122.50431 37.717213, -122.50432 37.717228, -122.504326 37.717247, -122.50433 37.717262, -122.50434 37.717278, -122.50435 37.717293, -122.50436 37.71731, -122.504364 37.717327, -122.50437 37.717346, -122.50438 37.71736, -122.50438 37.717377, -122.50439 37.717396, -122.504395 37.71741, -122.5044 37.71743, -122.5044 37.717445, -122.50441 37.717464, -122.50441 37.71748, -122.50442 37.7175, -122.50442 37.717514, -122.504425 37.717533, -122.504425 37.717552, -122.504425 37.717567, -122.504425 37.717587, -122.50443 37.7176, -122.50443 37.71762, -122.50443 37.717636, -122.50443 37.717655, -122.50443 37.717674, -122.50443 37.71769, -122.50443 37.71771, -122.50443 37.717724, -122.50443 37.717743, -122.504425 37.717762, -122.504425 37.717777, -122.504425 37.717796, -122.50442 37.71781, -122.50442 37.71783, -122.50442 37.717846, -122.50441 37.717865, -122.50441 37.717884, -122.5044 37.7179, -122.504395 37.71792, -122.504395 37.717934, -122.50439 37.71795, -122.50438 37.717968, -122.50438 37.717983, -122.50437 37.718002, -122.504364 37.718018, -122.50436 37.718033, -122.50435 37.718052, -122.50434 37.718067, -122.50433 37.718082, -122.504326 37.7181, -122.50432 37.718117, -122.5043 37.718132, -122.504295 37.718147, -122.50429 37.718163, -122.50428 37.718178, -122.504265 37.718197, -122.50426 37.718212, -122.50424 37.718227, -122.504234 37.718243, -122.50423 37.718254, -122.50421 37.71827, -122.504196 37.718285, -122.50419 37.7183, -122.50417 37.718315, -122.50416 37.71833, -122.50415 37.71834, -122.504135 37.718357, -122.50412 37.71837, -122.504105 37.718384, -122.50409 37.718395, -122.504074 37.71841, -122.50406 37.718422, -122.50405 37.718437, -122.50403 37.71845, -122.50401 37.71846, -122.504 37.71847, -122.50398 37.718487, -122.50397 37.7185, -122.50395 37.71851, -122.50394 37.71852, -122.50392 37.718533, -122.5039 37.718544, -122.50388 37.71855, -122.50387 37.718563, -122.503845 37.718575, -122.50383 37.718582, -122.503815 37.718594, -122.50379 37.718605, -122.50378 37.718613, -122.50375 37.71862, -122.50374 37.71863, -122.503716 37.71864, -122.5037 37.718647, -122.50368 37.718655, -122.503654 37.718662, -122.50364 37.71867, -122.50362 37.718678, -122.5036 37.718685, -122.50358 37.718693, -122.503555 37.7187, -122.50354 37.718704, -122.50352 37.71871, -122.503494 37.71872, -122.50347 37.718723, -122.503456 37.71873, -122.50343 37.718735, -122.50341 37.71874, -122.50339 37.718742, -122.503365 37.718746, -122.50335 37.71875, -122.50333 37.718754, -122.5033 37.718758, -122.50328 37.71876, -122.50326 37.718765, -122.503235 37.71877, -122.50322 37.71877, -122.5032 37.718773, -122.503174 37.718773, -122.50315 37.718777, -122.50313 37.718777, -122.503105 37.718777, -122.50308 37.718777, -122.50306 37.71878, -122.50304 37.71878, -122.50302 37.71878, -122.503 37.718777, -122.502975 37.718777, -122.50295 37.718777, -122.50293 37.718777, -122.50291 37.718773, -122.502884 37.718773, -122.50286 37.71877, -122.50284 37.71877, -122.50282 37.718765, -122.5028 37.71876, -122.50278 37.718758, -122.502754 37.718758, -122.50273 37.718754, -122.50271 37.718746, -122.50269 37.718742, -122.50267 37.71874, -122.50265 37.718735, -122.502625 37.71873, -122.5026 37.718723, -122.50259 37.71872, -122.50256 37.71871)"
"4484","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.2095501","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50354 37.718704, -122.50355 37.718704, -122.50356 37.7187, -122.50357 37.718697, -122.503586 37.718693, -122.50359 37.718693, -122.50361 37.71869, -122.50362 37.71869, -122.50363 37.718685, -122.50364 37.718685, -122.503654 37.718685, -122.50366 37.718685, -122.50368 37.718685, -122.50369 37.718685, -122.5037 37.718685, -122.503716 37.718685, -122.50372 37.718685, -122.50374 37.71869, -122.503746 37.71869, -122.50376 37.71869, -122.50378 37.718693, -122.503784 37.718697, -122.5038 37.718697, -122.50381 37.7187, -122.50382 37.718704, -122.50383 37.718708, -122.50384 37.71871, -122.50385 37.718716, -122.50386 37.71872, -122.503876 37.718723, -122.50388 37.718727, -122.50389 37.718735, -122.50391 37.71874, -122.503914 37.718746, -122.50392 37.71875, -122.50394 37.718758, -122.503944 37.71876, -122.50395 37.71877, -122.50396 37.718777, -122.50397 37.71878, -122.503975 37.71879, -122.50398 37.718796, -122.50399 37.718803, -122.504 37.71881, -122.504005 37.71882, -122.50401 37.718826, -122.50402 37.718834, -122.50403 37.71884, -122.50403 37.718853, -122.504036 37.71886, -122.50404 37.71887, -122.50404 37.718876, -122.50405 37.718887, -122.50406 37.718895, -122.50406 37.718903, -122.50407 37.718914, -122.50407 37.71892, -122.50407 37.718933, -122.504074 37.71894, -122.504074 37.718952, -122.504074 37.71896, -122.504074 37.71897, -122.504074 37.71898, -122.504074 37.71899, -122.504074 37.718998, -122.504074 37.71901, -122.504074 37.719017, -122.504074 37.71903, -122.504074 37.719036, -122.504074 37.719048, -122.504074 37.719055, -122.50407 37.719063, -122.50407 37.719074, -122.50407 37.71908, -122.50406 37.719093, -122.50406 37.7191, -122.50405 37.71911, -122.50405 37.71912, -122.50404 37.719128, -122.504036 37.719135, -122.504036 37.719147, -122.50403 37.719154, -122.50402 37.719162, -122.50401 37.71917, -122.504005 37.719177, -122.504 37.719185, -122.50399 37.719193, -122.503975 37.719208, -122.50395 37.71922, -122.50394 37.719234, -122.503914 37.719246, -122.5039 37.71926, -122.503876 37.719273, -122.50386 37.719288, -122.50384 37.719303, -122.50382 37.71932, -122.5038 37.719334, -122.503784 37.71935, -122.50377 37.719364, -122.50375 37.71938, -122.50373 37.719395, -122.503716 37.71941, -122.5037 37.719425, -122.503685 37.71944, -122.50367 37.71946, -122.503654 37.719475, -122.50364 37.71949, -122.503624 37.71951, -122.50361 37.719524, -122.50359 37.719543, -122.503586 37.71956, -122.50357 37.719578, -122.503555 37.719593, -122.50354 37.719612, -122.50353 37.71963, -122.50352 37.71965, -122.50351 37.719666, -122.503494 37.719685, -122.50349 37.719704, -122.50347 37.719723, -122.50346 37.71974, -122.50345 37.71976, -122.50344 37.71978, -122.50343 37.7198, -122.503426 37.71982, -122.50342 37.719837, -122.5034 37.719856, -122.503395 37.719875, -122.50339 37.719894, -122.50338 37.719913, -122.50337 37.719933, -122.50337 37.719955, -122.503365 37.719975, -122.50336 37.719994, -122.50335 37.720013, -122.50334 37.720036, -122.50334 37.720055, -122.503334 37.720074, -122.503334 37.720093, -122.50333 37.720116, -122.50333 37.720135, -122.50332 37.720154, -122.50332 37.720177, -122.50332 37.720196, -122.50331 37.72022, -122.50331 37.720238, -122.50331 37.720257, -122.50331 37.72028, -122.50331 37.7203, -122.50331 37.720318, -122.50331 37.72034, -122.50331 37.72036, -122.50331 37.720383, -122.50331 37.7204, -122.50331 37.72042, -122.50332 37.720444, -122.50332 37.720463, -122.50332 37.72048, -122.50333 37.720505, -122.50333 37.720524, -122.503334 37.720543, -122.503334 37.720566, -122.50334 37.720585, -122.50334 37.720604, -122.50335 37.720623, -122.50336 37.720646, -122.503365 37.720665, -122.503365 37.720684, -122.50337 37.720703, -122.50338 37.720726, -122.50339 37.720745, -122.503395 37.720764, -122.5034 37.720783, -122.50341 37.720802, -122.503426 37.72082, -122.50343 37.72084, -122.50344 37.72086, -122.50345 37.72088, -122.50346 37.720898, -122.50347 37.720917, -122.50348 37.720936, -122.503494 37.720955, -122.5035 37.720974, -122.50352 37.72099, -122.50353 37.72101, -122.50354 37.721027, -122.503555 37.721043, -122.50357 37.72106, -122.50358 37.72108, -122.50359 37.721096, -122.50361 37.721115, -122.503624 37.72113, -122.50364 37.72115, -122.50367 37.72118)"
