"objectid","counter","location","lat","lon","install_date","notes","globalid","cnn_node","cnn_block","identifier","shape",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"72","67.0","Fell Street west of Scott WB","37.774241","-122.436214","20090210000000",,,"26050000.0","26050000.0","100044161","POINT (-122.4362 37.774235)","26","4","11","9","26"
"1","4.0","Marina Bike Path East of Baker St","37.805169","-122.446977","20160506000000",,,"26796000.0","8708101.0","100018375","POINT (-122.44696 37.805164)","17","4","6","13","17"
"14","3.0","Holloway Ave West of Stratford WB","37.72131","-122.47421","20150905000000",,,"23016000.0","6994201.0","100018422","POINT (-122.47423 37.7213)","41","10","8","41","41"
"19","23.0","Cesar Chavez East of Folsom WB","37.74835","-122.413","20150831000000",,,"21177000.0","2485201.0","100018409","POINT (-122.4131 37.748207)","83","3","2","2","83"
"60","39.0","Cabrillo West of Arguello","37.775609","-122.458659","20150920000000",,,"27212000.0","3467000.0","100025365","POINT (-122.45865 37.775604)","5","8","4","11","5"
"48","29.0","2nd St North of Townsend SB","37.781168","-122.391229","20150817000000",,,"23803000.0","147000.0","100018394","POINT (-122.39121 37.781162)","31","1","10","8","31"
"31","74.0","Valencia St. Totem NB","37.764049","-122.421803","20160503000000",,,"24183000.0","13060000.0","100021112","POINT (-122.42179 37.764046)","53","3","2","20","53"
"43","26.0","Bayshore Blvd. North of Boutwell","37.734529","-122.405684","20151114000000",,,"33270000.0","2803000.0","100025368","POINT (-122.40567 37.734524)","87","2","9","1","87"
"32","11.0","Townsend East of 5th","37.775701","-122.39674","20150926000000",,,"23823000.0","12663000.0","100025370","POINT (-122.39673 37.775696)","34","1","10","4","34"
"57","14.0","Market St. East of 2nd St. EB","37.7899","-122.400487","20160123000000",,,"30734000.0","8742101.0","100018392","POINT (-122.400475 37.789894)","108","6","10","8","108"
"22","48.0","Oakdale Ave. North of Newhall St.","37.735908","-122.392648","20151114000000",,,"20667000.0","9789000.0","100025369","POINT (-122.39263 37.7359)","86","2","9","1","86"
"28","31.0","Post St. East of Presidio Blvd.","37.783595","-122.445358","20150919000000",,,"26838000.0","10656000.0","100025366","POINT (-122.44534 37.78359)","103","8","6","31","103"
"51","45.0","23rd Ave. North of Clement SB","37.783037","-122.482802","20160130000000",,,"27647000.0","1212000.0","100018385","POINT (-122.48279 37.78303)","8","8","4","29","8"
"61","68.0","7th Ave north of Kirkham SB","37.761337","-122.463977","20101115000000",,,"27143000.0","361000.0","100005215","POINT (-122.46397 37.761333)","109","7","11","14","109"
"36","46.0","Market St East of Castro WB","37.76307","-122.434662","20151010000000",,,"25814000.0","8767201.0","100018418","POINT (-122.43465 37.763065)","28","3","5","5","28"
"65","53.0","Potrero north of 21st SB","37.75882","-122.40697","20110420000000",,,"24000000.0","10666101.0","100005220","POINT (-122.40707 37.758335)","53","3","2","20","53"
"10","20.0","Ortega St West of 21st Ave SB and NB","37.752286","-122.479227","20150820000000",,,"27337000.0","10008000.0","100025093","POINT (-122.47921 37.75228)","39","10","7","35","39"
"9","55.0","Market St East of Van Ness WB","37.775383","-122.419034","20110418000000",,,"30747000.0","8754201.0","100005209","POINT (-122.41902 37.77538)","21","5","10","20","21"
"15","52.0","Valencia north of 14th SB","37.768673","-122.42225","20100918000000",,,"24382000.0","13056000.0","100005235","POINT (-122.42223 37.76867)","53","3","2","20","53"
"64","42.0","Portola west of Burnett WB","37.746928","-122.445623","20151031000000",,,"22341000.0","10612201.0","100018377","POINT (-122.44561 37.74692)","48","9","5","22","48"
"35","7.0","11th St North of Folsom","37.77248","-122.41468","20160904000000",,,"24249000.0","513000.0","100025091","POINT (-122.41402 37.77186)","32","1","10","34","32"
"44","43.0","23rd Ave. North of Clement NB","37.782909","-122.482792","20160623000000",,,"27647000.0","1212000.0","100018383","POINT (-122.48278 37.782906)","8","8","4","29","8"
"73","71.0","Broadway Tunnel west of Hyde St Overpass","37.79617","-122.41949","20110327000000",,,"25308000.0","3186201.0","100044181","POINT (-122.419464 37.79606)","16","6","3","32","16"
"29","47.0","Portola east of Twin Peaks EB","37.745906","-122.449964","20151031000000",,,"33498000.0","10613101.0","100018376","POINT (-122.44995 37.745903)","96","9","5","10","96"
"4","6.0","Duboce Bike Path East of Church","37.769482","-122.427539","20150903000000",,,"30758000.0","4984000.0","100018373","POINT (-122.42753 37.769478)","28","7","5","5","28"
"69","54.0","Potrero south of 23rd NB","37.75383","-122.40626","20101114000000",,,"23962000.0","10671000.0","100005213","POINT (-122.406235 37.75395)","54","3","9","20","54"
"18","8.0","Folsom between 8th and 9th Sts. EB","37.774189","-122.411078","20151003000000",,,"24272000.0","5678000.0","100018420","POINT (-122.411064 37.774185)","32","1","10","34","32"
"58","19.0","Alemany Blvd north of Ocean Ave SB","37.724275","-122.437386","20151114000000",,,"21755000.0","2166101.0","100018416","POINT (-122.43737 37.72427)","94","9","1","28","94"
"21","49.0","Clipper west of Clipper Terrace","37.747919","-122.442745","20110517000000",,,"22325000.0","4218000.0","100005225","POINT (-122.44273 37.747913)","57","3","5","22","57"
"47","38.0","Indiana St North of 22nd St NB","37.758461","-122.391239","20160707000000",,,"23619000.0","7195000.0","100018388","POINT (-122.39123 37.758457)","55","2","9","26","55"
"8","35.0","Illinois St between Cesar Chavez SB","37.749421","-122.386532","20151121000000",,,"54159000.0","7176000.0","100018414","POINT (-122.38652 37.749416)","56","2","9","1","56"
"11","16.0","8th St. South of Folsom St.","37.774773","-122.409792","20151003000000",,,"24267000.0","412000.0","100018379","POINT (-122.40978 37.77477)","32","1","10","34","32"
"39","58.0","Polk St South of McAllister SB","37.780016","-122.418547","20110420000000",,,"24437000.0","10549000.0","100005212","POINT (-122.41853 37.78001)","21","4","10","36","21"
"40","40.0","Holloway Ave West of Stratford EB","37.72122","-122.47398","20150905000000",,,"23016000.0","6994101.0","100018421","POINT (-122.47406 37.72124)","41","10","8","41","41"
"50","37.0","Page East of Divisadero EB","37.772302","-122.436464","20151017000000",,,"26028000.0","10178000.0","100018387","POINT (-122.436455 37.772297)","26","4","11","3","26"
"68","41.0","San Jose Ave east of St Mary's WB","37.73539","-122.42818","20151107000000",,,"33371000.0","11439201.0","100018424","POINT (-122.42709 37.735714)","93","9","5","2","93"
"25","34.0","Sloat Blvd west of 24th Ave EB","37.734418","-122.480466","20151024000000",,,"23214000.0","11953102.0","100018381","POINT (-122.48045 37.734413)","62","10","8","35","62"
"3","10.0","Fulton St East of Webster St","37.777986","-122.429325","20150901000000",,,"25956000.0","5885000.0","100025092","POINT (-122.42931 37.77798)","22","4","11","9","22"
"5","72.0","Market St Totem S EB","37.776996","-122.416841","20130430000000",,,"30746000.0","8753101.0","100007834","POINT (-122.41683 37.776993)","32","5","10","34","32"
