"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","activity_type_code","cargo_type_code","cargo_aircraft_type","cargo_weight_lbs","cargo_metric_tons"
"202109","Iberia","IB","Iberia","IB","International","Europe","Enplaned","Cargo","Passenger","8383","3.803"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Deplaned","Mail","Passenger","1016960","461.293"
"202109","China Southern","CZ","China Southern","CZ","International","Asia","Enplaned","Cargo","Passenger","150349","68.198"
"202109","Swiss International","LX","Swiss International","LX","International","Europe","Enplaned","Mail","Passenger","14960","6.786"
"202109","All Nippon Airways","NH","All Nippon Airways","NH","International","Asia","Deplaned","Mail","Passenger","28629","12.986"
"202109","United Airlines","UA","United Airlines","UA","International","Europe","Enplaned","Express","Passenger","3293","1.494"
"202109","American Airlines","AA","American Airlines","AA","Domestic","US","Enplaned","Cargo","Passenger","109212","49.539"
"202109","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Enplaned","Express","Passenger","1201","0.545"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Enplaned","Express","Passenger","9077","4.117"
"202109","SkyWest Airlines","OO","Alaska Airlines","AS","Domestic","US","Deplaned","Express","Passenger","4124","1.871"
"202109","Atlas Air, Inc","5Y","Atlas Air, Inc","5Y","Domestic","US","Deplaned","Cargo","Freighter","1070392","485.53"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Deplaned","Mail","Passenger","125665","57.002"
"202109","American Airlines","AA","American Airlines","AA","Domestic","US","Deplaned","Mail","Passenger","238570","108.215"
"202109","Air Canada","AC","Air Canada","AC","International","Canada","Enplaned","Express","Passenger","12527","5.682"
"202109","Japan Airlines","JL","Japan Airlines","JL","International","Asia","Deplaned","Mail","Passenger","201330","91.323"
"202109","Cathay Pacific","CX","Cathay Pacific","CX","International","Asia","Enplaned","Cargo","Passenger","580216","263.186"
"202109","SAS Airlines","SK","SAS Airlines","SK","International","Europe","Deplaned","Express","Passenger","3519","1.596"
"202109","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Enplaned","Cargo","Passenger","17725","8.04"
"202109","EVA Airways","BR","EVA Airways","BR","International","Asia","Enplaned","Cargo","Passenger","1372990","622.788"
"202109","Air Canada","AC","Air Canada","AC","International","Canada","Deplaned","Cargo","Passenger","2586","1.173"
"202109","Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Enplaned","Cargo","Passenger","7128","3.233"
"202109","United Airlines","UA","United Airlines","UA","International","Middle East","Deplaned","Mail","Passenger","13543","6.143"
"202109","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Enplaned","Mail","Passenger","320","0.145"
"202109","Cathay Pacific","CX","Cathay Pacific","CX","International","Asia","Deplaned","Mail","Passenger","24021","10.896"
"202109","Iberia","IB","Iberia","IB","International","Europe","Deplaned","Cargo","Passenger","45284","20.541"
"202109","British Airways","BA","British Airways","BA","International","Europe","Enplaned","Cargo","Passenger","421711","191.288"
"202109","China Southern","CZ","China Southern","CZ","International","Asia","Deplaned","Mail","Passenger","17983","8.157"
"202109","Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Deplaned","Cargo","Passenger","389328","176.599"
"202109","United Airlines","UA","United Airlines","UA","International","Europe","Deplaned","Mail","Passenger","187806","85.189"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Enplaned","Mail","Passenger","44780","20.312"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Deplaned","Cargo","Passenger","1828340","829.335"
"202109","Air Canada","AC","Air Canada","AC","International","Canada","Enplaned","Cargo","Passenger","21091","9.567"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Enplaned","Mail","Passenger","1218328","552.634"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Enplaned","Express","Passenger","3177","1.441"
"202109","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Deplaned","Cargo","Passenger","705505","320.017"
"202109","Air New Zealand","NZ","Air New Zealand","NZ","International","Australia / Oceania","Enplaned","Cargo","Passenger","15071","6.836"
"202109","Nippon Cargo Airlines","KZ","Nippon Cargo Airlines","KZ","International","Asia","Enplaned","Cargo","Freighter","586510","266.041"
"202109","Philippine Airline, Inc. (INACTIVE - DO NOT USE)",,"Philippine Airline, Inc. (INACTIVE - DO NOT USE)",,"International","Asia","Enplaned","Cargo","Passenger","97986","44.446"
"202109","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Enplaned","Cargo","Passenger","186184","84.453"
"202109","China Eastern","MU","China Eastern","MU","International","Asia","Enplaned","Cargo","Passenger","119411","54.165"
"202109","Federal Express","FX","Federal Express","FX","Domestic","US","Deplaned","Cargo","Freighter","2395984","1086.818"
"202109","ABX Air","GB","ABX Air","GB","Domestic","US","Enplaned","Cargo","Freighter","1843378","836.156"
"202109","United Airlines","UA","United Airlines","UA","International","Europe","Deplaned","Cargo","Passenger","2519748","1142.958"
"202109","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Enplaned","Express","Passenger","3158","1.432"
"202109","Swiss International","LX","Swiss International","LX","International","Europe","Deplaned","Cargo","Passenger","649114","294.438"
"202109","Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Deplaned","Cargo","Passenger","293407","133.089"
"202109","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Enplaned","Mail","Passenger","385447","174.839"
"202109","China Airlines","CI","China Airlines","CI","International","Asia","Deplaned","Mail","Passenger","141620","64.239"
"202109","Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Enplaned","Cargo","Passenger","302521","137.224"
"202109","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Deplaned","Express","Passenger","48497","21.998"
"202109","United Airlines","UA","United Airlines","UA","International","Middle East","Deplaned","Cargo","Passenger","796119","361.12"
"202109","United Airlines","UA","United Airlines","UA","International","Middle East","Deplaned","Express","Passenger","9739","4.418"
"202109","American Airlines","AA","American Airlines","AA","Domestic","US","Deplaned","Cargo","Passenger","44881","20.358"
"202109","Air Canada","AC","Air Canada","AC","International","Canada","Deplaned","Mail","Passenger","2046","0.928"
"202109","China Airlines","CI","China Airlines","CI","International","Asia","Deplaned","Mail","Freighter","50009","22.684"
"202109","Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Deplaned","Mail","Passenger","70342","31.907"
"202109","Turkish Airlines","TK","Turkish Airlines","TK","International","Europe","Deplaned","Cargo","Passenger","853197","387.01"
"202109","Air India Limited","AI","Air India Limited","AI","International","Asia","Enplaned","Cargo","Passenger","106311","48.223"
"202109","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Deplaned","Mail","Passenger","46262","20.984"
"202109","SAS Airlines","SK","SAS Airlines","SK","International","Europe","Deplaned","Cargo","Passenger","344821","156.411"
"202109","Swissport USA",,"Swissport USA",,"International","Asia","Enplaned","Cargo","Passenger","11829","5.366"
"202109","Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Deplaned","Cargo","Passenger","6305","2.86"
"202109","United Airlines","UA","United Airlines","UA","International","Mexico","Deplaned","Express","Passenger","234","0.106"
"202109","Air France","AF","Air France","AF","International","Europe","Deplaned","Cargo","Passenger","840835","381.403"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Deplaned","Express","Passenger","67877","30.789"
"202109","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Enplaned","Cargo","Passenger","1339657","607.668"
"202109","Japan Airlines","JL","Japan Airlines","JL","International","Asia","Deplaned","Cargo","Passenger","1797197","815.209"
"202109","Hawaiian Airlines","HA","Hawaiian Airlines","HA","Domestic","US","Deplaned","Cargo","Passenger","160179","72.657"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Enplaned","Cargo","Passenger","6514466","2954.962"
"202109","Kalitta Air","K4","Kalitta Air","K4","Domestic","US","Deplaned","Cargo","Freighter","4388110","1990.447"
"202109","Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","International","Europe","Enplaned","Cargo","Passenger","618113","280.376"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Enplaned","Mail","Passenger","328133","148.841"
"202109","United Airlines","UA","United Airlines","UA","International","Middle East","Enplaned","Cargo","Passenger","395220","179.272"
"202109","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Deplaned","Express","Passenger","7784","3.531"
"202109","Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Enplaned","Cargo","Freighter","1819879","825.497"
"202109","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Enplaned","Cargo","Freighter","1703689","772.793"
"202109","KLM Royal Dutch Airlines","KL","KLM Royal Dutch Airlines","KL","International","Europe","Enplaned","Cargo","Passenger","337515","153.097"
"202109","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Deplaned","Cargo","Passenger","4552","2.065"
"202109","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Deplaned","Mail","Passenger","6986","3.169"
"202109","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Deplaned","Mail","Passenger","400166","181.515"
"202109","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Deplaned","Cargo","Passenger","401879","182.292"
"202109","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Enplaned","Mail","Passenger","1967","0.892"
"202109","EVA Airways","BR","EVA Airways","BR","International","Asia","Deplaned","Mail","Passenger","48755","22.115"
"202109","SkyWest Airlines","OO","Alaska Airlines","AS","Domestic","US","Enplaned","Mail","Passenger","4178","1.895"
"202109","Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Enplaned","Cargo","Passenger","233018","105.697"
"202109","United Airlines","UA","United Airlines","UA","Domestic","US","Enplaned","Express","Passenger","90091","40.865"
"202109","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Deplaned","Mail","Passenger","3545","1.608"
"202109","Air France","AF","Air France","AF","International","Europe","Enplaned","Cargo","Passenger","281722","127.789"
"202109","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Enplaned","Cargo","Passenger","379543","172.161"
"202109","United Airlines","UA","United Airlines","UA","International","Asia","Enplaned","Cargo","Passenger","2573396","1167.292"
"202109","SAS Airlines","SK","SAS Airlines","SK","International","Europe","Enplaned","Cargo","Passenger","151744","68.831"
"202109","Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Deplaned","Mail","Passenger","3105","1.408"
"202109","TACA International Airlines, S.A.","TA","TACA International Airlines, S.A.","TA","International","Central America","Deplaned","Cargo","Passenger","5988","2.716"
