"id_no","start_date","start_date_month","start_date_day","start_date_year","end_date","end_date_month","end_date_day","end_date_year","exhibition_type","title","gallery_site","gallery_terminal","gallery_area","gallery_level","gallery_name"
"704","1981-01-01T00:00:00.000","1","1","1981","1981-03-25T00:00:00.000","3","25","1981","General","From the Table Top","F02","T3","F","D","F-02 North Connector"
"682","1981-03-28T00:00:00.000","3","28","1981","1981-06-01T00:00:00.000","6","1","1981","General","New Glass","F02","T3","F","D","F-02 North Connector"
"707","1981-09-15T00:00:00.000","9","15","1981","1982-01-30T00:00:00.000","1","30","1982","General","Folk Art from the Mexican Museum","F02","T3","F","D","F-02 North Connector"
"677","1982-02-14T00:00:00.000","2","14","1982","1982-05-15T00:00:00.000","5","15","1982","General","Carousel Animals from Golden Gate Park Carousel","F02","T3","F","D","F-02 North Connector"
"464","1982-06-21T00:00:00.000","6","21","1982","1982-08-05T00:00:00.000","8","5","1982","General","Artist's Furniture: New Dimensions and Statements in Design","F02","T3","F","D","F-02 North Connector"
"679","1982-08-06T00:00:00.000","8","6","1982","1982-09-17T00:00:00.000","9","17","1982","General","Forgotten Dimension","F02","T3","F","D","F-02 North Connector"
"425","1982-10-09T00:00:00.000","10","9","1982","1983-12-08T00:00:00.000","12","8","1983","General","American Porcelain","F02","T3","F","D","F-02 North Connector"
"465","1983-07-13T00:00:00.000","7","13","1983","1984-01-01T00:00:00.000","1","1","1984","General","Navajo Weavings","D01","T2","D","D","D-01 Central North Connector"
"426","1983-12-12T00:00:00.000","12","12","1983","1984-03-31T00:00:00.000","3","31","1984","General","A is for Animal","F02","T3","F","D","F-02 North Connector"
"718","1983-12-15T00:00:00.000","12","15","1983","1984-03-15T00:00:00.000","3","15","1984","General","Mexican Dance Masks","D04","T2","D","D","D-04 Central Gallery"
"428","1984-03-01T00:00:00.000","3","1","1984","1984-05-10T00:00:00.000","5","10","1984","General","Eskimo Dolls","F10","T3","F","D","F-10 Baseball Hall of Fame"
"681","1984-05-25T00:00:00.000","5","25","1984","1984-09-30T00:00:00.000","9","30","1984","General","American Craft Traditions","F02","T3","F","D","F-02 North Connector"
"726","1984-10-10T00:00:00.000","10","10","1984","1984-11-25T00:00:00.000","11","25","1984","General","Japan: Kimono, Mingei, and Swords","F02","T3","F","D","F-02 North Connector"
"727","1984-11-30T00:00:00.000","11","30","1984","1985-03-14T00:00:00.000","3","14","1985","General","Art and Travel","F02","T3","F","D","F-02 North Connector"
"728","1985-03-15T00:00:00.000","3","15","1985","1985-06-17T00:00:00.000","6","17","1985","General","The Art of the Magician","F02","T3","F","D","F-02 North Connector"
"429","1985-05-29T00:00:00.000","5","29","1985","1985-12-31T00:00:00.000","12","31","1985","General","Thomas Albright","E02","T3","E","D","E-02 Gate 62 Cultural Wall"
"717","1985-06-30T00:00:00.000","6","30","1985","1985-11-01T00:00:00.000","11","1","1985","General","Menagerie: Animal Images by Contemporary Artsists","F02","T3","F","D","F-02 North Connector"
"732","1985-11-19T00:00:00.000","11","19","1985","1986-01-01T00:00:00.000","1","1","1986","General","Japanese Art Swords","D01","T2","D","D","D-01 Central North Connector"
"431","1986-04-15T00:00:00.000","4","15","1986","1986-07-06T00:00:00.000","7","6","1986","General","Airport Cafe","F02","T3","F","D","F-02 North Connector"
"466","1986-08-11T00:00:00.000","8","11","1986","1986-11-07T00:00:00.000","11","7","1986","General","Chairs","F02","T3","F","D","F-02 North Connector"
"477","1987-01-01T00:00:00.000","1","1","1987","1987-05-12T00:00:00.000","5","12","1987","General","Japanese Production Design","D01","T2","D","D","D-01 Central North Connector"
"467","1987-03-09T00:00:00.000","3","9","1987","1987-09-09T00:00:00.000","9","9","1987","General","Mexican Folk Art","F02","T3","F","D","F-02 North Connector"
"480","1987-04-01T00:00:00.000","4","1","1987","1987-05-21T00:00:00.000","5","21","1987","General","Houses","A06","IT","A","D","A-06 Gate 08"
"471","1987-05-01T00:00:00.000","5","1","1987","1987-09-08T00:00:00.000","9","8","1987","General","Rudy Arnold Aviation Photography","E02","T3","E","D","E-02 Gate 62 Cultural Wall"
"472","1987-05-01T00:00:00.000","5","1","1987","1987-09-08T00:00:00.000","9","8","1987","General","Vintage Prints of the Pan-Pacific Festival","F06","T3","F","D","F-06 Gate 72"
"473","1987-05-01T00:00:00.000","5","1","1987","1987-09-08T00:00:00.000","9","8","1987","General","The San Francisco Exploratorium","F07","T3","F","D","F-07 Gate 74"
"474","1987-05-01T00:00:00.000","5","1","1987","1987-05-30T00:00:00.000","5","30","1987","General","It's Raining Cats and Dogs","D04","T2","D","D","D-04 Central Gallery"
"478","1987-05-15T00:00:00.000","5","15","1987","1987-06-08T00:00:00.000","6","8","1987","General","Philippine Textiles","D01","T2","D","D","D-01 Central North Connector"
"475","1987-06-06T00:00:00.000","6","6","1987","1987-08-28T00:00:00.000","8","28","1987","General","Mexican and Peruvian Ceramics","D04","T2","D","D","D-04 Central Gallery"
"479","1987-06-15T00:00:00.000","6","15","1987","1987-09-01T00:00:00.000","9","1","1987","General","Imaginary Acquaintances","D01","T2","D","D","D-01 Central North Connector"
"481","1987-07-06T00:00:00.000","7","6","1987","1987-08-01T00:00:00.000","8","1","1987","General","California Scenes","A06","IT","A","D","A-06 Gate 08"
"476","1987-09-01T00:00:00.000","9","1","1987","1987-10-15T00:00:00.000","10","15","1987","General","Contemporary British Ceramics","D10","T2","D","D","D-10 Central Cases (Currency Exchange)"
"486","1987-09-01T00:00:00.000","9","1","1987","1988-01-15T00:00:00.000","1","15","1988","General","Vintage Prints of the Panama-Pacific International Exposition","F08","T3","F","D","F-08 Gate 81"
"491","1987-09-01T00:00:00.000","9","1","1987","1987-10-15T00:00:00.000","10","15","1987","General","Historic Cable Cars","D11","T2","D","D","D-11 Central Wall (Duty Free)"
"492","1987-09-01T00:00:00.000","9","1","1987","1987-09-24T00:00:00.000","9","24","1987","General","Bay Area Fashion Accessories","A06","IT","A","D","A-06 Gate 08"
"489","1987-09-09T00:00:00.000","9","9","1987","1987-11-01T00:00:00.000","11","1","1987","General","Bay Area Fashion Designs","D01","T2","D","D","D-01 Central North Connector"
"493","1987-09-25T00:00:00.000","9","25","1987","1987-11-16T00:00:00.000","11","16","1987","General","Bay Area Craft Forms","A06","IT","A","D","A-06 Gate 08"
"482","1987-10-05T00:00:00.000","10","5","1987","1988-01-15T00:00:00.000","1","15","1988","General","The Right Foot Show","F02","T3","F","D","F-02 North Connector"
"487","1987-10-16T00:00:00.000","10","16","1987","1987-11-27T00:00:00.000","11","27","1987","General","Ceramics from Faenza, Italy","D10","T2","D","D","D-10 Central Cases (Currency Exchange)"
"490","1987-11-06T00:00:00.000","11","6","1987","1988-01-08T00:00:00.000","1","8","1988","General","Trees of Life","D01","T2","D","D","D-01 Central North Connector"
"494","1987-11-17T00:00:00.000","11","17","1987","1987-12-31T00:00:00.000","12","31","1987","General","Carrot Air Force by Tom Foolery","A06","IT","A","D","A-06 Gate 08"
"495","1988-01-01T00:00:00.000","1","1","1988","1988-06-30T00:00:00.000","6","30","1988","General","Photographs from the Farm Security Administration","D11","T2","D","D","D-11 Central Wall (Duty Free)"
"735","1988-01-01T00:00:00.000","1","1","1988","1998-06-30T00:00:00.000","6","30","1998","General","Photographs from Bay Area Community Service Organizations","E04","T3","E","D","E-04 Gate 61 Cultural Wall"
"488","1988-01-15T00:00:00.000","1","15","1988","1988-06-15T00:00:00.000","6","15","1988","General","Folk Toys","D01","T2","D","D","D-01 Central North Connector"
"525","1988-01-16T00:00:00.000","1","16","1988","1988-12-31T00:00:00.000","12","31","1988","General","Victorian Architecture of San Francisco","F08","T3","F","D","F-08 Gate 81"
"754","1988-01-16T00:00:00.000","1","16","1988","1988-05-31T00:00:00.000","5","31","1988","General","Tin Toy Dreams","F02","T3","F","D","F-02 North Connector"
"496","1988-07-01T00:00:00.000","7","1","1988","1988-08-30T00:00:00.000","8","30","1988","General","Photographs of the Statue of Liberty","D11","T2","D","D","D-11 Central Wall (Duty Free)"
"504","1988-07-01T00:00:00.000","7","1","1988","1988-08-30T00:00:00.000","8","30","1988","General","River of Mystery: The Sepik River of Papua, New Guinea","D01","T2","D","D","D-01 Central North Connector"
"506","1988-07-01T00:00:00.000","7","1","1988","1988-10-30T00:00:00.000","10","30","1988","General","Natural Materials from the California Academy of Sciences","F02","T3","F","D","F-02 North Connector"
"508","1988-07-01T00:00:00.000","7","1","1988","1988-08-31T00:00:00.000","8","31","1988","General","Photographs of Indonesian Folk Artists","E04","T3","E","D","E-04 Gate 61 Cultural Wall"
"515","1988-07-01T00:00:00.000","7","1","1988","1988-12-31T00:00:00.000","12","31","1988","Aviation","Aviation Photographs by Hans Groenhoff","B02","T1","B","D","B-02 Gate 26"
"498","1988-08-01T00:00:00.000","8","1","1988","1988-09-30T00:00:00.000","9","30","1988","General","Pasta","D10","T2","D","D","D-10 Central Cases (Currency Exchange)"
"502","1988-08-01T00:00:00.000","8","1","1988","1988-10-31T00:00:00.000","10","31","1988","General","Doors","C05","T1","C","A","C-05 Terminal One Lower Gallery"
"516","1988-08-01T00:00:00.000","8","1","1988","1988-10-31T00:00:00.000","10","31","1988","General","Carrot Airforce by Tom Foolery","C03","T1","C","D","C-03 Entrance Lobby C"
"505","1988-09-01T00:00:00.000","9","1","1988","1988-12-31T00:00:00.000","12","31","1988","General","Treasures of Egypt from the Lowie Museum, University of California, Berkeley","D01","T2","D","D","D-01 Central North Connector"
"509","1988-09-01T00:00:00.000","9","1","1988","1988-10-31T00:00:00.000","10","31","1988","General","Gleason Waite Romer","E04","T3","E","D","E-04 Gate 61 Cultural Wall"
"511","1988-09-01T00:00:00.000","9","1","1988","1988-10-31T00:00:00.000","10","31","1988","General","Historic Menus from San Francisco Restaurants","F03","T3","F","D","F-03 Gate 76"
"499","1988-10-01T00:00:00.000","10","1","1988","1988-11-15T00:00:00.000","11","15","1988","General","Day of the Dead","D10","T2","D","D","D-10 Central Cases (Currency Exchange)"
"503","1988-11-01T00:00:00.000","11","1","1988","1988-12-31T00:00:00.000","12","31","1988","General","Turn of the Century French Posters from the Collection of Peter Dreyfuss","C05","T1","C","A","C-05 Terminal One Lower Gallery"
"517","1988-11-01T00:00:00.000","11","1","1988","1988-12-31T00:00:00.000","12","31","1988","General","Antique Toys from Bay Area Collections","C03","T1","C","D","C-03 Entrance Lobby C"
"507","1988-11-07T00:00:00.000","11","7","1988","1989-02-25T00:00:00.000","2","25","1989","General","The Tradition of the Carousel","F02","T3","F","D","F-02 North Connector"
"434","1988-12-15T00:00:00.000","12","15","1988","1989-03-15T00:00:00.000","3","15","1989","General","Alcatraz: Photography by Ed Beyeler","E02","T3","E","D","E-02 Gate 62 Cultural Wall"
