"docusignid","filing","trainingdate","trainingtype","datesigned","fullname"
"0c186c76-bea4-4dd7-a68f-3e5fc8369c4f","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/0c186c76-bea4-4dd7-a68f-3e5fc8369c4f.pdf","2020-09-11T00:00:00.000","Online Combined Training","2020-09-11T11:36:37.683","Derek Lee"
"e14b823b-2e61-48e3-9f09-5d225e6cef4f","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/e14b823b-2e61-48e3-9f09-5d225e6cef4f.pdf","2020-05-14T00:00:00.000","Online Candidate Committee Training","2020-05-14T10:12:44.207","Charles Belle"
"701d8ade-6056-4e35-b68b-ae2149b89839","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/701d8ade-6056-4e35-b68b-ae2149b89839.pdf","2020-05-29T00:00:00.000","Online Candidate Committee Training","2020-05-29T14:09:59.373","Sandra Dratler"
"3d78f859-1b62-4f14-9f7d-252ebfbb132b","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/3d78f859-1b62-4f14-9f7d-252ebfbb132b.pdf","2020-06-04T00:00:00.000","Online Candidate Committee Training","2020-06-02T12:05:14.630","Veronica Shinzato"
"ec978293-29ab-47cc-91c2-4252172b4e51","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/ec978293-29ab-47cc-91c2-4252172b4e51.pdf","2020-06-05T00:00:00.000","Online Candidate Committee Training","2020-06-05T14:32:29.840","Benjamin Matranga"
"f3d71eb6-5aec-4060-96ad-0ad7018a38e4","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/f3d71eb6-5aec-4060-96ad-0ad7018a38e4.pdf","2020-06-08T00:00:00.000","Online Candidate Committee Training","2020-06-08T14:46:20.127","Marcelo Colussi"
"a6a2ba84-d0ae-406f-aa3f-1d59e3a020f6","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/a6a2ba84-d0ae-406f-aa3f-1d59e3a020f6.pdf","2020-06-08T00:00:00.000","Online Candidate Committee Training","2020-06-08T15:12:06.963","Veronica Shinzato"
"d900544b-4cef-4b59-955f-3172b2ac8ed7","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/d900544b-4cef-4b59-955f-3172b2ac8ed7.pdf","2020-06-08T00:00:00.000","Online Candidate Committee Training","2020-06-08T15:14:10.480","Albany Aroyan"
"072772ac-f035-4489-b3e1-87e67baf73c9","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/072772ac-f035-4489-b3e1-87e67baf73c9.pdf","2020-06-08T00:00:00.000","Online Candidate Committee Training","2020-06-08T15:18:41.153","Spencer Simonsen"
"88e31ac1-c025-4a68-a026-45a2194f2506","https://sfethicsstorage.blob.core.usgovcloudapi.net/sfec107/88e31ac1-c025-4a68-a026-45a2194f2506.pdf","2020-06-08T00:00:00.000","Online Combined Training","2020-06-08T15:19:51.297","Peter Sullivan"
