"year","month","airline_code","airline","total_noise_exceedances","total_operations_per_month","exceedances_per_1000_operations","noise_exceedance_quality_rating_score","noise_exceedance_rating"
"2006","April","SKW","SKYWEST","12","6663","2","9.99","9.99"
"2006","April","EGF","AMERICAN AIRLINES EAGLE","1","279","4","9.98","9.98"
"2006","April","BAW","BRITISH AIRWAYS","1","120","8","9.96","9.96"
"2006","April","AWE","US AIRWAYS","6","695","9","9.96","9.96"
"2006","April","TAG","TAG AVIATION","1","110","9","9.95","9.95"
"2006","April","LXJ","FLEXJET","1","94","11","9.94","9.94"
"2006","April","ACA","AIR CANADA","5","422","12","9.94","9.94"
"2006","April","TRS","AIRTRAN AIRWAYS","2","120","17","9.91","9.91"
"2006","April","ANA","ALL NIPPON AIRWAYS","1","60","17","9.91","9.91"
"2006","April","KLM","KLM ROYAL DUTCH AIRLINES","1","60","17","9.91","9.91"
"2006","April","MEP","MIDWEST AIRLINES","1","60","17","9.91","9.91"
"2006","April","USA","US AIRWAYS","7","400","18","9.91","9.91"
"2006","April","FFT","FRONTIER AIRLINES","5","285","18","9.91","9.91"
"2006","April","ASA","ALASKA AIRLINES","21","1171","18","9.91","9.91"
"2006","April","MXA","MEXICANA","4","148","27","9.86","9.86"
"2006","April","COA","CONTINENTAL AIR LINES","20","723","28","9.86","9.86"
"2006","April","AAL","AMERICAN AIRLINES","70","2143","33","9.83","9.83"
"2006","April","UAL","UNITED AIRLINES","294","8536","34","9.82","9.82"
"2006","April","AFR","AIR FRANCE","2","58","34","9.82","9.82"
"2006","April","NWA","NORTHWEST AIRLINES","23","651","35","9.82","9.82"
"2006","April","DAL","DELTA AIRLINES","41","1053","39","9.80","9.80"
"2006","April","ABX","AIRBORNE EXPRESS","13","134","97","9.50","9.50"
"2006","April","SCX","SUN COUNTRY","7","58","121","9.37","9.37"
"2006","April","AMT","AMERICAN TRANS AIR","28","208","135","9.30","9.30"
"2006","April","JAL","JAPAN AIRLINES","24","142","169","9.12","9.12"
"2006","April","TAI","TACA INTERNATIONAL AIRLINES","13","68","191","9.01","9.01"
"2006","April","DLH","LUFTHANSA","23","119","193","8.99","8.99"
"2006","April","DHL","DHL","8","39","205","8.93","8.93"
"2006","April","OAE","OMNI AIR EXPRESS","1","4","250","8.70","8.70"
"2006","April","FDX","FEDERAL EXPRESS","40","149","268","8.60","8.60"
"2006","April","NCA","NIPPON CARGO AIRLINES","25","80","313","8.37","8.37"
"2006","April","AAR","ASIANA AIRLINES","25","52","481","7.50","7.50"
"2006","April","CLX","CARGOLUX","8","16","500","7.40","7.40"
"2006","April","DDA","D & D AVIATION","3","6","500","7.40","7.40"
"2006","April","JUS","USA JET AIRLINES","1","2","500","7.40","7.40"
"2006","April","KAL","KOREAN AIR","61","104","587","6.95","6.95"
"2006","April","CKS","KALITTA AIR","19","28","679","6.47","6.47"
"2006","April","CAL","CHINA AIRLINES","103","113","912","5.26","5.26"
"2006","April","CKK","CHINA CARGO AIRLINES","34","36","944","5.09","5.09"
"2006","April","SIA","SINGAPORE AIRLINES","115","120","958","5.02","5.02"
"2006","April","EVA","EVA AIRWAYS","98","96","1021","4.69","4.69"
"2006","April","TDX","TRADEWINDS INTERNATIONAL AIRLINES","14","11","1273","3.38","3.38"
"2006","April","PAL","PHILIPPINE AIRLINES","112","74","1514","2.13","2.13"
"2006","April","CPA","CATHAY PACIFIC AIRWAYS","146","85","1718","1.07","1.07"
"2006","April","QFA","QANTAS AIRWAYS","50","26","1923","0.00","-0.00"
"2007","April","SKW","SKYWEST","15","6879","2","9.99","9.99"
"2007","April","QXE","HORIZON AIR","1","171","6","9.97","9.97"
"2007","April","COA","CONTINENTAL AIR LINES","5","731","7","9.96","9.96"
"2007","April","TRS","AIRTRAN AIRWAYS","1","112","9","9.95","9.95"
"2007","April","ACA","AIR CANADA","4","417","10","9.95","9.95"
"2007","April","USA","US AIRWAYS","5","403","12","9.93","9.93"
"2007","April","ASA","ALASKA AIRLINES","21","1458","14","9.92","9.92"
"2007","April","CCA","AIR CHINA","1","60","17","9.91","9.91"
"2007","April","MEP","MIDWEST AIRLINES","1","60","17","9.91","9.91"
"2007","April","FFT","FRONTIER AIRLINES","10","577","17","9.91","9.91"
"2007","April","AWE","US AIRWAYS","15","763","20","9.89","9.89"
"2007","April","DAL","DELTA AIRLINES","18","722","25","9.87","9.87"
"2007","April","UAL","UNITED AIRLINES","251","8595","29","9.84","9.84"
"2007","April","AFR","AIR FRANCE","2","60","33","9.82","9.82"
"2007","April","BAW","BRITISH AIRWAYS","4","120","33","9.82","9.82"
"2007","April","HAL","HAWAIIAN AIRLINES","2","60","33","9.82","9.82"
"2007","April","MXA","MEXICANA","5","133","38","9.80","9.80"
"2007","April","AAL","AMERICAN AIRLINES","79","2044","39","9.79","9.79"
"2007","April","NWA","NORTHWEST AIRLINES","31","673","46","9.75","9.75"
"2007","April","KLM","KLM ROYAL DUTCH AIRLINES","3","58","52","9.72","9.72"
"2007","April","SCX","SUN COUNTRY","5","60","83","9.55","9.55"
"2007","April","TAI","TACA INTERNATIONAL AIRLINES","6","66","91","9.51","9.51"
"2007","April","ABX","AIRBORNE EXPRESS","15","134","112","9.40","9.40"
"2007","April","DDA","D & D AVIATION","1","8","125","9.33","9.33"
"2007","April","DLH","LUFTHANSA","16","120","133","9.29","9.29"
"2007","April","JAL","JAPAN AIRLINES","47","156","301","8.39","8.39"
"2007","April","AAR","ASIANA AIRLINES","17","43","395","7.89","7.89"
"2007","April","FDX","FEDERAL EXPRESS","60","140","429","7.71","7.71"
"2007","April","NCA","NIPPON CARGO AIRLINES","40","86","465","7.51","7.51"
"2007","April","CLX","CARGOLUX","8","16","500","7.33","7.33"
"2007","April","SOO","SOUTHERN AIR","4","8","500","7.33","7.33"
"2007","April","CKK","CHINA CARGO AIRLINES","21","33","636","6.60","6.60"
"2007","April","KAL","KOREAN AIR","62","86","721","6.15","6.15"
"2007","April","SIA","SINGAPORE AIRLINES","90","119","756","5.96","5.96"
"2007","April","CAL","CHINA AIRLINES","88","109","807","5.68","5.68"
"2007","April","EVA","EVA AIRWAYS","91","104","875","5.32","5.32"
"2007","April","FKS","FOCUS AIR","12","12","1000","4.66","4.66"
"2007","April","CPA","CATHAY PACIFIC AIRWAYS","114","93","1226","3.45","3.45"
"2007","April","PAL","PHILIPPINE AIRLINES","95","70","1357","2.75","2.75"
"2007","April","QFA","QANTAS AIRWAYS","63","44","1432","2.35","2.35"
"2007","April","CKS","KALITTA AIR","58","31","1871","0.00","0.00"
"2008","April","BTA","CONTINENTAL EXPRESS","1","295","3","9.98","9.98"
