"districtna","shape_area","shape_len","url","zoning_sim","geometry","multigeom"
"RESIDENTIAL- HOUSE, ONE FAMILY","32500.3889141","800.009430988","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.4081595550922 37.71638608641962, -122.40818734434342 37.71632107165883, -122.4082151347032 37.71625605777333, -122.40824292385726 37.71619104299809, -122.40827071298578 37.71612602911646, -122.40829850319976 37.71606101520927, -122.4083540823247 37.71593098649069, -122.40851749208667 37.71597577127579, -122.40868090320267 37.71602055671638, -122.4087626088113 37.716042948450706, -122.40884431451546 37.716065341930005, -122.40892602022262 37.716087733550836, -122.40900772486806 37.71611012603415, -122.40894103178177 37.716266160667395, -122.40889656844234 37.71637018405171, -122.40886877976988 37.716435198078436, -122.40854195684275 37.71634562837983, -122.40851416673529 37.71641064234154, -122.4084863777364 37.716475657178464, -122.40845858866574 37.71654067110733, -122.4081317646352 37.71645110029065, -122.4081595550922 37.71638608641962))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","96147.3854586","1281.22843991","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.42099428766242 37.72583376675412, -122.42128989604689 37.725756535361526, -122.42131683624116 37.72582177548634, -122.42134377532525 37.72588701472192, -122.4213707155908 37.7259522539322, -122.42139765479274 37.72601749405493, -122.42142459515283 37.726082733251495, -122.42145153442608 37.726147972459685, -122.42147847490405 37.726213212543406, -122.42150541540606 37.7262784517194, -122.42153235484443 37.726343691807884, -122.42155929544101 37.72640893097019, -122.42158623608485 37.72647417012559, -122.42161317566514 37.726539410193546, -122.42164011640354 37.72660464933527, -122.42166705607842 37.72666988938951, -122.4216939969114 37.72673512851754, -122.42172167254374 37.726802147288815, -122.42140957906892 37.726883530133804, -122.42132744914466 37.7269049462015, -122.4212453191731 37.72692636221189, -122.42093322465522 37.72700774379343, -122.42090569613639 37.72694108023706, -122.42087875703146 37.72687584001168, -122.420851816863 37.72681060069869, -122.4208248767185 37.726745360478084, -122.42079793777876 37.726680121132915, -122.4207709977521 37.72661488179943, -122.42074405888368 37.72654964153976, -122.4207171189516 37.72648440219253, -122.42069017904358 37.72641916193766, -122.42066324034023 37.72635392255825, -122.42063630055009 37.726288683190496, -122.4206093619181 37.72622344289653, -122.4205705688593 37.7261294980755, -122.42050160453026 37.725962484410275, -122.4206658324383 37.72591957905437, -122.42081363703696 37.72588096341306, -122.42089575139003 37.72585951008633, -122.42099428766242 37.72583376675412))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","121096.168828","1605.8417467","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.42680761593893 37.72542177700336, -122.42693208383967 37.72525690037731, -122.42700617335898 37.72529226926306, -122.42708026183797 37.72532763902142, -122.42715435036406 37.72536300783214, -122.42722844011823 37.72539837747836, -122.42752857499252 37.72554165756325, -122.42748412206373 37.725600542833206, -122.42743966904112 37.72565942718498, -122.4273952171056 37.72571831240173, -122.42735076394216 37.725777196718816, -122.42730631186583 37.72583608190085, -122.42726185856152 37.72589496618331, -122.4272174051868 37.72595385044843, -122.42717295289916 37.72601273557844, -122.42712849938356 37.72607161980892, -122.42708404582089 37.72613050492282, -122.4270395932986 37.72618938910002, -122.42699513959508 37.72624827417931, -122.42695068693195 37.72630715832186, -122.4269062330642 37.72636604246558, -122.4268617791494 37.72642492749287, -122.42681732627494 37.726483811583385, -122.42677287221926 37.726542696576004, -122.4267284180698 37.72660158065042, -122.42668396498406 37.72666046468893, -122.4266395107171 37.726719349629526, -122.4264587694827 37.72695876272891, -122.42630681131776 37.72688621955077, -122.42615863092527 37.72681547905101, -122.4260845414252 37.726780109622524, -122.42601045083812 37.72674473926495, -122.4259363614791 37.72670936974287, -122.42586227103307 37.7266739992917, -122.4260430146305 37.72643458707766, -122.42608746922305 37.726375703260274, -122.4261319225876 37.72631681854323, -122.4261763770393 37.7262579346911, -122.4262208313972 37.72619904992087, -122.4262652845739 37.72614016605267, -122.42630973881428 37.72608128214855, -122.42635419182676 37.72602239734484, -122.42639864592631 37.725963513406086, -122.4264430987979 37.72590462856768, -122.42648755389074 37.72584574457569, -122.42653200664478 37.725786860603485, -122.42657646043925 37.72572797569451, -122.4266209130525 37.72566909168765, -122.4266653667061 37.72561020674402, -122.42670981917848 37.72555132270245, -122.4267542727146 37.725492438625025, -122.42680761593893 37.72542177700336))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","5.89943760388","81.3875855705","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.38203554631946 37.7276661178822, -122.38204475101294 37.72765914141152, -122.38194858344771 37.72773860592129, -122.38194690419171 37.72773941410165, -122.38196663355859 37.727723099626886, -122.38200374061397 37.72769241701267, -122.38203554631946 37.7276661178822))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","28937.522205","798.905981835","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.47048919077358 37.708978991588864, -122.47048685052636 37.708746949469564, -122.4705732852099 37.70874732204552, -122.47065972105203 37.70874769543992, -122.47074615576119 37.70874806878992, -122.47083256550171 37.70874844159304, -122.47083505459688 37.70897698623354, -122.47083580163867 37.70904564262661, -122.47083654983965 37.70911429990079, -122.47083729688418 37.70918295629236, -122.47083804508794 37.70925161356506, -122.47083879213525 37.70932026995514, -122.4708391148147 37.709349899047105, -122.47083908122002 37.70935316749646, -122.47083900882635 37.70935484410833, -122.4708389001002 37.709356519525734, -122.47083875504148 37.709358193748606, -122.47083857133471 37.70935986501322, -122.47083835351536 37.70936153324367, -122.470838097048 37.709363198515945, -122.4708378053342 37.70936486077301, -122.47083747716849 37.709366517331375, -122.47083711146465 37.70936817001172, -122.47083671044273 37.70936981697437, -122.47083627296888 37.70937145823831, -122.47083580015311 37.70937309288371, -122.47083529086149 37.70937472092961, -122.47083474622785 37.709376342357004, -122.47083416507064 37.70937795538314, -122.47083354965766 37.709379559970074, -122.47083289885488 37.7093811561369, -122.47083221374854 37.7093827420628, -122.47083149211856 37.70938431958754, -122.47083073729506 37.7093858859516, -122.47082994816796 37.70938744207481, -122.47082912471332 37.709388987056364, -122.47082824306015 37.709390561851286, -122.47082735203672 37.70939208272878, -122.47082642663806 37.709393590662955, -122.47082546799801 37.70939508563475, -122.47082447725052 37.70939656762521, -122.47082345434777 37.709398034832745, -122.47082239931373 37.70939948815806, -122.47082131210058 37.709400925799585, -122.47082019388995 37.70940234954001, -122.47081904461031 37.70940375667677, -122.47081786428537 37.70940514811069, -122.47081665402531 37.709406522922016, -122.4708154138061 37.7094078802099, -122.4707915332204 37.70943307284608, -122.47076713608153 37.70945795147738, -122.47074146367407 37.70948320833157, -122.47071523945324 37.70950810490551, -122.470688472299 37.709532633840325, -122.47066117111528 37.709556788677965, -122.47063334249044 37.70958056119675, -122.47060499643848 37.70960394401883, -122.47055420808745 37.70964387591987, -122.47055376985458 37.70964420499362, -122.47055332351721 37.70964452789429, -122.47055287020926 37.70964484460294, -122.47055241104076 37.70964515419975, -122.47055194379168 37.70964545852426, -122.47055147068203 37.709645755736936, -122.4705509905779 37.709646045856786, -122.47055050463712 37.7096463297656, -122.47055001285965 37.709646607463405, -122.47054951406389 37.709646877167486, -122.47054901056532 37.709647140641536, -122.47054850007227 37.70964739702279, -122.47054798485262 37.70964764627317, -122.4705474649063 37.70964788839278, -122.47054693796551 37.70964812341945, -122.4705464074081 37.709648350395504, -122.47054587101404 37.70964857116058, -122.47054533097946 37.709648782974135, -122.4705447851082 37.70964898857673, -122.47054423448643 37.709649186147615, -122.47054368138194 37.70964937564893, -122.4705431235269 37.7096495571186, -122.47054256096908 37.70964973235828, -122.47054199590471 37.709649898627504, -122.47054142608977 37.70965005686506, -122.47054085381602 37.70965020793384, -122.47054027679171 37.70965035097104, -122.47053969839467 37.70965048501875, -122.47053911640498 37.70965061191669, -122.47053853193249 37.709650730745004, -122.4705379449773 37.70965084150377, -122.47053735553942 37.709650944192916, -122.47053676359495 37.70965103791161, -122.47053617030157 37.709651123541725, -122.47053557452554 37.709651201102226, -122.4705349774007 37.70965127057418, -122.47053438006095 37.70965133193859, -122.47053378021461 37.709651384332545, -122.47053317901944 37.70965142863795, -122.47053257763321 37.70965146573665, -122.47053197485042 37.70965149294505, -122.47053137187662 37.709651512946785, -122.47053076866399 37.709651523940124, -122.47053016637038 37.709651526806994, -122.47052956270403 37.70965152068439, -122.47052895884673 37.70965150735509, -122.4705283570184 37.70965148497954, -122.47052775495128 37.70965145359552, -122.47052715382705 37.70965141498585, -122.47052655246401 37.70965136736776, -122.47052595431164 37.70965131248614, -122.47052535589664 37.709651247695234, -122.47052475955837 37.70965117565971, -122.47052416413914 37.70965109549767, -122.47052357188281 37.709651006270335, -122.47052298167934 37.70965090889748, -122.47052239241879 37.70965080429899, -122.47052180632116 37.70965069063517, -122.4705212223003 37.70965056972671, -122.47052064144235 37.70965043975299, -122.47052006379512 37.70965030251562, -122.47051948820072 37.7096501571328, -122.4705189169271 37.70965000356648, -122.47051834886413 37.709649842736624, -122.47051778396403 37.70964967284143, -122.4705172234325 37.709649496564474, -122.47051666719773 37.70964931120327, -122.47051611417362 37.70964911857846, -122.47051556549411 37.70964891867108, -122.47051502229311 37.70964871146212, -122.4705144834128 37.70964849606971, -122.47051394887713 37.70964827339473, -122.4705134198199 37.70964804341819, -122.47051289510725 37.70964780615906, -122.47051237700695 37.70964756157942, -122.47051186325129 37.709647309717155, -122.47051135499802 37.70964705145416, -122.47051085333322 37.70964678496986, -122.47051035719468 37.709646512985664, -122.47050986651074 37.70964623279904, -122.47050938248695 37.709645947093556, -122.47050890507558 37.70964565406757, -122.47050843430046 37.70964535462184, -122.47050796900383 37.70964504787463, -122.47050751263517 37.709644735570556, -122.47050706176887 37.70964441686582, -122.4705066175627 37.709644092642215, -122.47050618112674 37.70964376197993, -122.47050575243705 37.709643423978136, -122.47050533043134 37.70964308135837, -122.47050491621974 37.70964273320075, -122.47050450977837 37.70964237860448, -122.47050411113096 37.7096420184704, -122.47050372141152 37.70964165277951, -122.47050333837615 37.709641282470606, -122.47050296540263 37.709640906585896, -122.47050259908924 37.70964052518237, -122.47050224172769 37.70964013912293, -122.47050189331793 37.70963974840749, -122.47050155270227 37.70963935215421, -122.47050122103843 37.70963895124502, -122.47050089835035 37.70963854658072, -122.47050058461407 37.709638137260434, -122.47050027982961 37.7096377232842, -122.47049998402088 37.709637305552825, -122.47049969832173 37.70963688404739, -122.47049942157446 37.709636457886006, -122.47049915380293 37.70963602796947, -122.4704988961648 37.70963559517972, -122.47049864747856 37.70963515773401, -122.47049840781581 37.70963471833487, -122.47049817939651 37.70963427514263, -122.47049795995295 37.709633828195294, -122.4704977495329 37.7096333792945, -122.47049755035636 37.70963292660069, -122.47049736017931 37.709632471052565, -122.47049718129362 37.709632013513094, -122.47049701143145 37.709631554020156, -122.47049685170269 37.70963109165397, -122.47049670213129 37.709630627315384, -122.4704965638512 37.709630160985405, -122.47049643459457 37.70962969270202, -122.47049631549531 37.70962922244619, -122.47049620771121 37.70962875109979, -122.47049611008444 37.709628277781015, -122.470496022639 37.70962780339067, -122.47049594539865 37.70962732882959, -122.47049587942563 37.709626851376306, -122.47049582254779 37.70962637467208, -122.47049577811893 37.70962589685828, -122.47049574273747 37.70962541799197, -122.47049571756114 37.70962493895487, -122.47049570042724 37.70962416417739, -122.47049404135704 37.709459590836396, -122.47049334678606 37.70939093357297, -122.47049265448412 37.70932227627088, -122.47049196218346 37.70925361896807, -122.47049126990795 37.70918496256531, -122.47049057647598 37.70911630527994, -122.47048988417917 37.7090476479749, -122.47048919077358 37.708978991588864))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","41216.8636319","1118.70618916","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.43830601755492 37.7350440115521, -122.43833916534054 37.73494232149316, -122.43839829222449 37.73495433273129, -122.43856235770826 37.73510652463351, -122.438600169145 37.73514159921175, -122.43865980881348 37.7351969220768, -122.4386634575895 37.73519954859755, -122.43873145240288 37.73524850556792, -122.43879944844007 37.73529746248005, -122.43886744454342 37.735346418451705, -122.43893543962548 37.7353953753032, -122.43898334604431 37.735429867266745, -122.43900825529276 37.73543541264521, -122.43909149703404 37.7354539481054, -122.43917474103854 37.73547248166769, -122.43925798399717 37.735491016991496, -122.43934788603012 37.73551103331537, -122.43943778926936 37.73553105045279, -122.4396087304333 37.73556911077986, -122.43960184531464 37.73566574918232, -122.43959392791206 37.73577688099118, -122.4393687102078 37.73572673637232, -122.43927880675045 37.73570671918284, -122.43918890334162 37.73568670192473, -122.43910566020449 37.73566816745355, -122.4390224171089 37.73564963292356, -122.43898296257517 37.73564084818021, -122.43894066290423 37.735626879521824, -122.438832864843 37.73559128045764, -122.43875303879122 37.73556491732649, -122.43867321168527 37.735538555060685, -122.43859338579368 37.735512193622874, -122.43851355993525 37.73548583122999, -122.43843373299913 37.73545946880162, -122.43835390725398 37.73543310630035, -122.4381961629529 37.735381012166386, -122.43825174708515 37.735210497643074, -122.43828369615503 37.73511248540594, -122.43830601755492 37.7350440115521))","false"
"PUBLIC","35710.4755839","776.140106655","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_234","P","POLYGON ((-122.47768300036593 37.779209454553325, -122.4780960615998 37.77919073467647, -122.4781258918282 37.779602004493775, -122.47771282715581 37.77962072359198, -122.4773034696855 37.77963927361836, -122.47727364399583 37.77922800359573, -122.47768300036593 37.779209454553325))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","52368.2908388","933.467602644","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.44253167563622 37.70946111787399, -122.44261653717643 37.70943297418105, -122.44270843996233 37.70960308081427, -122.44274470961776 37.70967021464133, -122.44277917924694 37.709734013850586, -122.44287107802954 37.70990411231604, -122.44278662494501 37.70993301369008, -122.44270217292876 37.70996191498472, -122.44261772082334 37.70999081531786, -122.44253326867573 37.710019716491175, -122.442448816439 37.710048616702935, -122.44236436302617 37.710077517773584, -122.44227991065812 37.710106417864004, -122.44219545827144 37.710135319695425, -122.44196290569383 37.71021490093192, -122.44193363678488 37.71014537403961, -122.44190436793062 37.710075847139215, -122.44187510028864 37.71000632111294, -122.44184583154392 37.709936794196494, -122.44181656287746 37.70986726817288, -122.44178729424216 37.70979774124035, -122.4417541420966 37.70971898752858, -122.44193765115793 37.70965812818431, -122.44202251199044 37.709629984038045, -122.4421073727587 37.7096018398305, -122.44219223346268 37.70957369556171, -122.44227709410242 37.70954555123168, -122.44236195467793 37.70951740684038, -122.44244681518924 37.709489262387805, -122.44253167563622 37.70946111787399))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","110510.658819","1505.10675551","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.4059998295626 37.70927664056564, -122.40603044306782 37.70920810269838, -122.40623688723684 37.70926601338175, -122.40631837884904 37.70928887339614, -122.40639987051138 37.70931173335401, -122.4066823774176 37.70939097965563, -122.40665347664219 37.7094556859036, -122.40662418953256 37.70952125365917, -122.40659490352832 37.709586822289246, -122.40656469701582 37.70965445159102, -122.40653463840412 37.7097217459375, -122.40650458087188 37.70978904025724, -122.40647452328525 37.709856334568606, -122.4064444656442 37.709923628871564, -122.4064144079488 37.70999092316617, -122.40638107926938 37.710065542375496, -122.40634408468664 37.71014836617471, -122.40630709002137 37.71023118996119, -122.40627009525068 37.71031401283411, -122.40623310044373 37.71039683749605, -122.40619610553128 37.71047966124442, -122.40615911167032 37.71056248496177, -122.40613020996095 37.71062719016856, -122.40604350233252 37.71082130848172, -122.40596202949202 37.710798401990694, -122.40588055783564 37.71077549542491, -122.40579908507246 37.71075258792021, -122.40571761238257 37.710729681259885, -122.40563614087681 37.710706774524844, -122.40555466828734 37.71068386775167, -122.40547319685886 37.710660960002876, -122.40539172436979 37.710638053116874, -122.40547843235231 37.71044393529622, -122.4055073356685 37.71037922932827, -122.40554433129826 37.71029640579487, -122.40558132686871 37.71021358314964, -122.40561832117663 37.710130758708345, -122.4056553165822 37.71004793603774, -122.40571080948988 37.70992370020624, -122.40573971126766 37.709858994194306, -122.40576861412906 37.709794288156296, -122.40579751582929 37.70972958302972, -122.40582641859005 37.70966487697619, -122.40585532016664 37.709600170933285, -122.40588422169286 37.709535464882556, -122.40591292797444 37.70947119817541, -122.40594202572838 37.709406052739624, -122.40597092823762 37.709341346647314, -122.4059998295626 37.70927664056564))","false"
"RESIDENTIAL- HOUSE, ONE FAMILY","18569.9806261","570.715145316","http://www.amlegal.com/nxt/gateway.dll/California/planning/article2usedistricts?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$anc=JD_206.1","RH-1","POLYGON ((-122.40947030279881 37.71303708339755, -122.40958638420003 37.71277717906078, -122.4100184752231 37.71289468178917, -122.41019127935179 37.7129416739536, -122.41013925657708 37.71305815377876, -122.41007519980839 37.71320157887967, -122.40998881289889 37.71317808790189, -122.40990239517213 37.71315458744775, -122.40947030279881 37.71303708339755))","false"
