"eas_baseid","address","address_number","address_number_suffix","street_name","street_type","zip_code","cnn","longitude","latitude","point","supdist","supervisor","supdistpad","numbertext","supname","nhood",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"418343","95 BEACHMONT DR","95",,"BEACHMONT","DR","94132","2859000","-122.47422807","37.73261649","POINT (-122.47423 37.732616)","SUPERVISORIAL DISTRICT 4","4","04","FOUR","Gordon Mar","Sunset/Parkside","62","10","8","41"
"291995","3388 WASHINGTON ST","3388",,"WASHINGTON","ST","94118","13446000","-122.44876111","37.79003187","POINT (-122.44876 37.79003)","SUPERVISORIAL DISTRICT 5","5","05","FIVE","Dean Preston","Presidio Heights","10","8","6","31"
"492849","678 A CAPP ST","678","A","CAPP","ST","94110","3678000","-122.41820368","37.75590493","POINT (-122.418205 37.755905)","SUPERVISORIAL DISTRICT 8","8","08","EIGHT","Rafael Mandelman","Noe Valley","53","3","2","20"
"407230","235 MONTEREY BLVD","235",,"MONTEREY","BLVD","94131","9274101","-122.44057661","37.73128512","POINT (-122.440575 37.731285)","SUPERVISORIAL DISTRICT 8","8","08","EIGHT","Rafael Mandelman","West of Twin Peaks","95","9","8","41"
"400990","1361 SOUTH VAN NESS AVE","1361",,"SOUTH VAN NESS","AVE","94110","12031000","-122.41581699","37.75144962","POINT (-122.41582 37.75145)","SUPERVISORIAL DISTRICT 8","8","08","EIGHT","Rafael Mandelman","Bernal Heights","53","3","2","20"
"406579","115 BOSWORTH ST","115",,"BOSWORTH","ST","94112","3020000","-122.42796837","37.73330696","POINT (-122.42797 37.733307)","SUPERVISORIAL DISTRICT 8","8","08","EIGHT","Rafael Mandelman","Outer Mission","93","9","5","28"
"331226","2000 44TH AVE","2000",,"44TH","AVE","94116","1984000","-122.50274757","37.74919522","POINT (-122.50275 37.749195)","SUPERVISORIAL DISTRICT 4","4","04","FOUR","Gordon Mar","Sunset/Parkside","39","10","7","35"
"339561","2555 46TH AVE","2555",,"46TH","AVE","94116","2033000","-122.50474495","37.73885693","POINT (-122.504745 37.738857)","SUPERVISORIAL DISTRICT 7","7","07","SEVEN","Myrna Melgar","Lakeshore","39","10","7","35"
"341541","2709 YORBA ST","2709",,"YORBA","ST","94116","13762000","-122.49563135","37.73444774","POINT (-122.49563 37.734447)","SUPERVISORIAL DISTRICT 7","7","07","SEVEN","Myrna Melgar","Sunset/Parkside","40","10","7","35"
"453888","125 08TH AVE","125",,"08TH","AVE","94118","387000","-122.46711995","37.78607537","POINT (-122.46712 37.786076)","SUPERVISORIAL DISTRICT 2","2","02","TWO","Catherine Stefani","Inner Richmond","5","8","4","11"
"335075","2315 17TH AVE","2315",,"17TH","AVE","94116","768000","-122.47394425","37.7446483","POINT (-122.473946 37.744648)","SUPERVISORIAL DISTRICT 4","4","04","FOUR","Gordon Mar","Sunset/Parkside","44","10","8","41"
