"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","activity_type_code","price_category_code","terminal","boarding_area","passenger_count"
"202106","SkyWest Airlines","OO","American Airlines","AA","Domestic","US","Enplaned","Other","Terminal 1","B","7979"
"202106","Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Enplaned","Low Fare","International","A","11567"
"202106","Southwest Airlines","WN","Southwest Airlines","WN","Domestic","US","Enplaned","Low Fare","Terminal 1","B","67568"
"202106","British Airways","BA","British Airways","BA","International","Europe","Deplaned","Other","International","A","1230"
"202106","Aeromexico","AM","Aeromexico","AM","International","Mexico","Deplaned","Other","International","A","10351"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Enplaned","Other","Terminal 3","F","216169"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Thru / Transit","Other","Terminal 3","F","144"
"202106","Turkish Airlines","TK","Turkish Airlines","TK","International","Europe","Deplaned","Other","International","G","7078"
"202106","JetBlue Airways","B6","JetBlue Airways","B6","International","Mexico","Deplaned","Low Fare","International","G","148"
"202106","Frontier Airlines","F9","Frontier Airlines","F9","Domestic","US","Enplaned","Low Fare","International","A","24738"
"202106","Hawaiian Airlines","HA","Hawaiian Airlines","HA","Domestic","US","Deplaned","Other","International","A","12800"
"202106","SkyWest Airlines","OO","United Airlines","UA","Domestic","US","Deplaned","Other","Terminal 3","F","78731"
"202106","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Enplaned","Other","International","A","5054"
"202106","Swiss International","LX","Swiss International","LX","International","Europe","Enplaned","Other","International","G","2081"
"202106","All Nippon Airways","NH","All Nippon Airways","NH","International","Asia","Deplaned","Other","International","G","799"
"202106","United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Enplaned","Other","International","G","3292"
"202106","Air India Limited","AI","Air India Limited","AI","International","Asia","Deplaned","Other","International","G","1729"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Deplaned","Other","International","G","22018"
"202106","Sun Country Airlines","SY","Sun Country Airlines","SY","Domestic","US","Deplaned","Low Fare","International","A","10764"
"202106","JetBlue Airways","B6","JetBlue Airways","B6","Domestic","US","Enplaned","Low Fare","International","G","159"
"202106","United Airlines","UA","United Airlines","UA","International","Mexico","Deplaned","Other","International","G","23537"
"202106","SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Enplaned","Other","Terminal 2","D","3626"
"202106","Frontier Airlines","F9","Frontier Airlines","F9","Domestic","US","Deplaned","Low Fare","International","A","23588"
"202106","JetBlue Airways","B6","JetBlue Airways","B6","Domestic","US","Enplaned","Low Fare","International","A","2354"
"202106","Iberia","IB","Iberia","IB","International","Europe","Deplaned","Other","International","A","88"
"202106","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Enplaned","Other","Terminal 1","C","78578"
"202106","Air Canada","AC","Air Canada","AC","International","Canada","Deplaned","Other","International","G","1221"
"202106","SAS Airlines","SK","SAS Airlines","SK","International","Europe","Deplaned","Other","International","G","515"
"202106","United Airlines","UA","United Airlines","UA","International","Asia","Deplaned","Other","International","G","15444"
"202106","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Enplaned","Other","International","A","1492"
"202106","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Deplaned","Other","Terminal 2","D","53138"
"202106","Qatar Airways","QR","Qatar Airways","QR","International","Middle East","Deplaned","Other","International","A","4809"
"202106","Air France","AF","Air France","AF","International","Europe","Deplaned","Other","International","A","2286"
"202106","United Airlines","UA","United Airlines","UA","International","Europe","Deplaned","Other","International","G","4987"
"202106","Emirates","EK","Emirates","EK","International","Middle East","Deplaned","Other","International","A","2462"
"202106","KLM Royal Dutch Airlines","KL","KLM Royal Dutch Airlines","KL","International","Europe","Enplaned","Other","International","A","4247"
"202106","SAS Airlines","SK","SAS Airlines","SK","International","Europe","Enplaned","Other","International","G","1365"
"202106","Turkish Airlines","TK","Turkish Airlines","TK","International","Europe","Enplaned","Other","International","G","9331"
"202106","China Airlines","CI","China Airlines","CI","International","Asia","Deplaned","Other","International","A","413"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Deplaned","Other","Terminal 3","F","206204"
"202106","SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Deplaned","Other","Terminal 1","C","15417"
"202106","Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","International","Europe","Enplaned","Other","International","G","6933"
"202106","SkyWest Airlines","OO","United Airlines","UA","International","Canada","Deplaned","Other","Terminal 3","F","1596"
"202106","Singapore Airlines","SQ","Singapore Airlines","SQ","International","Asia","Enplaned","Other","International","G","638"
"202106","SkyWest Airlines","OO","Delta Air Lines","DL","Domestic","US","Deplaned","Other","Terminal 2","D","3475"
"202106","Japan Airlines","JL","Japan Airlines","JL","International","Asia","Deplaned","Other","International","A","1899"
"202106","United Airlines","UA","United Airlines","UA","International","Mexico","Enplaned","Other","International","G","2198"
"202106","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Deplaned","Other","Terminal 2","D","14621"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Enplaned","Other","International","G","20280"
"202106","Jazz Aviation","QK","Air Canada","AC","International","Canada","Enplaned","Other","International","G","946"
"202106","Delta Air Lines","DL","Delta Air Lines","DL","Domestic","US","Enplaned","Other","Terminal 2","D","14489"
"202106","Horizon Air","QX","Alaska Airlines","AS","Domestic","US","Enplaned","Other","Terminal 2","D","29969"
"202106","United Airlines","UA","United Airlines","UA","International","Asia","Enplaned","Other","International","G","14909"
"202106","United Airlines","UA","United Airlines","UA","International","Middle East","Deplaned","Other","International","G","4024"
"202106","United Airlines","UA","United Airlines","UA","International","Mexico","Enplaned","Other","Terminal 3","E","419"
"202106","Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","International","Europe","Deplaned","Other","International","G","3336"
"202106","United Airlines","UA","United Airlines","UA","International","Middle East","Enplaned","Other","International","G","5238"
"202106","Philippine Airlines","PR","Philippine Airlines","PR","International","Asia","Enplaned","Other","International","A","2628"
"202106","TAP Air Portugal","TP","TAP Air Portugal","TP","International","Europe","Enplaned","Other","International","G","1923"
"202106","Korean Air Lines","KE","Korean Air Lines","KE","International","Asia","Deplaned","Other","International","A","1478"
"202106","United Airlines","UA","United Airlines","UA","International","Mexico","Enplaned","Other","Terminal 3","F","21468"
"202106","TACA International Airlines, S.A.","TA","TACA International Airlines, S.A.","TA","International","Central America","Deplaned","Other","International","A","4951"
"202106","United Airlines","UA","United Airlines","UA","International","Central America","Deplaned","Other","International","G","555"
"202106","United Airlines","UA","United Airlines","UA","International","Europe","Enplaned","Other","International","G","10090"
"202106","British Airways","BA","British Airways","BA","International","Europe","Enplaned","Other","International","A","2246"
"202106","Air France","AF","Air France","AF","International","Europe","Enplaned","Other","International","A","4978"
"202106","American Airlines","AA","American Airlines","AA","Domestic","US","Deplaned","Other","Terminal 1","B","136534"
"202106","Air India Limited","AI","Air India Limited","AI","International","Asia","Enplaned","Other","International","G","1606"
"202106","EVA Airways","BR","EVA Airways","BR","International","Asia","Enplaned","Other","International","G","932"
"202106","United Airlines","UA","United Airlines","UA","Domestic","US","Deplaned","Other","Terminal 3","E","100590"
"202106","JetBlue Airways","B6","JetBlue Airways","B6","Domestic","US","Deplaned","Low Fare","International","A","3023"
"202106","Hawaiian Airlines","HA","Hawaiian Airlines","HA","Domestic","US","Enplaned","Other","International","A","13181"
"202106","United Airlines","UA","United Airlines","UA","International","Central America","Enplaned","Other","International","G","515"
"202106","EVA Airways","BR","EVA Airways","BR","International","Asia","Deplaned","Other","International","G","2621"
