"area_type","globalid","pm_district_id","pm_district_name","sde_id","shape"
"-",,"40.0","Balboa","1","MULTIPOLYGON (((-122.46073 37.77764, -122.46068 37.77709, -122.46516 37.776894, -122.4652 37.777435, -122.46073 37.77764)))"
"-",,"34.0","Bayview","52","MULTIPOLYGON (((-122.390785 37.731697, -122.391655 37.72999, -122.392914 37.730328, -122.39298 37.730267, -122.39246 37.732815, -122.39209 37.7336, -122.392006 37.733772, -122.39049 37.736984, -122.38921 37.736362, -122.3904 37.73283, -122.39045 37.732685, -122.39067 37.732037, -122.39072 37.73189, -122.390785 37.731697)))"
"-",,"30.0","Bernal Hts","14","MULTIPOLYGON (((-122.41891 37.738796, -122.41872 37.739895, -122.41296 37.739395, -122.41319 37.73777, -122.41891 37.738796)), ((-122.41872 37.739895, -122.41881 37.739902, -122.41872 37.739906, -122.41872 37.739895)))"
"-",,"53.0","CCSF","47","MULTIPOLYGON (((-122.43895 37.720352, -122.442566 37.716667, -122.4463 37.719673, -122.448524 37.716743, -122.44923 37.717358, -122.448944 37.72079, -122.45298 37.722443, -122.452644 37.723606, -122.456154 37.72452, -122.455696 37.72845, -122.44318 37.728474, -122.4403 37.727627, -122.436165 37.726013, -122.43564 37.72581, -122.43522 37.725647, -122.43524 37.72562, -122.43531 37.725544, -122.43574 37.72506, -122.43581 37.724983, -122.43623 37.7245, -122.436295 37.72443, -122.436386 37.724327, -122.43731 37.724163, -122.43789 37.723217, -122.43895 37.720352)))"
"-",,"44.0","Central Waterfront","20","MULTIPOLYGON (((-122.39249 37.763794, -122.38793 37.76409, -122.38787 37.763527, -122.38663 37.7636, -122.377335 37.766445, -122.37431 37.74809, -122.3905 37.747284, -122.393005 37.748276, -122.391495 37.752464, -122.39249 37.763794)))"
"Pilot",,"3.0","Civic Center","35","MULTIPOLYGON (((-122.41573 37.783455, -122.415565 37.78266, -122.41556 37.782608, -122.415375 37.781734, -122.415344 37.7816, -122.41518 37.780796, -122.415146 37.780674, -122.414734 37.778713, -122.42176 37.77315, -122.42194 37.773125, -122.42215 37.773098, -122.42232 37.773075, -122.42237 37.773067, -122.42239 37.77319, -122.42252 37.773983, -122.42589 37.773586, -122.42679 37.778446, -122.423485 37.778843, -122.42401 37.781433, -122.42402 37.78147, -122.424034 37.781548, -122.42404 37.781563, -122.42424 37.782555, -122.4242 37.782562, -122.42403 37.782585, -122.421074 37.782993, -122.42098 37.782967, -122.42096 37.782963, -122.42083 37.782925, -122.420715 37.782997, -122.42067 37.783028, -122.42063 37.78305, -122.41927 37.78321, -122.419106 37.78323, -122.4177 37.783398, -122.4175 37.783268, -122.41736 37.78349, -122.41608 37.783634, -122.41573 37.783455)))"
"-",,"18.0","Divisadero North","2","MULTIPOLYGON (((-122.44185 37.78184, -122.44387 37.78166, -122.44454 37.782394, -122.4446 37.78312, -122.4446 37.78316, -122.44153 37.78356, -122.44241 37.788174, -122.43862 37.788654, -122.4378 37.784622, -122.4378 37.784622, -122.437775 37.78449, -122.43765 37.783897, -122.437584 37.78355, -122.43735 37.7824, -122.440414 37.78202, -122.44185 37.78184)))"
"-",,"17.0","Divisadero South","40","MULTIPOLYGON (((-122.43579 37.77101, -122.437935 37.77074, -122.43842 37.772934, -122.43845 37.773067, -122.43863 37.773853, -122.43866 37.773987, -122.438675 37.774044, -122.43884 37.7748, -122.438866 37.774902, -122.43905 37.77573, -122.43907 37.775833, -122.439255 37.776646, -122.439285 37.776775, -122.43953 37.77787, -122.43948 37.777912, -122.437355 37.77814, -122.43712 37.777054, -122.43709 37.776917, -122.43671 37.77518, -122.43668 37.775074, -122.43651 37.77426, -122.43648 37.77413, -122.4363 37.77334, -122.43628 37.773205, -122.43579 37.77101)))"
"Pilot",,"1.0","Downtown","32","MULTIPOLYGON (((-122.39695 37.797405, -122.39678 37.796577, -122.39678 37.79657, -122.39601 37.796696, -122.39593 37.796642, -122.39575 37.79653, -122.39564 37.796463, -122.39558 37.796413, -122.39531 37.796185, -122.39516 37.79596, -122.39491 37.79558, -122.39465 37.795185, -122.3946 37.7951, -122.3943 37.794785, -122.39384 37.794453, -122.39351 37.794262, -122.39302 37.793983, -122.39274 37.793736, -122.39127 37.79243, -122.39127 37.792427, -122.391655 37.792137, -122.3918 37.792027, -122.391846 37.791996, -122.39184 37.791992, -122.39179 37.79196, -122.391655 37.791847, -122.39038 37.790833, -122.39038 37.790833, -122.39103 37.790154, -122.39105 37.790108, -122.39115 37.790077, -122.391884 37.789513, -122.39201 37.789413, -122.3927 37.788883, -122.39278 37.788734, -122.39296 37.788666, -122.39362 37.788143, -122.39378 37.78802, -122.39444 37.787506, -122.39445 37.787457, -122.39462 37.787315, -122.3948 37.787323, -122.394806 37.787323, -122.3968 37.785725, -122.39687 37.785664, -122.39693 37.785618, -122.39787 37.78486, -122.39781 37.7848, -122.39798 37.78467, -122.39798 37.78467, -122.39801 37.784687, -122.39801 37.784687, -122.39897 37.783943, -122.399124 37.783825, -122.40122 37.782204, -122.40138 37.78208, -122.403275 37.78062, -122.403496 37.780197, -122.4035 37.78018, -122.40357 37.78023, -122.40491 37.78126, -122.40491 37.78126, -122.404915 37.781376, -122.404915 37.78138, -122.40507 37.7815, -122.40521 37.78151, -122.406525 37.78257, -122.406654 37.782673, -122.408104 37.783848, -122.408264 37.783974, -122.408264 37.783978, -122.40778 37.784428, -122.40798 37.78541, -122.408005 37.78553, -122.408165 37.786346, -122.40819 37.78645, -122.40835 37.78728, -122.40837 37.787388, -122.40853 37.788216, -122.408554 37.78833, -122.408714 37.789143, -122.40874 37.78926, -122.4089 37.790066, -122.40893 37.7902, -122.40895 37.790348, -122.40895 37.79035, -122.40895 37.79035, -122.40576 37.790745, -122.405876 37.791286, -122.40573 37.791462, -122.40583 37.791534, -122.40584 37.79154, -122.405945 37.79162, -122.406075 37.792233, -122.40587 37.792473, -122.40616 37.79262, -122.40628 37.79321, -122.40609 37.793385, -122.406334 37.793472, -122.40645 37.79404, -122.40628 37.794247, -122.406525 37.7944, -122.40664 37.794945, -122.40636 37.795284, -122.40615 37.795315, -122.40615 37.795315, -122.406075 37.795258, -122.40606 37.795246, -122.406044 37.795235, -122.406044 37.795235, -122.40603 37.79525, -122.40602 37.79526, -122.40595 37.79534, -122.40511 37.795452, -122.40524 37.79615, -122.40526 37.796234, -122.40526 37.796253, -122.40451 37.79635, -122.40434 37.79637, -122.40364 37.796463, -122.403496 37.796436, -122.40327 37.79662, -122.40209 37.796753, -122.40209 37.796753, -122.40182 37.796574, -122.40182 37.796574, -122.40168 37.79683, -122.40093 37.796917, -122.40093 37.796917, -122.40067 37.796738, -122.40067 37.796738, -122.40048 37.79696, -122.39981 37.79703, -122.39981 37.79703, -122.39942 37.79693, -122.39942 37.79693, -122.39936 37.797, -122.39935 37.797012, -122.399254 37.79713, -122.398636 37.79721, -122.398636 37.79721, -122.398285 37.79709, -122.398285 37.79709, -122.39816 37.797264, -122.39695 37.797405, -122.39695 37.797405)))"
"-",,"35.0","Excelsior","7","MULTIPOLYGON (((-122.43819 37.716206, -122.43954 37.714245, -122.44096 37.714916, -122.44323 37.712566, -122.44514 37.713844, -122.44528 37.713894, -122.442566 37.716667, -122.43895 37.720352, -122.43789 37.723217, -122.43731 37.724163, -122.436386 37.724327, -122.436295 37.72443, -122.43623 37.7245, -122.43581 37.724983, -122.43574 37.72506, -122.43531 37.725544, -122.43524 37.72562, -122.43522 37.725647, -122.434814 37.72611, -122.434746 37.726185, -122.43411 37.7269, -122.434044 37.726974, -122.43362 37.727463, -122.43355 37.72754, -122.43312 37.728024, -122.43305 37.728104, -122.43236 37.72889, -122.43162 37.728523, -122.43144 37.72844, -122.43078 37.72811, -122.43918 37.7169, -122.43819 37.716206)))"
