"street","x_street","direction","st_facing","dist","cnn","concatenat","mtab_date","mtab_reso_text","mtab_motion","status","workorder","install_date","shape",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"20TH ST","YORK","SW","EB",,"24006000.0","20TH ST & YORK ST",,,,"I",,,"POINT (-122.40889 37.759243)","53","53","3","2","20"
"SANCHEZ","VALLEY","NW","SB","0","21912000.0","SANCHEZ ST & VALLEY ST",,,,"I",,,"POINT (-122.42895 37.744358)","84","84","9","5","22"
"DORE","FOLSOM",,"SB",,"24234000.0",,,,,,,,"POINT (-122.41221 37.77328)","32","32","1","10","34"
"KENWOOD WY","KEYSTONE",,"EB",,"22674000.0",,,,,,,,"POINT (-122.462875 37.72805)","68","68","10","8","41"
"BRIGHTON","GRAFTON","SE","NB","0","22211000.0","BRIGHTON & GRAFTON",,,,,,,"POINT (-122.45511 37.72003)","64","64","10","1","24"
"ARLETA","DELTA",,"EB",,"20364000.0",,,,,,,,"POINT (-122.40888 37.714474)","75","75","9","9","40"
"RAMSELL","SARGENT",,"NB",,"22694000.0",,,,,,,,"POINT (-122.46621 37.716106)","65","65","10","1","24"
"14TH AVE","ULLOA","SE","NB","0","22954000.0","14TH AVE & ULLOA",,,,,,,"POINT (-122.47009 37.74142)","46","46","10","8","41"
"ROANOKE","BEMIS","SE","NB","0","21932000.0","ROANOKE & BEMIS",,,,,,,"POINT (-122.431335 37.736614)","59","59","9","5","10"
"PRESIDIO","GEARY","SE","NB",,"26834000.0","PRESIDIO AVE & GEARY BLVD",,,,,,,"POINT (-122.44581 37.782482)","13","13","8","6","18"
"NEBRASKA","POWHATTAN","SE","NB","0","33296000.0","NEBRASKA ST & POWHATTAN AVE","20201113000000",,"6326","I","20-01528","20210217000000","POINT (-122.410355 37.741356)","83","83","9","2","2"
"HAMILTON","MANSELL","SE","NB","0","20847000.0","HAMILTON & MANSELL",,,,,,,"POINT (-122.40698 37.719986)","75","75","2","9","25"
"SOMERSET","SILLIMAN","SE","NB","0","20902000.0","SOMERSET & SILLIMAN",,,,,,,"POINT (-122.40903 37.730198)","91","91","2","2","25"
"CURTIS","MORSE",,"SB",,"21470000.0","CURTIS & MORSE",,,,,,,"POINT (-122.43941 37.71299)","58","58","9","1","7"
"23RD ST","BARTLETT","NE","WB",,"24096000.0","23RD ST & BARTLETT ST",,,,,,,"POINT (-122.41969 37.753765)","53","53","3","2","20"
"47TH AVE","ANZA","NW","SB",,"27995000.0","47TH AVE & ANZA",,,,,,,"POINT (-122.50815 37.77709)","6","6","8","4","29"
"KENWOOD WY","WEST GATE","NE","WB",,"22768000.0","KENWOOD WY & WEST GATE",,,,,,,"POINT (-122.46539 37.72847)","68","68","10","8","41"
"04TH AVE","BALBOA","SE","NB","0","27241000.0","04TH AVE & BALBOA",,,,,,,"POINT (-122.46185 37.77733)","5","5","8","4","11"
"INVERNESS","OCEAN","SE","NB","0","23221000.0","INVERNESS & OCEAN",,,,,,,"POINT (-122.482735 37.732388)","62","62","10","8","35"
"ELLIS","LAGUNA","SW","EB","0","26512000.0","ELLIS ST & LAGUNA ST",,,,,,,"POINT (-122.427574 37.78298)","100","100","4","11","39"
"41ST AVE","QUINTARA","NW","SB",,"23473000.0","41ST AVE & QUINTARA",,,,,,,"POINT (-122.49964 37.7476)","39","39","10","7","35"
"41ST AVE","VICENTE",,"WB",,"23441000.0","41ST AVE & VICENTE",,,,,,,"POINT (-122.498985 37.73828)","40","40","10","7","35"
"RANDALL STREET","HARPER STREET","NE","WB",,"21888000.0","RANDALL & HARPER",,,,,,,"POINT (-122.429825 37.74075)","59","59","9","5","10"
"STAPLES","GENNESSEE","NE","WB",,"22238000.0","STAPLES & GENNESSEE",,,,,,,"POINT (-122.45112 37.729057)","95","95","9","8","41"
"WILDWOOD","MIRAMAR","SW","EB","0","32969000.0","WILDWOOD & MIRAMAR",,,,,,,"POINT (-122.45819 37.72758)","71","71","9","8","41"
"PALMETTO","RAMSELL","NE","WB",,"22517000.0","PALMETTO & RAMSELL",,,,,,,"POINT (-122.46615 37.71068)","65","65","10","8","24"
"MOSCOW","FRANCE","SE","NB","0","21398000.0","FRANCE & MOSCOW","20210122000000",,"6356","I","21-01819","20210330000000","POINT (-122.43114 37.716587)","90","90","9","1","7"
"WALNUT","JACKSON","SE","NB",,"26955000.0","WALNUT & JACKSON",,,,,,,"POINT (-122.44917 37.790604)","10","10","8","6","31"
"BAKER","POST","NW","SB",,"26814000.0","BAKER ST & POST ST","20170321000000",,"170321-030","I","17-4595",,"POINT (-122.44298 37.783894)","103","103","8","6","15"
"EL VERANO","MAYWOOD","SE","NB","0","22687000.0","EL VERANO & MAYWOOD",,,,,,,"POINT (-122.46128 37.73132)","69","69","10","8","41"
"BRYANT","PRECITA","NW","SB","0","21136000.0","BRYANT & PRECITA",,,,,,,"POINT (-122.40865 37.747948)","60","60","9","2","2"
"JENNINGS ST","JAMESTOWN","NW","SB","0","20459000.0","JENNINGS ST & JAMESTOWN",,,,,,,"POINT (-122.39542 37.719555)","88","88","2","9","1"
"UPPER TERR","BUENA VISTA","SW","EB",,"26316000.0","UPPER TERRACE & BUENA VISTA AVE","20150106000000",,"15-002","I",,,"POINT (-122.44256 37.765923)","112","112","7","5","5"
"ATHENS","ROLPH","SE","NB","0","21403000.0","ATHENS ST & ROLPH ST",,,,"I",,,"POINT (-122.43498 37.712807)","58","58","9","1","7"
"JACKSON ST","OCTAVIA","NE","WB","0","26560000.0","JACKSON ST & OCTAVIA",,,,,,,"POINT (-122.42797 37.7933)","102","102","4","6","30"
"ELIZABETH","DIAMOND","SW","EB","0","25761000.0","ELIZABETH & DIAMOND",,,,,,,"POINT (-122.43636 37.751957)","84","84","3","5","22"
"12TH AVE","CRAGMONT","SE","NB","0","27112000.0","12TH AVE & CRAGMONT",,,,,,,"POINT (-122.46866 37.750816)","44","44","10","8","14"
"THORNTON","FLORA",,"EB",,"20529000.0","THORNTON & FLORA",,,,,,,"POINT (-122.394516 37.730976)","87","87","2","9","1"
"LOMA VISTA TER","ROOSEVELT","NW","SB","0","26207000.0","LOMA VISTA TER & ROOSEVELT",,,,,,,"POINT (-122.4432 37.764553)","112","112","7","5","5"
"CAMPBELL","DELTA",,"EB",,"20365000.0","CAMPBELL & DELTA",,,,,,,"POINT (-122.408295 37.71583)","75","75","9","9","40"
"VALLEJO","FILLMORE","NE","WB","0","26663000.0","VALLEJO & FILLMORE",,,,,,,"POINT (-122.4351 37.79522)","102","102","4","6","30"
"22ND ST","DIAMOND ST","SW","EB",,"25771000.0","22ND ST & DIAMOND ST","20170221000000",,"170221-011","I",,,"POINT (-122.436584 37.754353)","115","115","3","5","22"
"SANTIAGO","21ST AVE","NE","WB","0","23200000.0","SANTIAGO & 21ST AVE",,,,,,,"POINT (-122.47795 37.744816)","40","40","10","7","35"
"BURROWS","GAMBIER","NE","WB",,"20985000.0","BURROWS ST & GAMBIER ST","20200904000000",,"6291","I","20-01240","20201001000000","POINT (-122.420845 37.72445)","73","73","9","2","19"
"MISSOURI","19TH ST","NW","SB","0","23668000.0","MISSOURI ST & 19TH ST",,,,,,,"POINT (-122.39639 37.761295)","54","54","2","9","26"
"SURREY","DIAMOND","SW","EB","0","21947000.0","SURREY & DIAMOND",,,,,,,"POINT (-122.43439 37.736195)","96","96","9","5","10"
"JENNINGS ST","FITZGERALD","NW","SB",,"20454000.0","JENNINGS ST & FITZGERALD",,,,,,,"POINT (-122.39316 37.72203)","88","88","2","9","1"
"ANZA","28TH AVE","SW","EB",,"27552000.0","ANZA ST & 28TH AVE",,,,,,,"POINT (-122.48779 37.778015)","8","8","8","4","29"
"PACIFIC","LEAVENWORTH","SW","EB","0","25274000.0","PACIFIC & LEAVENWORTH",,,,,,,"POINT (-122.41664 37.795666)","16","16","6","3","21"
"33RD AVE","PACHECO","NW","SB","0","23403000.0","33RD AVE & PACHECO",,,,,,,"POINT (-122.491196 37.749844)","39","39","10","7","35"
"25TH ST","HAMPSHIRE","NE","WB",,"23950000.0","25TH ST & HAMPSHIRE",,,,,,,"POINT (-122.40713 37.751305)","53","53","3","2","20"
"ATHENS","BRAZIL","SE","NB","0","21635000.0","ATHENS ST & BRAZIL AVE",,,,"I",,,"POINT (-122.42842 37.72163)","90","90","9","1","7"
"15TH AVE","VICENTE","SW","EB",,"22953000.0","15TH AVE & VICENTE ST",,,,"I",,,"POINT (-122.471085 37.73951)","46","46","10","8","41"
"DONNER","PHELPS","NE","WB","0","20621000.0","DONNER & PHELPS",,,,,,,"POINT (-122.40138 37.72858)","86","86","2","9","1"
"BLANKEN","TUNNEL","SW","EB","0","20289000.0","BLANKEN & TUNNEL",,,,,,,"POINT (-122.40078 37.712013)","89","89","2","9","1"
"NAGLEE","ALEMANY","NE","WB","0","21561000.0","NAGLEE & ALEMANY",,,,,,,"POINT (-122.44894 37.713882)","66","66","9","1","28"
"04TH AVE","LINCOLN","SE","NB","0","27194000.0","04TH AVE & LINCOLN",,,,,,,"POINT (-122.461075 37.766155)","109","109","7","11","14"
"43RD AVE","VICENTE","NW","SB","0","23448000.0","43RD AVE & VICENTE",,,,,,,"POINT (-122.50113 37.738186)","40","40","10","7","35"
"23RD AVE","KIRKHAM","SE","NB","0","27410000.0","23RD AVE & KIRKHAM",,,,,,,"POINT (-122.48113 37.75964)","39","39","10","7","35"
"KENWOOD WY","WEST GATE","SW","EB",,"22768000.0","KENWOOD WY & WEST GATE",,,,,,,"POINT (-122.46539 37.72847)","68","68","10","8","41"
"LEO ST","ALEMANY","NE","WB","0","21747000.0","LEO ST & ALEMANY",,,,,,,"POINT (-122.43771 37.72295)","80","80","9","1","28"
"GALEWOOD","CLARENDON","NW","SB","0","33572000.0","GALEWOOD & CLARENDON",,,,,,,"POINT (-122.456 37.752354)","48","48","7","8","38"
"LARKIN ST","JACKSON","NW","SB","0","25300000.0","LARKIN ST & JACKSON",,,,,,,"POINT (-122.41974 37.79435)","16","16","6","3","32"
"PIERCE","EDDY","SE","NB","0","26068000.0","PIERCE ST & EDDY ST",,,,,,,"POINT (-122.4356 37.781006)","97","97","4","11","39"
"CAYUGA","SICKLES","SW","EB","0","21582000.0","CAYUGA & SICKLES",,,,,,,"POINT (-122.45454 37.7102)","66","66","9","1","28"
