"id","year","mode","language","finweigh","general","stpvnbrd","swcndnbrd","cityligh","wtrswr","water","sewer","swclnbrd","stclnbrd","stswc","recparsy","parkvis","athfield","recpart","parkfa","recpract","parkgr","parklp","parkcl","libsystm","libmai","libbra","libonlin","libbo","onlibsvc","netlibsvc","libsta","conmalib","connelib","trspwlk","trsppub","trspbike","trsptaxi","trspdaln","trspcpl","trspptns","trspuber","munovr","mun12mth","muntim","muncle","munsaf","munmgmtcro","muncou","safdnb","safnnb","hrd311","cont311","use311sv","info311","infowebm","svc311","svcwebmo","phone311","web311","kids","k0to5","k6to18","kprisch","kpubsch","knosch","kqschl","dhouse","ownrenhm","dlivedsf","movesf","dincome","dage","gender","dsexornt","dethnic","primlang_1","primlang_2","primlang_3","primlang_4","deduc","disablephys","disablement","zipcode","district","mixed_1","mixed_2","mixed_3","mixed_4","issue1","issue2","issue3"
"199610269","1996",,,"1","1",,,,,,,,,,,,,"1",,,"3",,,,"1","1",,,,,,,,,,,,,,,,,,,"2","3",,,"3",,,,,,,,,,,,,,,,,,"2",,"5",,,"6","2","4","5",,,,,"1",,,"94110",,,,,,,,
"199610381","1996",,,"1","2",,,,,,,,,,,,,"1","2",,"4",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,"4","2",,,,,,,,,,,,,,,,,"2",,,,,"3","1","2","4",,,,,"4",,,"94131",,,,,,,,
"199610590","1996",,,"1","3",,,,,,,,,,,,,"2","4",,"5",,,,"1","1",,,,,,,,,,,,,,,,,,,,"2",,,"3","1",,,,,,,,,,,,,,,,,"4",,"5",,,"6","2",,,,,,,,,,"94110",,,,,,,,
"199610678","1996",,,"1","3",,,,,,,,,,,,,"2","2",,"4",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,"4","3",,,,,,,,,,,,,,,,,"4",,"4",,,"3","2",,"2",,,,,"2",,,"94134",,,,,,,,
"199610921","1996",,,"1","1",,,,,,,,,,,,,"1",,,"3",,,,"2","3",,"3",,,"3",,,,,,,,,,,,,,,,,,"4","3",,,,,,,,,,,,,,,,,"2",,"5",,,"3","2","3","1",,,,,"3",,,"94134",,,,,,,,
"199611050","1996",,,"1","3",,,,,,,,,,,,,"2","2",,"4",,,,"1","4",,"4",,,"3",,,,,,,,,,,,,,,,,,"4","3",,,,,,,,,,,,,,,,,"3",,"4",,,"3","1","3","4",,,,,"4",,,"94114",,,,,,,,
"199610006","1996",,,"1","4",,,,,,,,,,,,,"2",,,,,,,"1","1",,,,,,,,,,,,,,,,,,"3","4","3",,"4","4","1",,,,,,,,,,,,,,,,,"1",,"5",,,"6","1",,"4",,,,,"2",,,"94116",,,,,,,,
"199610007","1996",,,"1","3",,,,,,,,,,,,,"2",,,,,,,"1","1",,,,,,,,,,,,,,,,,,"2","2","2",,"2","4","1",,,,,,,,,,,,,,,,,"1",,"5",,,"6","1","3","4",,,,,"3",,,"94123",,,,,,,,
"199610008","1996",,,"1","3",,,,,,,,,,,,,"1",,,"3",,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,"2",,"5",,,"5","1","3","4",,,,,"1",,,"94134",,,,,,,,
"199610009","1996",,,"1","3",,,,,,,,,,,,,"2",,,,,,,"1","2",,,,,,,,,,,,,,,,,,"5","1","1",,"2","1","1",,,,,,,,,,,,,,,,,"2",,"5",,,"5","1","4","8",,,,,"4",,,,,,,,,,,
