"type","location","height","comments","mtab_date","mtab_motion","mtab_reso_text","shape",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"OVERPASS","I-80 & I-80 W OFF RAMP(BTWN BRYANT & HARRISO","15'",,,,,"POINT (-122.39138 37.7856)","30","1","10","8","30"
"OVERPASS","WASHINGTON ST(BTWN BATTERY & DRUMM)","18'10""",,,,,"POINT (-122.40011 37.79587)","108","6","3","8","108"
"OVERPASS","HWY 1 & KOBBE","22'",,,,,"POINT (-122.46946 37.79786)","3",,"6","27","3"
"OVERPASS","SACRAMENTO ST(BTWN GRANT & STOCKTON)","13'2""",,,,,"POINT (-122.40747 37.7932)","104","6","3","6","104"
"OVERPASS","DOYLE DR & CROOK ST","11'3""",,,,,"POINT (-122.45078 37.804024)","3",,"6","27","3"
"OVERPASS","I-280 & ELMIRA ST","15'",,,,,"POINT (-122.40366 37.73647)","87","2","9","1","87"
"OVERPASS","I-280 & ALEMANY BLVD(BTWN ORIZABA AVE & PALM","16'2""","EB",,,,"POINT (-122.46072 37.7104)","66","10","1","28","66"
"OVERPASS","HWY 1 & STOREY","16'",,,,,"POINT (-122.46942 37.80094)","3",,"6","27","3"
"OVERPASS","ALEMANY BLVD & MISSION ST","16'",,,,,"POINT (-122.42876 37.731247)","94","9","1","7","94"
"OVERPASS","GRAN VIEW(BTWN 23RD ST & ELIZABETH ST)","15'4""",,,,,"POINT (-122.442474 37.75222)","51","3","5","22","51"
"OVERPASS","BATTERY(BTWN CALIFORNIA & SACRAMENTO","15'9""",,,,,"POINT (-122.40006 37.79388)","108","6","3","8","108"
"OVERPASS","HWY 101 & PAUL(BTWN BAYSHORE BLVD & SAN BRUN","14'9""","ACTUAL",,,,"POINT (-122.40136 37.72374)","91","2","2","25","91"
"OVERPASS","BAYSHORE BLVD OFF RAMP & HWY 101 OFF RAMP","15'5""",,,,,"POINT (-122.404816 37.749195)","54","3","9","2","54"
"OVERPASS","PORTOLA DR(BTWN MARNE & REX","17'",,,,,"POINT (-122.458084 37.740654)","117","9","8","41","117"
"OVERPASS","1ST ST & I-80 W. OFF RAMP","17'",,,,,"POINT (-122.39513 37.787815)","32","1","10","8","32"
"OVERPASS","HWY 101 & 22ND ST(BTWN KANSAS & VERMONT)","16.1'",,,,,"POINT (-122.403656 37.757057)","54","3","9","26","54"
"RAILROAD","TRACK AT MARIN ST(BTWN ILLINOIS & MICHIGAN)","13'6""",,,,,"POINT (-122.387085 37.749096)","56","2","9","1","56"
"OVERPASS","HWY 101 & LINCOLN BLVD(BTWN ARMISTEAD RD & C","15'",,,,,"POINT (-122.4689 37.803085)","3",,"6","27","3"
"OVERPASS","I-80 E ON RAMP & 4TH ST(BTWN BRYANT & HARRIS","12'6""",,,,,"POINT (-122.39865 37.780018)","32","1","10","34","32"
"OVERPASS","BROTHERHOOD WY & JUNIPERO SERRA BLVD","13'1""",,,,,"POINT (-122.471245 37.712734)","65","10","8","24","65"
"PEDESTRIAN BRIDGE","JAMESTOWN AVE(BTWN HARNEY WY & IGNACIO AVE)","15.2'",,,,,"POINT (-122.386765 37.71144)","79","2","9","1","79"
"PEDESTRIAN BRIDGE","LAMARTINE(BTWN DIAMOND & HILLSIDE)","16'",,,,,"POINT (-122.43381 37.732002)","93","9","5","28","93"
"OVERPASS","HWY 101 TO I-280 RAMP & HWY 101 ON RAMP","20'","???",,,,"POINT (-122.40835 37.73661)","83","9","2","25","83"
"OVERPASS","3RD ST & TERRY A FRANCOIS","18'8""",,,,,"POINT (-122.390015 37.776295)","34","1","10","4","34"
"TUNNEL","BROADWAY & LEAVENWORTH","18'",,,,,"POINT (-122.416824 37.79659)","107","6","3","21","107"
"OVERPASS","I-80 TO HWY 101 RAMP & DIVSION ST(BTWN SAN B","20'+",,,,,"POINT (-122.4052 37.769695)","33","3","9","20","33"
"OVERPASS","HWY 101 & BRANNAN","15'5""",,,,,"POINT (-122.40772 37.76946)","33","1","10","20","33"
"OVERPASS","HWY 101 N OFF RAMP & BAY SHORE BLVD(BTWN NEL","15'","SB ONLY",,,,"POINT (-122.39836 37.71718)","88","2","9","1","88"
"OVERPASS","MINNESOTA & 20TH ST","17'",,,,,"POINT (-122.39045 37.760323)","55","2","9","26","55"
"OVERPASS","WEBSTER(BTWN GEARY & POST)","17'6""",,,,,"POINT (-122.431305 37.78507)","101","4","11","15","101"
"TUNNEL","BROADWAY(BTWN LARKIN & HYDE)","18'6""",,,,,"POINT (-122.41894 37.796227)","16","6","3","32","16"
"OVERPASS","HAYES(BTWN POLK & VAN NESS)","19'1""",,,,,"POINT (-122.41909 37.777378)","21","4","10","36","21"
"OVERPASS","I-80 (BTWN 5TH & MERLIN ST)","14'10""","???",,,,"POINT (-122.401474 37.77845)","32","1","10","34","32"
"OVERPASS","3RD ST & SALINAS","17'1""",,,,,"POINT (-122.39646 37.720745)","88","2","9","1","88"
"OVERPASS","GILMAN AVE & GRIFFITH ST","16'2""",,,,,"POINT (-122.38812 37.718166)","88","2","9","1","88"
"RAILROAD","TRACK BTWN CESAR CHAVEZ ST & MARIN ST","13'6""",,,,,"POINT (-122.39339 37.74874)","56","2","9","1","56"
"OVERPASS","I-80 & 5TH ST(BTWN BRYANT & HARRISON)","15'2""",,,,,"POINT (-122.40079 37.77824)","32","1","10","34","32"
"RAILROAD","TRACK BTWN PEHLP & QUINT)","12'4""","11'6""-12'4""",,,,"POINT (-122.39433 37.73846)","86","2","9","1","86"
"OVERPASS","I-280 & REVERE AVE","13'11"",15","15'6"" VIADUC",,,,"POINT (-122.40139 37.73804)","87","2","9","1","87"
"OVERPASS","HWY 101 & SILVER AVE(BTWN CHARTER OAK & SAN","14'9""",,,,,"POINT (-122.40491 37.73276)","91","2","9","25","91"
"OVERPASS","MARKET & ROMAINE ST","17'",,,,,"POINT (-122.440895 37.75627)","115","3","5","38","115"
"OVERPASS","I-80 W OFF RAMP(BTWN 1ST ST & 2ND ST)","16'",,,,,"POINT (-122.3942 37.785053)","30","1","10","8","30"
"RAILROAD","TRACK AT CESAR CHAVEZ(BTWN MISSISSIPPI & PEN","14'5""",,,,,"POINT (-122.392845 37.749912)","56","2","9","1","56"
"OVERPASS","HWY 101 S ON RAMP & MEADE","15'4""",,,,,"POINT (-122.39967 37.719097)","91","9","9","25","91"
"OVERPASS","HWY 1 & PARK BLVD","18'",,,,,"POINT (-122.469536 37.792786)","3",,"6","27","3"
"OVERPASS","I-80 TO HWY 101 RAMP & 15TH ST(BTWN SAN BRUN","20'+",,,,,"POINT (-122.40494 37.76725)","33","3","9","20","33"
"OVERPASS","SUNSET & SLOAT","14'EB,14'","14'8""WB",,,,"POINT (-122.493774 37.733917)","40","10","8","35","40"
