"cnn","street_name","pci_score","from_street","to_street","pci_change_date","treatment_or_survey","street_accepted_for_maintenance","functional_class","x","y","latitude","longitude","line","point",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"1918000","41st Ave","100","Pacheco St","Quintara St","2022-02-10T17:10:39.000","Treatment","Yes","Residential","5983543.06757","2101198.67221","37.748538543253666","-122.4997193035171","LINESTRING (-122.499784471068 37.749472435166, -122.499654137608 37.74760467878)",,,,,,
"1919000","41st Ave","100","Quintara St","Rivera St","2022-02-10T17:12:11.000","Treatment","Yes","Residential","5983565.98251","2100518.31951","37.74667182695884","-122.49958979042808","LINESTRING (-122.499654137608 37.74760467878, -122.499525444839 37.745739002557)",,,,,,
"13089001","VALLEJO ST","60","KEARNY ST","SAN ANTONIO PL","2004-07-29T17:22:56.000","Survey","Yes",,"6010996.484","2118974.95","37.79892082475222","-122.40603745984998",,,,,,,
"7773002","KEARNY ST","72","LA FERRERA TER","CHESTNUT ST","1997-08-27T00:00:00.000","Survey","Yes",,"6010852.872","2120843.593","37.804043628699574","-122.40666616479119",,,,,,,
"5629000","Florida St","64","24th St","25th St","2021-08-07T16:38:35.000","Survey","Yes","Residential","6009505.51009","2101895.82005","37.751942022707226","-122.40999040292343","LINESTRING (-122.410066406182 37.752739024793, -122.409914401299 37.751145048083)",,,,,,
"12411000","Taraval St","79","35th Ave","36th Ave","2021-10-06T12:15:54.000","Survey","Yes","Arterial","5985329.21624","2098878.34837","37.74227221081732","-122.49337199051119","LINESTRING (-122.492836941774 37.742295793323, -122.493907038887 37.742248653505)",,,,,,
"366001","07TH ST","60","ODD FELLOWS WAY \ STEVENSON ST","MISSION ST","2002-11-19T00:00:00.000","Survey","Yes",,"6009216.208","2112057.301","37.77982690573679","-122.41170877733207",,,,,,,
"6148204","GENEVA AVE","100","STONERIDGE LN","BROOKDALE AVE","2002-10-24T00:00:00.000","Survey","Yes",,"6004263.393","2087180.991","37.711243215611034","-122.42707042714504",,,,,,,
"2407002","ARGENT ALY","68","MARKET ST","MARKET ST","1997-08-28T00:00:00.000","Survey","No",,"6000005.953","2102399.826","37.75278891775694","-122.44287731686782",,,,,,,
"12555102","THE EMBARCADERO","100","BROADWAY","GREEN ST","1992-01-01T00:00:00.000","Survey","No",,"6013354.642","2119170.287","37.79958878456615","-122.39789110641408",,,,,,,
