"respnum","ccgid","term","strata","atype","airline","dest","gatenum","intdate","q1","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q3a","q4a","q4b","q4c","q5","q5avg","saq","q6a","q6b","q6c","q6d","q6e","q6f","q6g","q6h","q6i","q6j","q6k","q6l","q6m","q6n","q7com1","q7com2","q7com3","q7a1","q7a2","q7a3","q8a","q8b","q8c","q8d","q8e","q8f","q8com1","q8com2","q8com3","q9","q9apos1","q9apos2","q9apos3","q9aneg1","q9aneg2","q9aneg3","q9antr1","q9antr2","q9antr3","q10","q11","q11a1","q11a2","q11a3","q12","q13a","q13b","q13_com","q13com1","q13com2","q13com3","q14","q14a","q14a1","q14a2","q14a3","q15","sfflag","country","q17","age","q18","q19","inc","mail","lang","destmark","destination","destgeo","weight","location_1"
"24","173","1","2","1","25","1","23","2","2","2","8",,,,,"4","11",,,,,"9","2","2","2","3","4.5","1","6","6","5","5","5","5","6","6","6","6","6","6","6","5",,,,,,,"5","6","6","6","6","5",,,,"5",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","3","62","2","21","1","2","75000","1","1","4","LOS ANGELES","1","1.013018",
"25","174","1","2","1","25","1","23","2","1","1","8",,,,,"3","11",,,,,"9","1","2","1","2","2","2","3","4","4","4","4","4","6","6","2","2","0","6","1","3",,,,,,,"5","6","5","3","3","5",,,,"5",,,,,,,,,,"2",,,,,"11","2","1",,"1",,,"2",,,,,"3","4","62","5","49.5","1","4","175000","1","1","4","LOS ANGELES","1","1.013018",
"26","175","1","2","1","25","1","23","2","2","3","8",,,,,"6","11",,,,,"9","1","1","1","4","9.5","2","2","3","4","4","4","3","2","2","3","6","6","6","6","3",,,,,,,"5","6","6","6","5","4",,,,"4",,,,,,,,,,"2",,,,,"5","4","3",,,,,"3",,,,,"2","3","62","2","21","2","0",,"1","1","4","LOS ANGELES","1","1.013018",
"27","176","1","2","1","25","1","23","2","2","1","8",,,,,"8","11",,,,,"9","1","2","1","4","9.5","2","4","4","3","5","5","5","4","4","5","5","5","6","0","5","92",,,,,,"4","6","4","6","4","4",,,,"0",,,,,,,,,,"0",,,,,"12","0","0",,,,,"0",,,,,"2","4","20","7","75","1","4","175000","1","1","4","LOS ANGELES","1","1.013018",
"28","177","1","2","1","25","1","23","2","2","3","8",,,,,"2","11",,,,,"9","1","2","2","1","1","2","3","6","4","4","4","4","6","6","4","6","6","6","6","4","40",,,,,,"5","6","6","6","6","4",,,,"5","5",,,,,,,,,"2",,,,,"5","4","4",,,,,"2",,,,,"2","4","62","7","75","1","0",,"1","1","4","LOS ANGELES","1","1.013018",
"29","178","1","2","1","25","1","23","2","2","2","8",,,,,"4","11",,,,,"9","1","2","1","1","1","2","3","1","1","4","4","4","3","3","4","3","6","6","6","3","9","91",,,,,"5","6","6","6","3","3",,,,"4","2",,,,,,,,,"2",,,,,"5","4","3",,,,,"2",,,,,"2","3","62","3","29.5","2","3","125000","1","1","4","LOS ANGELES","1","1.013018",
"30","179","1","2","1","25","1","23","2","1","2","8",,,,,"3","11",,,,,"9","1","2","2","3","4.5","2","4","3","3","3","3","4","3","3","6","6","6","6","6","4","51",,,,,,"4","6","6","6","6","4",,,,"4",,,,,,,,,,"1","4",,,,"11","3","2",,,,,"2",,,,,"3","3","62","3","29.5","1","2","75000","1","1","4","LOS ANGELES","1","1.013018",
"31","180","1","2","1","25","1","23","2","2","2","8",,,,,"5","11",,,,,"9","1","2","2","1","1","2","4","4","2","0","4","4","4","4","4","4","4","4","4","4",,,,,,,"4","6","6","6","6","3",,,,"4",,,,,,,,,,"2",,,,,"5","3","1",,,,,"2",,,,,"2","3","62","3","29.5","1","1","25000","1","1","4","LOS ANGELES","1","1.013018",
"32","181","1","2","1","25","1","23","2","2","2","8",,,,,"2","11",,,,,"9","1","1","1","2","2","2","6","4","4","3","5","5","4","4","4","4","4","4","4","4",,,,,,,"4","4","4","4","4","4",,,,"5",,,,,,,,,,"1","5",,,,"1","4","4",,,,,"2",,,,,"0","5","0","0",,"0","0",,"1","1","4","LOS ANGELES","1","1.013018",
"33","273","3","1","1","28","2","84","2","2","3","8",,,,,"2","11",,,,,"9","1","2","2","1","1","1","4","6","6","4","4","4","6","6","3","3","6","3","6","0","50","70",,,,,"4","6","6","6","6","3",,,,"4","7",,,,,,,,,"2",,,,,"6","5","5",,,,,"2",,,,,"1","12","62","8","8","1","0",,"1","1","4","CHICAGO","3","1.592296",
"34","274","3","1","1","28","2","84","2","2","1","8",,,,,"6","11",,,,,"9","1","1","1","2","2","1","5","5","5","4","5","5","4","4","3","6","6","4","6","5","95",,,,,,"5","5","6","6","5","4",,,,"5","5",,,,,,,,,"1","4","4",,,"6","5","4",,,,,"2",,,,,"1","12","62","5","49.5","2","4","175000","1","1","4","CHICAGO","3","1.592296",
"35","275","3","1","1","28","2","84","2","1","1","8",,,,,"3","11",,,,,"9","1","1","2","6","36","1","5","3","5","5","5","4","6","6","5","5","6","5","6","4","95",,,,,,"4","5","6","6","6","4",,,,"5","1",,,,,,,,,"1","5","5",,,"11","5","4",,,,,"2",,,,,"3","3","62","6","59.5","0","4","175000","1","1","4","CHICAGO","3","1.592296",
"37","277","3","1","1","28","2","84","2","1","1","8",,,,,"3","11",,,,,"9","2","2","2","1","1","2","3","3","3","3","3","3","3","3","6","6","6","6","6","3",,,,,,,"3","3","3","3","3","3",,,,"0",,,,,,,,,,"3",,,,,"11","3","3",,,,,"2",,,,,"3","4","10","7","75","1","3","125000","1","1","4","CHICAGO","3","1.592296",
"38","278","3","1","1","28","2","84","2","1","3","8",,,,,"3","11",,,,,"9","1","2","1","1","1","2","4","4","4","5","5","5","6","6","5","6","6","6","6","4",,,,,,,"5","6","6","6","5","5",,,,"0",,,,,,,,,,"0",,,,,"11","0","0",,,,,"0",,,,,"3","3","62","6","59.5","2","3","125000","1","1","4","CHICAGO","3","1.592296",
"39","279","3","1","1","28","2","84","2","1","2","8",,,,,"3","11",,,,,"9","1","2","1","1","1","2","4","4","6","3","3","4","3","3","2","6","6","6","6","3",,,,,,,"3","6","6","0","5","1","3",,,"3",,,,,,,,,,"2",,,,,"11","0","0",,,,,"0",,,,,"3","5","0","0",,"0","0",,"1","1","4","CHICAGO","3","1.592296",
"40","280","3","1","1","28","2","84","2","2","2","8",,,,,"4","11",,,,,"9","1","2","1","1","1","2","3","3","3","4","4","4","6","6","6","6","6","6","6","3",,,,,,,"4","6","6","6","4","4",,,,"4",,,,,,,,,,"2",,,,,"5","6","6",,,,,"0",,,,,"0","5","0","0",,"0","0",,"1","1","4","CHICAGO","3","1.592296",
"41","281","3","1","1","28","2","84","2","2","2","8",,,,,"4","11",,,,,"9","1","2","2","3","4.5","2","6","4","0","0","5","5","0","5","0","0","0","0","0","0",,,,,,,"5","5","5","5","5","5",,,,"4",,,,,,,,,,"1","4",,,,"4","5","5",,,,,"2",,,,,"2","4","20","7","75","1","2","75000","1","1","4","CHICAGO","3","1.592296",
"42","282","3","1","1","28","2","84","2","2","2","8",,,,,"4","11",,,,,"9","1","0","0","3","4.5","2","6","6","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"3","3","3","3","3","3",,,,"3",,,,,,,,,,"2",,,,,"4","0","0",,,,,"2",,,,,"2","4","20","6","59.5","0","0",,"1","1","4","CHICAGO","3","1.592296",
"43","283","3","1","1","28","2","84","2","2","1","8",,,,,"2","11",,,,,"9","2","2","2","3","4.5","2","3","2","4","4","1","2","2","3","1","1","4","3","4","4",,,,,,,"4","3","4","3","5","2",,,,"4",,,,,,,,,,"2",,,,,"6","5","5",,,,,"2",,,,,"1","12","62","2","21","1","3","125000","1","1","4","CHICAGO","3","1.592296",
"44","284","3","1","1","28","2","84","2","2","2","8",,,,,"7","11",,,,,"9","1","2","2","1","1","2","4","6","6","4","4","6","6","6","6","6","6","6","6","4","95",,,,,,"5","6","6","6","6","5",,,,"4","1",,,,,,,,,"2",,,,,"5","4","4",,,,,"0",,,,,"4","3","62","7","75","1","2","75000","1","1","4","CHICAGO","3","1.592296",
"45","285","3","1","1","28","2","84","2","1","5","8",,,,,"3","11",,,,,"9","1","2","2","1","1","2","6","6","6","4","4","5","6","6","6","6","6","6","6","4",,,,,,,"4","6","6","6","6","6",,,,"4",,,,,,,,,,"2",,,,,"11","5","5",,,,,"2",,,,,"3","4","29","1","15","2","1","25000","1","1","4","CHICAGO","3","1.592296",
"46","286","3","1","1","28","2","84","2","1","5","8",,,,,"3","11",,,,,"9","1","2","2","1","1","2","6","6","6","5","5","5","6","6","6","6","6","6","6","5",,,,,,,"5","6","6","6","6","6",,,,"5",,,,,,,,,,"2",,,,,"11","5","5",,,,,"2",,,,,"3","4","29","5","49.5","1","1","25000","1","1","4","CHICAGO","3","1.592296",
