"month","month_number_","year","avg_mm_gal_water_day","full_date"
"January","1","2013","1.86","2013-01-01T00:00:00.000"
"February","2","2013","1.89","2013-02-01T00:00:00.000"
"March","3","2013","1.93","2013-03-01T00:00:00.000"
"April","4","2013","2.00","2013-04-01T00:00:00.000"
"May","5","2013","2.17","2013-05-01T00:00:00.000"
"June","6","2013","2.25","2013-06-01T00:00:00.000"
"July","7","2013","2.27","2013-07-01T00:00:00.000"
"August","8","2013","2.22","2013-08-01T00:00:00.000"
"September","9","2013","2.18","2013-09-01T00:00:00.000"
"October","10","2013","2.08","2013-10-01T00:00:00.000"
"November","11","2013","1.96","2013-11-01T00:00:00.000"
"December","12","2013","1.92","2013-12-01T00:00:00.000"
"January","1","2014","1.94","2014-01-01T00:00:00.000"
"February","2","2014","1.88","2014-02-01T00:00:00.000"
"March","3","2014","1.86","2014-03-01T00:00:00.000"
"April","4","2014","1.93","2014-04-01T00:00:00.000"
"May","5","2014","2.06","2014-05-01T00:00:00.000"
"June","6","2014","2.12","2014-06-01T00:00:00.000"
"July","7","2014","2.13","2014-07-01T00:00:00.000"
"August","8","2014","2.09","2014-08-01T00:00:00.000"
"September","9","2014","2.02","2014-09-01T00:00:00.000"
"October","10","2014","1.94","2014-10-01T00:00:00.000"
"November","11","2014","1.84","2014-11-01T00:00:00.000"
"December","12","2014","1.80","2014-12-01T00:00:00.000"
"January","1","2015","1.79","2015-01-01T00:00:00.000"
"February","2","2015","1.82","2015-02-01T00:00:00.000"
"March","3","2015","1.86","2015-03-01T00:00:00.000"
"April","4","2015","1.85","2015-04-01T00:00:00.000"
"May","5","2015","1.87","2015-05-01T00:00:00.000"
"June","6","2015","1.89","2015-06-01T00:00:00.000"
"July","7","2015","1.91","2015-07-01T00:00:00.000"
"August","8","2015","1.91","2015-08-01T00:00:00.000"
"September","9","2015","1.89","2015-09-01T00:00:00.000"
"October","10","2015","1.82","2015-10-01T00:00:00.000"
"November","11","2015","1.74","2015-11-01T00:00:00.000"
"December","12","2015","1.71","2015-12-01T00:00:00.000"
"January","1","2016","1.70","2016-01-01T00:00:00.000"
"February","2","2016","1.71","2016-02-01T00:00:00.000"
"March","3","2016","1.75","2016-03-01T00:00:00.000"
"April","4","2016","1.80","2016-04-01T00:00:00.000"
"May","5","2016","1.88","2016-05-01T00:00:00.000"
"June","6","2016","1.96","2016-06-01T00:00:00.000"
"July","7","2016","1.98","2016-07-01T00:00:00.000"
"August","8","2016","1.95","2016-08-01T00:00:00.000"
"September","9","2016","1.91","2016-09-01T00:00:00.000"
"October","10","2016","1.81","2016-10-01T00:00:00.000"
"November","11","2016","1.72","2016-11-01T00:00:00.000"
"December","12","2016","1.70","2016-12-01T00:00:00.000"
"January","1","2017","1.70","2017-01-01T00:00:00.000"
"February","2","2017","1.69","2017-02-01T00:00:00.000"
"March","3","2017","1.71","2017-03-01T00:00:00.000"
"April","4","2017","1.80","2017-04-01T00:00:00.000"
"May","5","2017","1.91","2017-05-01T00:00:00.000"
"June","6","2017","2.00","2017-06-01T00:00:00.000"
"July","7","2017","2.04","2017-07-01T00:00:00.000"
"August","8","2017","2.02","2017-08-01T00:00:00.000"
"September","9","2017","1.99","2017-09-01T00:00:00.000"
"October","10","2017","1.91","2017-10-01T00:00:00.000"
"November","11","2017","1.82","2017-11-01T00:00:00.000"
"December","12","2017","1.78","2017-12-01T00:00:00.000"
