"address","city","scheduled_completion_date","qty","description","state","zip","location"
"429 21ST ST","RICHMOND","2016-01-08T00:00:00.000","0",,"CA","94804","POINT (-122.349544 37.937522)"
"2761 M.L.K. JR AVE","RICHMOND","2019-08-15T00:00:00.000","3",,"CA","94804",
"5513 CENTRAL AVE","RICHMOND","2017-07-27T00:00:00.000","3",,"CA","94804",
"26 WATERLINE PL","RICHMOND","2021-04-22T00:00:00.000","1",,"CA","94804",
"624 15TH ST","RICHMOND","2017-04-25T00:00:00.000","0",,"CA","94804","POINT (-122.355443 37.940794)"
"256 25TH ST","RICHMOND","2020-07-08T00:00:00.000","2",,"CA","94804","POINT (-122.345523 37.935063)"
"2421 BRANCHWOOD CT","RICHMOND","2015-10-23T00:00:00.000","3",,"CA","94804","POINT (-122.339053 37.979392)"
"1827 LINCOLN AVE","RICHMOND","2018-05-03T00:00:00.000","2",,"CA","94804","POINT (-122.351294 37.945984)"
"175 BERK PL","RICHMOND","2015-01-15T00:00:00.000","1",,"CA","94804","POINT (-122.33318 37.924505)"
"5717 VAN FLEET AVE","RICHMOND","2020-06-04T00:00:00.000","3",,"CA","94804","POINT (-122.308725 37.903699)"
"5702 HAZEL AVE","RICHMOND","2021-03-25T00:00:00.000","3",,"CA","94804","POINT (-122.31702 37.938982)"
"524 BARRETT AVE","RICHMOND","2021-03-17T00:00:00.000","3",,"CA","94804","POINT (-122.364126 37.938424)"
"4201 TAFT AVE","RICHMOND","2015-03-05T00:00:00.000","3",,"CA","94804","POINT (-122.329731 37.927094)"
"1722 GARVIN AVE","RICHMOND","2014-11-20T00:00:00.000","1",,"CA","94804","POINT (-122.353191 37.943833)"
"542 S 37TH ST","RICHMOND","2019-03-01T00:00:00.000","3",,"CA","94804","POINT (-122.334034 37.924455)"
"340 37TH ST","RICHMOND","2021-02-24T00:00:00.000","3",,"CA","94804","POINT (-122.334029 37.934712)"
"1812 RALSTON AVE","RICHMOND","2021-01-12T00:00:00.000","1",,"CA","94804","POINT (-122.317237 37.940227)"
"339 S 19TH ST","RICHMOND","2017-02-03T00:00:00.000","2",,"CA","94804","POINT (-122.351276 37.927255)"
"621 LUCAS AVE","RICHMOND","2017-04-06T00:00:00.000","3",,"CA","94804","POINT (-122.363107 37.944446)"
"346 S 19TH ST","RICHMOND","2017-10-27T00:00:00.000","3",,"CA","94804","POINT (-122.351277 37.927127)"
"2219 RHEEM AVE","RICHMOND","2017-03-23T00:00:00.000","3",,"CA","94804","POINT (-122.347256 37.949829)"
"145 S 22ND ST","RICHMOND","2020-10-08T00:00:00.000","1",,"CA","94804","POINT (-122.348585 37.929934)"
"1900 HOFFMAN BLVD","RICHMOND","2018-10-18T00:00:00.000","3",,"CA","94804","POINT (-122.351535 37.922556)"
"5335 CREELY AVE","RICHMOND","2019-08-01T00:00:00.000","3",,"CA","94804","POINT (-122.318982 37.918685)"
"2557 TREESIDE WAY","RICHMOND","2019-12-12T00:00:00.000","3",,"CA","94804","POINT (-122.338001 37.979467)"
"828 8TH ST","RICHMOND","2021-09-01T00:00:00.000","3",,"CA","94804","POINT (-122.361775 37.945005)"
"3158 KEITH DR","RICHMOND","2015-10-30T00:00:00.000","2",,"CA","94804","POINT (-122.291656 37.973729)"
"656 21ST ST","RICHMOND","2018-02-08T00:00:00.000","2",,"CA","94804","POINT (-122.349278 37.941992)"
"731 VIRGINIA AVE","RICHMOND","2016-03-04T00:00:00.000","3",,"CA","94804","POINT (-122.362228 37.926629)"
"611 21ST ST","RICHMOND","2020-03-11T00:00:00.000","3",,"CA","94804","POINT (-122.349517 37.940419)"
"200 SEAVIEW DR","RICHMOND","2018-04-20T00:00:00.000","2",,"CA","94804","POINT (-122.376518 37.912077)"
"19 17TH ST","RICHMOND","2017-02-16T00:00:00.000","3",,"CA","94804","POINT (-122.353273 37.931909)"
"434 27TH ST","RICHMOND","2015-05-28T00:00:00.000","2",,"CA","94804","POINT (-122.342485 37.936921)"
"326 VILLAGE LN","RICHMOND","2015-07-24T00:00:00.000","3",,"CA","94804","POINT (-122.355818 37.936479)"
"4907 POTRERO AVE","RICHMOND","2020-12-30T00:00:00.000","1",,"CA","94804","POINT (-122.323039 37.921074)"
"772 VENTURA ST","RICHMOND","2017-02-24T00:00:00.000","3",,"CA","94804","POINT (-122.325644 37.943729)"
"1910 CARLSON BLVD","RICHMOND","2017-03-24T00:00:00.000","3",,"CA","94804","POINT (-122.312207 37.909382)"
"705 DEVILS DROP CT","RICHMOND","2015-04-03T00:00:00.000","1",,"CA","94804","POINT (-122.271521 37.962024)"
"3507 PARK RIDGE DR","RICHMOND","2018-10-26T00:00:00.000","2",,"CA","94804","POINT (-122.343132 37.98506)"
"2886 STEPHEN DR","RICHMOND","2016-01-29T00:00:00.000","2",,"CA","94804","POINT (-122.295562 37.970106)"
"6309 BONITA CT","RICHMOND","2017-10-19T00:00:00.000","3",,"CA","94804","POINT (-122.317943 37.957518)"
"439 METRO WALK WAY","RICHMOND","2021-04-29T00:00:00.000","3",,"CA","94804","POINT (-122.354835 37.937512)"
"1539 MARIPOSA ST","RICHMOND","2020-09-17T00:00:00.000","3",,"CA","94804","POINT (-122.316636 37.911471)"
"2931 JO ANN DR","RICHMOND","2018-11-01T00:00:00.000","3",,"CA","94804","POINT (-122.324018 37.972593)"
"4928 SWEETWOOD DR","RICHMOND","2018-07-06T00:00:00.000","1",,"CA","94804","POINT (-122.286219 37.969429)"
"5275 COACH DR","RICHMOND","2015-12-31T00:00:00.000","1",,"CA","94804","POINT (-122.258801 37.966709)"
"1046 VIEW DR","RICHMOND","2020-01-02T00:00:00.000","1",,"CA","94804","POINT (-122.311324 37.978778)"
"724 KERN ST","RICHMOND","2020-12-31T00:00:00.000","3",,"CA","94804","POINT (-122.321862 37.943055)"
"16 15TH ST","RICHMOND","2017-05-11T00:00:00.000","3",,"CA","94804","POINT (-122.355174 37.931706)"
"1685 MERCED ST","RICHMOND","2020-01-23T00:00:00.000","3",,"CA","94804","POINT (-122.313642 37.91073)"
"3079 MAY RD","RICHMOND","2016-07-28T00:00:00.000","3",,"CA","94804","POINT (-122.289875 37.970935)"
"1290 FASCINATION CIR","RICHMOND","2019-03-21T00:00:00.000","3",,"CA","94804","POINT (-122.276344 37.963926)"
"4517 MEADOWBROOK DR","RICHMOND","2016-09-09T00:00:00.000","3",,"CA","94804","POINT (-122.289677 37.974866)"
"415 S 50TH ST","RICHMOND","2020-12-23T00:00:00.000","2",,"CA","94804","POINT (-122.322646 37.92602)"
"5469 CERRO SUR","RICHMOND","2015-07-10T00:00:00.000","3",,"CA","94804","POINT (-122.250294 37.962045)"
"4305 CUTTING BLVD","RICHMOND","2018-05-03T00:00:00.000","3",,"CA","94804","POINT (-122.328983 37.925647)"
"616 29TH ST","RICHMOND","2021-02-03T00:00:00.000","3",,"CA","94804","POINT (-122.340076 37.939745)"
"1930 ESMOND AVE","RICHMOND","2015-06-26T00:00:00.000","3",,"CA","94804","POINT (-122.350468 37.94527)"
"2941 GROOM DR","RICHMOND","2016-09-10T00:00:00.000","2",,"CA","94804","POINT (-122.33132 37.975195)"
"6128 PANAMA AVE","RICHMOND","2015-12-04T00:00:00.000","2",,"CA","94804","POINT (-122.307165 37.907548)"
"434 27TH ST","RICHMOND","2018-06-14T00:00:00.000","2",,"CA","94804","POINT (-122.342485 37.936921)"
"5412 SANDY CT","RICHMOND","2020-11-04T00:00:00.000","3",,"CA","94804","POINT (-122.346914 37.994679)"
"318 S 26TH ST","RICHMOND","2018-08-09T00:00:00.000","3",,"CA","94804","POINT (-122.344687 37.927553)"
"1515 25TH ST","RICHMOND","2015-02-12T00:00:00.000","3",,"CA","94804","POINT (-122.344534 37.954825)"
"2932 BONDS LN","RICHMOND","2017-10-27T00:00:00.000","3",,"CA","94804","POINT (-122.340946 37.923604)"
"2921 MIRANTE CT","RICHMOND","2021-03-03T00:00:00.000","2",,"CA","94804","POINT (-122.292516 37.965121)"
"811 S 49TH ST","RICHMOND","2021-03-10T00:00:00.000","3",,"CA","94804","POINT (-122.323616 37.920814)"
"2548 MOYERS RD","RICHMOND","2020-12-09T00:00:00.000","2",,"CA","94804","POINT (-122.329977 37.967429)"
"4404 UTAH DR","RICHMOND","2018-06-08T00:00:00.000","2",,"CA","94804","POINT (-122.297719 37.971122)"
"521 BRADFORD DR","RICHMOND","2016-10-27T00:00:00.000","3",,"CA","94804","POINT (-122.355609 37.985524)"
"123 13TH ST","RICHMOND","2021-08-11T00:00:00.000","3",,"CA","94804","POINT (-122.357111 37.932919)"
"3160 FAIRMEDE DR","RICHMOND","2017-12-29T00:00:00.000","3",,"CA","94804","POINT (-122.323604 37.975543)"
"5489 ALLISON LN","RICHMOND","2021-09-15T00:00:00.000","3",,"CA","94804","POINT (-122.284543 37.957544)"
"853 MCLAUGHLIN ST","RICHMOND","2019-12-27T00:00:00.000","1",,"CA","94804","POINT (-122.328509 37.945055)"
"2020 VISALIA AVE","RICHMOND","2016-10-13T00:00:00.000","3",,"CA","94804","POINT (-122.349644 37.946696)"
"135 S 3RD ST","RICHMOND","2016-08-11T00:00:00.000","2",,"CA","94804","POINT (-122.366965 37.930182)"
"317 DUBOCE AVE","RICHMOND","2015-09-11T00:00:00.000","3",,"CA","94804","POINT (-122.366441 37.952674)"
"638 27TH ST","RICHMOND","2021-08-11T00:00:00.000","1",,"CA","94804","POINT (-122.341625 37.940687)"
"719 BOYD AVE","RICHMOND","2017-02-09T00:00:00.000","3",,"CA","94804","POINT (-122.331397 37.942017)"
"777 KERN ST","RICHMOND","2019-06-07T00:00:00.000","1",,"CA","94804","POINT (-122.3227 37.944826)"
"3106 TULARE AVE","RICHMOND","2015-05-29T00:00:00.000","3",,"CA","94804","POINT (-122.33694 37.951322)"
"35 HARBOR VIEW DR","RICHMOND","2020-09-24T00:00:00.000","2",,"CA","94804","POINT (-122.347979 37.90804)"
"4928 SWEETWOOD DR","RICHMOND","2019-01-31T00:00:00.000","3",,"CA","94804","POINT (-122.286219 37.969429)"
"3141 DESERET DR","RICHMOND","2020-01-29T00:00:00.000","1",,"CA","94804","POINT (-122.293435 37.974666)"
"3321 PARK RIDGE DR","RICHMOND","2015-08-06T00:00:00.000","2",,"CA","94804","POINT (-122.347343 37.983027)"
"5185 COACH DR","RICHMOND","2021-08-26T00:00:00.000","3",,"CA","94804","POINT (-122.259033 37.968364)"
"3707 WOODLAND PL","RICHMOND","2020-06-17T00:00:00.000","3",,"CA","94804","POINT (-122.344339 37.991811)"
"3773 HIDDEN SPRINGS","RICHMOND","2021-04-15T00:00:00.000","1",,"CA","94804","POINT (-122.270417 37.972879)"
"543 MOUNT ST","RICHMOND","2015-10-15T00:00:00.000","1",,"CA","94804","POINT (-122.322304 37.937177)"
"552 40TH ST","RICHMOND","2017-08-11T00:00:00.000","0",,"CA","94804","POINT (-122.330771 37.937186)"
"1411 BURBECK AVE","RICHMOND","2017-02-23T00:00:00.000","3",,"CA","94804","POINT (-122.35601 37.943113)"
"628 S 16TH ST","RICHMOND","2020-02-05T00:00:00.000","3",,"CA","94804","POINT (-122.353728 37.923412)"
"633 19TH ST","RICHMOND","2018-07-13T00:00:00.000","1",,"CA","94804","POINT (-122.351485 37.941194)"
"224 S 3RD ST","RICHMOND","2016-08-05T00:00:00.000","2",,"CA","94804","POINT (-122.366966 37.92891)"
"3535 CENTER AVE","RICHMOND","2015-06-11T00:00:00.000","3",,"CA","94804","POINT (-122.335843 37.930173)"
