"id","sex","age","member_created_m_d_yyyy","start_of_first_full_membership"
"35",,,"2018-09-09T00:00:00.000",
"36","female","39","2016-09-19T00:00:00.000","2016-09-19T00:00:00.000"
"37",,"32","2019-01-22T00:00:00.000","2019-01-28T00:00:00.000"
"38",,,"2018-05-18T00:00:00.000",
"39","male","50","2016-08-01T00:00:00.000","2016-08-01T00:00:00.000"
"40","female","82","2016-09-22T00:00:00.000",
"41","female","50","2017-12-07T00:00:00.000",
"42",,,"2017-05-12T00:00:00.000","2017-05-12T00:00:00.000"
"43","female","54","2019-08-30T00:00:00.000","2019-08-30T00:00:00.000"
"44",,,"2020-01-23T00:00:00.000","2020-01-22T00:00:00.000"
"45","male","65","2018-02-17T00:00:00.000","2018-02-16T00:00:00.000"
"46",,"57","2019-08-21T00:00:00.000","2019-08-21T00:00:00.000"
"47","male","77","2016-09-02T00:00:00.000","2019-09-16T00:00:00.000"
"48","female","47","2019-05-02T00:00:00.000","2019-05-03T00:00:00.000"
"49","male","54","2018-07-25T00:00:00.000","2018-07-25T00:00:00.000"
"50","female","54","2016-11-10T00:00:00.000",
"51","female","48","2018-02-05T00:00:00.000","2018-02-05T00:00:00.000"
"52","female","48","2019-05-15T00:00:00.000","2019-05-15T00:00:00.000"
"53",,"36","2018-07-25T00:00:00.000","2018-07-25T00:00:00.000"
"54","female","61","2018-08-31T00:00:00.000","2018-08-31T00:00:00.000"
"55","female","52","2017-11-30T00:00:00.000",
"56","male","33","2016-12-09T00:00:00.000",
"57","female","59","2019-10-12T00:00:00.000","2019-10-16T00:00:00.000"
"58","female","55","2019-08-05T00:00:00.000","2019-08-05T00:00:00.000"
"59","female","47","2017-06-17T00:00:00.000","2017-06-26T00:00:00.000"
"60",,,"2017-08-17T00:00:00.000","2017-08-18T00:00:00.000"
"61","female","43","2018-04-27T00:00:00.000","2018-05-04T00:00:00.000"
"62","female","66","2017-09-13T00:00:00.000","2017-09-13T00:00:00.000"
"63","female","34","2019-03-15T00:00:00.000","2019-03-15T00:00:00.000"
"64","female","69","2017-08-04T00:00:00.000","2017-08-04T00:00:00.000"
"65","male","43","2018-05-14T00:00:00.000","2018-05-14T00:00:00.000"
"66","female","70","2016-11-18T00:00:00.000","2018-07-23T00:00:00.000"
"67",,,"2018-10-08T00:00:00.000",
"68","male","51","2016-09-06T00:00:00.000","2016-09-06T00:00:00.000"
"69",,,"2018-05-02T00:00:00.000","2018-05-07T00:00:00.000"
"70","male","32","2018-06-05T00:00:00.000",
"71","female","44","2017-01-13T00:00:00.000","2017-01-12T00:00:00.000"
"72","male","50","2018-08-16T00:00:00.000","2018-08-15T00:00:00.000"
"73","male",,"2017-10-11T00:00:00.000","2017-10-11T00:00:00.000"
"74","female","40","2019-03-15T00:00:00.000","2019-03-15T00:00:00.000"
"75",,,"2019-12-17T00:00:00.000","2019-12-18T00:00:00.000"
"76","female","30","2019-01-02T00:00:00.000",
"77","female",,"2018-08-11T00:00:00.000","2018-08-13T00:00:00.000"
"78",,,"2017-02-11T00:00:00.000","2018-09-26T00:00:00.000"
"79",,,"2018-10-25T00:00:00.000",
"80","female","39","2017-09-25T00:00:00.000",
"81",,"25","2019-09-10T00:00:00.000",
"82",,"54","2018-11-26T00:00:00.000","2018-11-26T00:00:00.000"
"83","male","46","2017-07-24T00:00:00.000","2017-07-24T00:00:00.000"
"84","female","37","2017-07-26T00:00:00.000","2017-07-31T00:00:00.000"
"85",,"42","2018-10-15T00:00:00.000","2018-10-17T00:00:00.000"
"86",,"57","2018-06-15T00:00:00.000","2018-06-15T00:00:00.000"
"87","female","39","2020-02-03T00:00:00.000","2020-02-03T00:00:00.000"
"88","male","67","2018-09-19T00:00:00.000","2018-09-19T00:00:00.000"
"89",,,"2020-02-14T00:00:00.000","2020-02-14T00:00:00.000"
"90","female","26","2018-05-11T00:00:00.000","2018-05-11T00:00:00.000"
"91",,"67","2019-07-12T00:00:00.000","2019-07-12T00:00:00.000"
"92","male","72","2017-09-22T00:00:00.000","2017-09-22T00:00:00.000"
"93",,,"2018-07-20T00:00:00.000","2018-07-23T00:00:00.000"
"94",,,"2019-03-24T00:00:00.000",
"95",,,"2020-01-31T00:00:00.000","2020-01-31T00:00:00.000"
"96","male",,"2019-07-12T00:00:00.000","2019-11-15T00:00:00.000"
"97","male","33","2020-09-21T00:00:00.000",
"98","male","36","2019-09-06T00:00:00.000","2019-09-06T00:00:00.000"
