"socrata_entity_number","home_cost_center","home_cost_center_description","cost_center","employment_status","union_name","age_range","gender","ethnic_code_description","title","current_hire_date","date_terminated","longevity_range","total_wages","total_benefits","total_taxes","total_cost","date","regular_pay","premium_pay"
"54","230000","PS - POLICE BUREAU","School Guards","Full-time","School Guards","50-59 years old","Female","White","School Crossing Guard","1999-01-25T00:00:00.000",,"16-20 years with the City","16688.83","7049.52","1251.07","24989.42","2017",,
"54","230000","PS - POLICE BUREAU","School Guards","Full-time","School Guards","50-59 years old","Female","White","School Crossing Guard","1999-01-25T00:00:00.000",,"16-20 years with the City","17086.75","7222.92","1251.07","25560.74","2018",,
"54","230000","PS - POLICE BUREAU","School Guards","Full-time","School Guards","50-59 years old","Female","White","School Crossing Guard","1999-01-25T00:00:00.000",,"16-20 years with the City","17752.75","7618.06","1307.42","26678.23","2019",,
"54","210000","PS - ADMIN AND SUPPORT SERVICE","School Guards","Full-time","School Guards","50-59 years old","Female","White","School Crossing Guard","1999-01-25T00:00:00.000",,"21-25 years with the City","20094.76","7811.86",,"27906.62","2020","19594.76","500.00"
"54","210000","PS - ADMIN AND SUPPORT SERVICE","School Guards","Full-time","School Guards","50-59 years old","Female","White","School Crossing Guard","1999-01-25T00:00:00.000",,"21-25 years with the City","19589.67","9428.39",,"29018.06","2021","19589.67","0.00"
"104","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Officer/Detective","1993-02-15T00:00:00.000",,"21-25 years with the City","93793.54","15305.40","1353.36","110452.30","2017",,
"104","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Officer/Detective","1993-02-15T00:00:00.000",,"21-25 years with the City","98014.24","16321.84","1353.36","115689.44","2018",,
"104","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Officer/Detective","1993-02-15T00:00:00.000",,"26-30 years with the City","96955.30","15680.68","1341.40","113977.38","2019",,
"104","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Officer/Detective","1993-02-15T00:00:00.000",,"26-30 years with the City","118316.38","17280.45",,"135596.83","2020","106184.34","12132.04"
"104","230000","PS - POLICE BUREAU","Police-Major Crimes","Full-time","Police","50-59 years old","Male","White","Police Officer/Detective","1993-02-15T00:00:00.000",,"26-30 years with the City","112003.42","18910.16",,"130913.58","2021","96277.78","15725.64"
"116","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1989-04-17T00:00:00.000",,"26-30 years with the City","86553.61","15342.10","1438.76","103334.47","2017",,
"116","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1989-04-17T00:00:00.000",,"26-30 years with the City","102930.73","16407.40","1438.76","120776.89","2018",,
