"date","fiscal_year","trees_planted","trees_removed","net_gain_in_trees","trees_pruned","stumps_removed","total_forestry_backlog_as_of_eofy","trees_pruned_backlog_as_of_eofy"
"2010-06-30T00:00:00.000","2010","655","744","-89","865","688","1357","817"
"2010-06-30T00:00:00.000","2010","655","744","-89","865","688","1357","817"
"2011-06-30T00:00:00.000","2011","493","643","-150","916","290","1562","980"
"2011-06-30T00:00:00.000","2011","493","643","-150","916","290","1562","980"
"2012-06-30T00:00:00.000","2012","623","690","-67","507","355","1787","1022"
"2012-06-30T00:00:00.000","2012","623","690","-67","507","355","1787","1022"
"2013-06-30T00:00:00.000","2013","736","472","264","699","288","2337","1418"
"2013-06-30T00:00:00.000","2013","736","472","264","699","288","2337","1418"
"2014-06-30T00:00:00.000","2014","681","475","206","618","230","2349","1545"
"2014-06-30T00:00:00.000","2014","681","475","206","618","230","2349","1545"
"2015-06-30T00:00:00.000","2015","611","333","278","902","424","1767","1280"
"2015-06-30T00:00:00.000","2015","611","333","278","902","424","1767","1280"
"2016-06-30T00:00:00.000","2016","725","599","126","1713","387","1541","1146"
"2016-06-30T00:00:00.000","2016","725","599","126","1713","387","1541","1146"
"2017-06-01T00:00:00.000","2017","664","450","214","2146","387","1285","920"
"2017-06-30T00:00:00.000","2017","664","450","214","2146","387","1285","920"
"2018-06-30T00:00:00.000","2018","610","589","21","2674","451","1490","1050"
