"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"72003-FEMALE","2003","7","FEMALE","52","6","248","925","969","1163","774","207","24","3"
"72003-MALE","2003","7","MALE","93","3","318","1702","1804","1742","1034","278","37","6"
"72003-MISSING","2003","7","MISSING",,,"1","8","12","6","3","1",,
"62003-FEMALE","2003","6","FEMALE","66","1","206","1044","1017","1236","902","251","29","8"
"62003-MALE","2003","6","MALE","76","1","292","1674","1672","1689","984","277","38","3"
"62003-MISSING","2003","6","MISSING",,,"1","3",,"4","1",,,
"52003-FEMALE","2003","5","FEMALE","64","1","140","1042","1111","1409","922","285","43","8"
"52003-MALE","2003","5","MALE","98","2","234","1687","1796","1716","969","266","39","2"
"52003-MISSING","2003","5","MISSING","1",,"1","3","7","4","3","1",,
"42003-FEMALE","2003","4","FEMALE","57","2","144","947","1054","1366","880","274","29","4"
"42003-MALE","2003","4","MALE","92",,"226","1578","1651","1718","1038","270","44","9"
"42003-MISSING","2003","4","MISSING",,,,"5","4","6","4",,,
"32003-FEMALE","2003","3","FEMALE","63","3","163","1056","1214","1566","1033","312","32","7"
"32003-MALE","2003","3","MALE","93","1","224","1558","1739","1859","1098","307","45","5"
"32003-MISSING","2003","3","MISSING",,,,"5","2","5","1",,,
"22003-FEMALE","2003","2","FEMALE","51",,"153","950","1126","1390","928","266","35","7"
"22003-MALE","2003","2","MALE","85","1","203","1470","1670","1729","1036","295","39","3"
"22003-MISSING","2003","2","MISSING",,,,"5","4","10","3","1",,
"12003-FEMALE","2003","1","FEMALE","58",,"174","1066","1203","1546","1136","283","32","5"
"12003-MALE","2003","1","MALE","92","5","219","1673","1999","2007","1242","327","49","7"
"12003-MISSING","2003","1","MISSING",,,,"6","6","3",,,"1",
"122002-FEMALE","2002","12","FEMALE","58","2","162","1025","1033","1237","849","208","30","5"
"122002-MALE","2002","12","MALE","72","1","224","1523","1624","1618","927","262","33","7"
"122002-MISSING","2002","12","MISSING",,,,"2","8","3","4","2",,
"112002-FEMALE","2002","11","FEMALE","49","3","186","1076","1096","1253","850","226","34","9"
"112002-MALE","2002","11","MALE","82",,"233","1634","1753","1645","1030","310","38","3"
"112002-MISSING","2002","11","MISSING",,,,"8","14","8",,"1",,
"102002-FEMALE","2002","10","FEMALE","63","4","223","1257","1304","1579","994","315","50","3"
"102002-MALE","2002","10","MALE","95","3","317","1980","2209","2059","1085","303","41","3"
"102002-MISSING","2002","10","MISSING",,,"1","2","4","4","3","1",,
"92002-FEMALE","2002","9","FEMALE","51","4","216","1059","1161","1284","828","242","39","5"
"92002-MALE","2002","9","MALE","84","3","285","1818","1925","1883","978","260","40","6"
"92002-MISSING","2002","9","MISSING",,,,"5","3","5","2","1",,
"82002-FEMALE","2002","8","FEMALE","63","5","238","1119","1231","1378","859","251","34","8"
"82002-MALE","2002","8","MALE","91","5","408","2041","2172","1976","1140","313","36","2"
"82002-MISSING","2002","8","MISSING",,,"1","7","8","10","3","1",,
"72002-FEMALE","2002","7","FEMALE","62","6","269","1096","1224","1336","815","228","31","6"
"72002-MALE","2002","7","MALE","90","8","364","2018","1995","1862","1039","307","30","4"
"72002-MISSING","2002","7","MISSING",,,,"6","3","4","2",,,
"62002-FEMALE","2002","6","FEMALE","66","4","221","1088","1198","1343","879","222","34","3"
"62002-MALE","2002","6","MALE","93","3","288","1900","2024","1864","1073","291","32","5"
"62002-MISSING","2002","6","MISSING",,,,"6","5","4","2","1",,
"52002-FEMALE","2002","5","FEMALE","70",,"209","1108","1196","1477","964","262","35","7"
"52002-MALE","2002","5","MALE","76","1","230","1762","1975","1909","1102","249","30","3"
"52002-MISSING","2002","5","MISSING","1",,,"4","5","7","3",,,
"42002-FEMALE","2002","4","FEMALE","87","2","188","1112","1304","1485","983","277","36","8"
"42002-MALE","2002","4","MALE","96","1","262","1866","2098","2061","1185","309","31","2"
"42002-MISSING","2002","4","MISSING",,,,"2","7","4","2","1",,
"32002-FEMALE","2002","3","FEMALE","53",,"182","1017","1335","1407","952","244","38","3"
"32002-MALE","2002","3","MALE","90",,"253","1839","1998","1928","1052","302","49","5"
"32002-MISSING","2002","3","MISSING",,,,"6","8","6","1","2",,
"22002-FEMALE","2002","2","FEMALE","57","2","160","892","1061","1257","854","248","37","3"
"22002-MALE","2002","2","MALE","72","1","226","1642","1769","1610","1004","259","43","6"
"22002-MISSING","2002","2","MISSING",,,,"4","3","3","3",,,
"12002-FEMALE","2002","1","FEMALE","72","1","174","946","1166","1242","881","212","33","8"
"12002-MALE","2002","1","MALE","101","4","243","1662","1872","1773","1005","306","27","4"
"12002-MISSING","2002","1","MISSING",,,,"2","10","9","2",,"1",
"122001-FEMALE","2001","12","FEMALE","58","3","170","1003","1135","1244","833","193","24","7"
"122001-MALE","2001","12","MALE","91","6","249","1630","1768","1678","943","265","29","2"
"122001-MISSING","2001","12","MISSING",,,"2","2","6","2","2",,,
"112001-FEMALE","2001","11","FEMALE","65","1","216","1056","1215","1351","897","258","42","2"
"112001-MALE","2001","11","MALE","119",,"288","1814","1988","1753","972","293","43","8"
"112001-MISSING","2001","11","MISSING","1",,,"6","11","4","3",,,
"102001-FEMALE","2001","10","FEMALE","74","8","274","1280","1442","1593","962","261","36","6"
"102001-MALE","2001","10","MALE","120","3","410","2357","2388","2201","1261","322","35","3"
"102001-MISSING","2001","10","MISSING",,,,"9","8","7","4",,"1",
"92001-FEMALE","2001","9","FEMALE","69","3","220","961","1110","1247","808","204","43","9"
"92001-MALE","2001","9","MALE","91","2","325","1860","2050","1822","1067","292","34","2"
"92001-MISSING","2001","9","MISSING",,,,"7","11","2","3","1",,
"82001-FEMALE","2001","8","FEMALE","66","9","282","1259","1370","1479","940","270","24","5"
"82001-MALE","2001","8","MALE","141","6","519","2607","2656","2368","1307","347","37","4"
"82001-MISSING","2001","8","MISSING",,,,"4","16","5","4","1",,
"72001-FEMALE","2001","7","FEMALE","79","10","247","1139","1216","1313","821","187","30","5"
"72001-MALE","2001","7","MALE","136","13","460","2182","2267","2032","1087","303","38","5"
"72001-MISSING","2001","7","MISSING",,,"1","5","13","7","3","3",,
"62001-FEMALE","2001","6","FEMALE","72","2","246","1163","1303","1476","869","233","41","5"
"62001-MALE","2001","6","MALE","119","3","431","2165","2405","2080","1137","301","40","3"
"62001-MISSING","2001","6","MISSING",,,,"6","8","5","3","1",,
"52001-FEMALE","2001","5","FEMALE","70","1","203","1043","1201","1363","826","214","40","3"
"52001-MALE","2001","5","MALE","129","3","276","1971","2199","1897","1036","282","33","6"
"52001-MISSING","2001","5","MISSING",,"1",,"4","9","5","7","1",,
"42001-FEMALE","2001","4","FEMALE","69","1","205","1063","1272","1332","861","241","33","3"
"42001-MALE","2001","4","MALE","109","1","317","1942","2170","1928","1076","299","35","5"
"42001-MISSING","2001","4","MISSING",,,,"1","13","4","5",,,
"32001-FEMALE","2001","3","FEMALE","90","2","200","1162","1501","1581","1020","263","35","4"
"32001-MALE","2001","3","MALE","134","5","296","2125","2227","2019","1180","320","39","3"
"32001-MISSING","2001","3","MISSING","1",,"1","4","11","8","2",,,
"22001-FEMALE","2001","2","FEMALE","102","3","172","996","1170","1310","855","216","30","2"
"22001-MALE","2001","2","MALE","158","1","286","1624","1903","1823","999","276","34","2"
"22001-MISSING","2001","2","MISSING","2",,,"6","8","5","5","1",,
"12001-FEMALE","2001","1","FEMALE","97",,"211","1120","1410","1432","961","254","42","6"
"12001-MALE","2001","1","MALE","177","1","302","2000","2138","1975","1168","334","43","4"
"12001-MISSING","2001","1","MISSING",,,,"3","7","5","3","1",,
