"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"72011-FEMALE","2011","7","FEMALE","33","2","142","858","747","798","798","290","41","4"
"72011-MALE","2011","7","MALE","57","2","165","1215","1083","1206","1018","333","37","7"
"72011-MISSING","2011","7","MISSING","3",,"2","13","2","4","9","2","1",
"62011-FEMALE","2011","6","FEMALE","28","1","121","875","772","886","933","354","37","7"
"62011-MALE","2011","6","MALE","55","2","149","1249","1189","1212","1065","358","57","3"
"62011-MISSING","2011","6","MISSING",,"1","3","7","7","6","5","3",,
"52011-FEMALE","2011","5","FEMALE","46",,"77","760","771","870","963","347","60","7"
"52011-MALE","2011","5","MALE","53",,"116","1049","969","1081","926","348","45","6"
"52011-MISSING","2011","5","MISSING","1",,,"9","6","3","3","6",,
"42011-FEMALE","2011","4","FEMALE","44",,"85","832","709","892","920","396","49","6"
"42011-MALE","2011","4","MALE","46","1","111","1026","1009","1165","931","340","33","4"
"42011-MISSING","2011","4","MISSING",,,"1","8","11","10","8","2","1",
"32011-FEMALE","2011","3","FEMALE","55",,"94","910","898","1042","1139","382","46","8"
"32011-MALE","2011","3","MALE","48","1","98","1066","1188","1195","1124","384","34","11"
"32011-MISSING","2011","3","MISSING","2",,,"8","5","11","12",,"1",
"22011-FEMALE","2011","2","FEMALE","52","2","80","908","824","1058","1188","408","45","6"
"22011-MALE","2011","2","MALE","61",,"101","952","1110","1261","1179","445","51","9"
"22011-MISSING","2011","2","MISSING","1",,,"12","14","7","6","4",,"1"
"12011-FEMALE","2011","1","FEMALE","35",,"76","773","836","959","1017","385","50","9"
"12011-MALE","2011","1","MALE","43",,"89","951","1110","1100","1054","351","52","12"
"12011-MISSING","2011","1","MISSING",,,"1","18","17","6","6","4",,
"122010-FEMALE","2010","12","FEMALE","31",,"98","881","793","957","972","332","51","6"
"122010-MALE","2010","12","MALE","44",,"115","941","998","1053","1024","360","52","8"
"122010-MISSING","2010","12","MISSING",,"1","1","12","16","11","11","1","1",
"112010-FEMALE","2010","11","FEMALE","33",,"92","812","772","895","938","383","50","7"
"112010-MALE","2010","11","MALE","42",,"93","920","974","996","877","314","32","7"
"112010-MISSING","2010","11","MISSING",,,"1","21","18","19","13","5",,
"102010-FEMALE","2010","10","FEMALE","43",,"100","840","830","1042","1021","356","51","4"
"102010-MALE","2010","10","MALE","48",,"136","1097","1174","1182","1007","330","38","6"
