"county","total_population_2010","est_deaf_1","est_hoh_9","est_deaf_hoh_10"
"Missouri","5988927","59889","539003","598893"
"Adair","25607","256","2305","2561"
"Andrew","17291","173","1556","1729"
"Atchison","5685","57","512","569"
"Audrain","25529","255","2298","2553"
"Barry","35597","356","3204","3560"
"Barton","12402","124","1116","1240"
"Bates","17049","170","1534","1705"
"Benton","19056","191","1715","1906"
"Bollinger","12363","124","1113","1236"
"Boone","162642","1626","14638","16264"
"Buchanan","89201","892","8028","8920"
"Butler","42794","428","3851","4279"
"Caldwell","9424","94","848","942"
"Callaway","44332","443","3990","4433"
"Camden","44002","440","3960","4400"
"Cape Girardeau","75674","757","6811","7567"
"Carroll","9295","93","837","930"
"Carter","6265","63","564","627"
"Cass","99478","995","8953","9948"
"Cedar","13982","140","1258","1398"
"Chariton","7831","78","705","783"
"Christian","77422","774","6968","7742"
"Clark","7139","71","643","714"
"Clay","221939","2219","19975","22194"
"Clinton","20743","207","1867","2074"
"Cole","75990","760","6839","7599"
"Cooper","17601","176","1584","1760"
"Crawford","24696","247","2223","2470"
"Dade","7883","79","709","788"
"Dallas","16777","168","1510","1678"
"Daviess","8433","84","759","843"
"DeKalb","12892","129","1160","1289"
"Dent","15657","157","1409","1566"
"Douglas","13684","137","1232","1368"
"Dunklin","31953","320","2876","3195"
"Franklin","101492","1015","9134","10149"
"Gasconade","15222","152","1370","1522"
"Gentry","6738","67","606","674"
"Greene","275174","2752","24766","27517"
"Grundy","10261","103","923","1026"
"Harrison","8957","90","806","896"
"Henry","22272","223","2004","2227"
"Hickory","9627","96","866","963"
"Holt","4912","49","442","491"
"Howard","10144","101","913","1014"
"Howell","40400","404","3636","4040"
"Iron","10630","106","957","1063"
"Jackson","674158","6742","60674","67416"
"Jasper","117404","1174","10566","11740"
"Jefferson","218733","2187","19686","21873"
"Johnson","52595","526","4734","5260"
"Knox","4131","41","372","413"
"Laclede","35571","356","3201","3557"
"Lafayette","33381","334","3004","3338"
"Lawrence","38634","386","3477","3863"
"Lewis","10211","102","919","1021"
"Lincoln","52566","526","4731","5257"
"Linn","12761","128","1148","1276"
"Livingston","15195","152","1368","1520"
"McDonald","23083","231","2077","2308"
"Macon","15566","156","1401","1557"
"Madison","12226","122","1100","1223"
"Maries","9176","92","826","918"
"Marion","28781","288","2590","2878"
"Mercer","3785","38","341","379"
"Miller","24748","247","2227","2475"
"Mississippi","14358","144","1292","1436"
"Moniteau","15607","156","1405","1561"
"Monroe","8840","88","796","884"
"Montgomery","12236","122","1101","1224"
"Morgan","20565","206","1851","2057"
"New Madrid","18956","190","1706","1896"
"Newton","58114","581","5230","5811"
"Nodaway","23370","234","2103","2337"
"Oregon","10881","109","979","1088"
"Osage","13878","139","1249","1388"
"Ozark","9723","97","875","972"
"Pemiscot","18296","183","1647","1830"
"Perry","18971","190","1707","1897"
"Pettis","42201","422","3798","4220"
"Phelps","45156","452","4064","4516"
"Pike","18516","185","1666","1852"
"Platte","89322","893","8039","8932"
"Polk","31137","311","2802","3114"
"Pulaski","52274","523","4705","5227"
"Putnam","4979","50","448","498"
"Ralls","10167","102","915","1017"
"Randolph","25414","254","2287","2541"
"Ray","23494","235","2114","2349"
"Reynolds","6696","67","603","670"
"Ripley","14100","141","1269","1410"
"St. Charles","360485","3605","32444","36049"
"St. Clair","9805","98","882","981"
"Ste. Genevieve","18145","181","1633","1815"
"St. Francois","65359","654","5882","6536"
"St. Louis County","998954","9990","89906","99895"
"Saline","23370","234","2103","2337"
"Schuyler","4431","44","399","443"
"Scotland","4843","48","436","484"
"Scott","39191","392","3527","3919"
"Shannon","8441","84","760","844"
"Shelby","6373","64","574","637"
"Stoddard","29968","300","2697","2997"
"Stone","32202","322","2898","3220"
"Sullivan","6714","67","604","671"
"Taney","51675","517","4651","5168"
"Texas","26008","260","2341","2601"
"Vernon","21159","212","1904","2116"
"Warren","32513","325","2926","3251"
"Washington","25195","252","2268","2520"
"Wayne","13521","135","1217","1352"
"Webster","36202","362","3258","3620"
"Worth","2171","22","195","217"
"Wright","18815","188","1693","1882"
"St. Louis City","319294","3193","28736","31929"
