"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.43996272074936 41.84582288140164)","652",,"RIVER AVE","WARDLAW AVE","RIVER AVE","DEAD END","Side","3","Pyrus calleryana","10.0","None","Lawn - No Sidewalk","14.0"
"POINT (-71.40002059783738 41.843114818540556)","49",,"FOREST ST","IVY ST","FOREST ST","LARCH ST","Side","1","Acer platanoides","19.0","Yes","Lawn Strip","3.0"
"POINT (-71.44070368100869 41.81884245332649)","60",,"VALLEY ST","VALLEY ST","DELAINE ST","SAN SOUCI DR","Front","2","Prunus virginiana 'Schubert'","2.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.44166793512959 41.82853255410592)","59",,"WISDOM AVE","WISDOM AVE","ACADEMY AVE","HURON ST","Front","1","Gleditsia triacanthos","7.0","No","Sidewalk Pit","6.0"
"POINT (-71.41721181070885 41.810116609478236)","266",,"DUDLEY ST","DUDLEY ST","PRAIRIE AVE","TANNER ST","Front","1","Fraxinus spp.","13.0","No","Sidewalk Pit","11.0"
"POINT (-71.43284480857638 41.81635473117791)","1420",,"WESTMINSTER ST","WESTMINSTER ST","PARADE ST","BRIDGHAM ST","Front","1","Gleditsia triacanthos","22.0","No","Lawn Strip","13.0"
"POINT (-71.43739752310546 41.81314948502144)","130",,"HUDSON ST","HUDSON ST","ELLERY ST","MESSER ST","Front","1","Quercus palustris","6.0","No","Sidewalk Pit","13.0"
"POINT (-71.43789138483699 41.833287122837866)","11",,"BILTMORE AVE","BILTMORE AVE","CHALKSTONE AVE","VIEW ST","Front","1","Fraxinus pennsylvanica","13.2","Yes","Lawn Strip","12.0"
"POINT (-71.39163477278431 41.825696239782005)","51",,"E GEORGE ST","E GEORGE ST","IVES ST","GANO ST","Front","1","Ulmus americana","22.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.39698568571103 41.84445367419857)","655",,"HOPE ST","SAVOY ST","MORRIS AVE","HOPE ST","Side","2","Quercus robur","4.3","No","Lawn Strip","3.0"
"POINT (-71.42176556646223 41.81227347188256)","401","Y","BROAD ST","BROAD ST","PUBLIC ST","ELMWOOD AVE","Front","5","Tilia cordata","8.0","No","Sidewalk Pit","11.0"
"POINT (-71.38817077543895 41.83184901748367)","90",,"HUMBOLDT AVE","HUMBOLDT AVE","ELTON ST","WAYLAND AVE","Front","1","Acer platanoides","16.0","Yes","Lawn Strip","2.0"
"POINT (-71.41301221869202 41.82997455250734)","100",,"SMITH ST","GASPEE ST","GASPEE ST","CANAL ST","Side","16","Acer saccharum","6.0","No","Lawn - No Sidewalk","12.0"
"POINT (-71.3923032801871 41.838640276622904)","278",,"ELMGROVE AVE","ELMGROVE AVE","DOYLE AVE","HAZARD AVE","Front","1","Acer rubrum","8.2","No","Lawn Strip","3.0"
"POINT (-71.40799854765532 41.83057026515306)","109",,"BENEFIT ST","PRATT ST","JENCKES ST","WHEATON ST","Rear","1","Acer rubrum","10.7","No","Sidewalk Pit","2.0"
"POINT (-71.45233037656836 41.80739777746025)","31",,"SHAFTER ST","SHAFTER ST","TERRACE AVE","LAUREL HILL AVE","Front","1","Pyrus calleryana","11.0","No","Sidewalk Pit","15.0"
"POINT (-71.41668750201168 41.82158037006357)","1",,"EMPIRE PLAZA","WASHINGTON ST","WALNUT ST","EMPIRE ST","Side","1","Tilia cordata","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.44766602503954 41.83044921341232)","72",,"CARLETON ST","CARLETON ST","DOVER ST","BEAUFORT ST","Front","2","Acer rubrum","4.0","No","Lawn Strip","6.0"
"POINT (-71.41684342014773 41.79924490120716)","15",,"ATLANTIC AVE","ATLANTIC AVE","BROAD ST","NIAGARA ST","Front","1","Acer rubrum","12.0","No","Sidewalk Pit","9.0"
"POINT (-71.3952368854454 41.845695003402945)","472",,"MORRIS AVE","MORRIS AVE","VASSAR AVE","WOODBURY ST","Front","1","Catalpa bignonioides","15.0","No","Lawn Strip","3.0"
"POINT (-71.42389142587498 41.80661673787994)","99",,"PEACE ST","PEACE ST","UPDIKE ST","ELMWOOD AVE","Front","1","Prunus spp.","5.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.441486215471 41.85025449598946)","749",,"ADMIRAL ST","ADMIRAL ST","HAZAEL ST","WAITE ST","Front","1","Pyrus calleryana","13.0","Yes","Sidewalk Pit","14.0"
"POINT (-71.42170178535251 41.80278871292473)","74","N","STANWOOD ST","STANWOOD ST","HAMILTON ST","NIAGARA ST","Front","1","Prunus serrulata 'Kwanzan'","2.0","Yes","Lawn Strip","9.0"
"POINT (-71.41434150174867 41.82467927101456)","1","Y","EDDY ST","EDDY ST","DORRANCE ST","WORCESTER ST","Front","1","Pyrus calleryana","8.0","No","Sidewalk Pit","1.0"
"POINT (-71.39946538794298 41.84851725174231)","44",,"EDGEHILL RD","EDGEHILL RD","CAMP ST","SUMMIT AVE","Front","1","Malus spp","6.0","Yes","Lawn Strip","3.0"
"POINT (-71.39790674726083 41.844817333691715)","33",,"HART ST","HART ST","FIRGLADE AVE","HOPE ST","Front","1","Ginkgo biloba","1.5","No","Lawn Strip","3.0"
"POINT (-71.40311185109935 41.84978697314077)","1075","No","N MAIN ST","N MAIN ST","MEMORIAL RD","1ST ST","Front","2","Pyrus calleryana","9.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.45425301520271 41.810992766449516)","227",,"LAUREL HILL AVE","LAUREL HILL AVE","POCASSET AVE","DORCHESTER AVE","Front","2","Prunus spp.","2.0","No","Sidewalk Pit","7.0"
"POINT (-71.40910920087624 41.790003806111535)","88",,"VERNDALE AVE","VERNDALE AVE","VERNDALE AVE","BERNARD ST","Front","1","Fraxinus pennsylvanica","12.0","No","Lawn Strip","9.0"
"POINT (-71.41199730918821 41.788903403210185)","150",,"MILLER AVE","MILLER AVE","VERNDALE AVE","BROAD ST","Front","1","Platanus x acerifolia","18.0","Yes","Lawn Strip","9.0"
"POINT (-71.44948724496001 41.82516277202432)","963",,"ATWELLS AVE","ATWELLS AVE","MT PLEASANT AVE","ERASTUS ST","Front","1","Pyrus calleryana","6.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.44714469105398 41.85013189838827)","99",,"ISABELLA AVE","FUNSTON AVE","CLOVE ST","GENTIAN AVE","Rear","2","Fraxinus pennsylvanica","9.8","No","Lawn - No Sidewalk","14.0"
"POINT (-71.44337683755043 41.83661825827647)","647",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","JUSTICE ST","MOORLAND AVE","Median","2","Prunus spp.","7.7","No","Lawn - No Sidewalk","5.0"
"POINT (-71.40688426874004 41.79315245253715)","163",,"PORTER ST","PORTER ST","OCONNOR ST","BAKER ST","Front","1","Pyrus calleryana","1.0","No","Lawn Strip","10.0"
"POINT (-71.43897633838284 41.84084768862561)","28",,"QUINCY ST","QUINCY ST","EATON ST","SMITH ST","Front","1","Zelkova serrata","7.0","No","Lawn Strip","5.0"
"POINT (-71.45006090241408 41.84582652713376)","66",,"RAVENSWOOD AVE","RAVENSWOOD AVE","GENTIAN AVE","ARDMORE AVE","Front","2","Malus spp","3.0","Yes","Lawn Strip","5.0"
"POINT (-71.4154331489775 41.82811519251437)","100",,"FRANCIS ST","FRANCIS ST","HAYES ST","MEMORIAL BLVD","Front","10","Acer rubrum","2.0","No","Lawn Strip","12.0"
"POINT (-71.43799320358552 41.80307384966417)","510",,"HUNTINGTON AVE","HUNTINGTON AVE","NINIGRET AVE","PURITAN ST","Front","2","Platanus occidentalis","20.0","None","Sidewalk Pit","8.0"
"POINT (-71.40450143666122 41.827721548114155)","45",,"PROSPECT ST","ANGELL ST","PROSPECT ST","BROWN ST","Side","2","Acer platanoides","19.0","No","Lawn Strip","2.0"
"POINT (-71.45457204270038 41.82553353668331)","1109",,"ATWELLS AVE","ATWELLS AVE","PARNELL ST","UNIT ST","Side","1","Acer saccharinum","4.0","No","Sidewalk Pit","6.0"
"POINT (-71.44470486628285 41.84737837712267)","49",,"MINK RD","MINK RD","SHARON ST","ENFIELD AVE","Front","1","Fraxinus pennsylvanica","31.0","No","Lawn Strip","14.0"
"POINT (-71.4246130639932 41.81751683107562)","955",,"WESTMINSTER ST","BATTEY ST","WESTMINSTER ST","WASHINGTON ST","Side","2","Eucommia ulmoides","3.0","No","Sidewalk Pit","13.0"
"POINT (-71.45770620393257 41.82521473916647)","22",,"EDGEMERE AVE","EDGEMERE AVE","MANTON AVE","RICHLAND ST","Front","1","Pyrus calleryana","11.0","No","Lawn Strip","6.0"
"POINT (-71.46059715438675 41.80715401441807)","26",,"SILVER LAKE AVE","SILVER LAKE AVE","PRUDENCE AVE","UNION AVE","Front","1","Fraxinus pennsylvanica","18.0","No","Sidewalk Pit","7.0"
"POINT (-71.40190639943769 41.82721088915545)","86",,"WATERMAN ST","WATERMAN ST","THAYER ST","BROWN ST","Front","1","Gleditsia triacanthos","16.0","No","Sidewalk Pit","2.0"
"POINT (-71.43857635396687 41.81321145746789)","154",,"HUDSON ST","HUDSON ST","SERVICE RD","ELLERY ST","Front","1","Celtis occidentalis","4.0","No","Lawn Strip","13.0"
"POINT (-71.4618951995519 41.80717560390744)","47",,"PRUDENCE AVE","PRUDENCE AVE","PLAINFIELD ST","SILVER LAKE AVE","Front","1","Fraxinus pennsylvanica","23.0","No","Lawn Strip","7.0"
"POINT (-71.43336649823041 41.81718931327299)","9",,"SLOCUM ST","SLOCUM ST","HARKNESS ST","ALMY ST","Front","2","Ulmus 'Homestead'","11.0","No","Lawn Strip","13.0"
"POINT (-71.43956306166156 41.834666557336014)","84",,"GROSVENOR AVE","GROSVENOR AVE","PLEASANT VALLEY PKWY","CHALKSTONE AVE","Front","1","Zelkova serrata","15.0","Yes","Sidewalk Pit","5.0"
"POINT (-71.42692346790436 41.83889277076983)","132",,"CAMDEN AVE","CHAD BROWN ST","CAMDEN AVE","MALBONE ST","Side","2","Acer rubrum","2.5","No","Sidewalk Pit","12.0"
"POINT (-71.39261770832786 41.84414845838347)","82",,"SARGENT AVE","SARGENT AVE","ELMGROVE AVE","MORRIS AVE","Front","1","Pyrus calleryana","8.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.39512564167556 41.852843643770036)","146",,"8TH ST","8TH ST","HOPE ST","SUMMIT AVE","Front","1","Tilia americana","15.0","No","Lawn Strip","3.0"
"POINT (-71.41147686550792 41.80200188125936)","199",,"OXFORD ST","OXFORD ST","OCEAN ST","HARRIET ST","Front","1","Tilia americana","2.0","No","Sidewalk Pit","10.0"
"POINT (-71.39992853144265 41.843589911945784)","120",,"FOREST ST","IVY ST","EVERGREEN ST","FOREST ST","Side","1","Acer platanoides","15.0","No","Lawn Strip","3.0"
"POINT (-71.39951178321508 41.84482701187745)","143",,"WOODBINE ST","WOODBINE ST","CAMP ST","IVY ST","Front","1","Gleditsia triacanthos","5.5","No","Lawn Strip","3.0"
"POINT (-71.39987286180043 41.85249827926621)","37","false","6TH ST","6TH ST","N MAIN ST","HIGHLAND AVE","Front","1","Zelkova serrata","12.0","No","Lawn Strip","3.0"
"POINT (-71.38846482387736 41.83870964379591)","236",,"FREEMAN PKWY","COLE AVE","UPTON AVE","FREEMAN PKWY","Side","1","Acer rubrum","25.0","Yes","Lawn Strip","2.0"
"POINT (-71.41799495451292 41.83239754595755)","125",,"HOLDEN ST","HOLDEN ST","SMITH ST","COMMON ST","Front","1","Acer rubrum","6.0","No","Sidewalk Pit","12.0"
"POINT (-71.41310085152624 41.82809315917378)","18",,"AMERICAN EXPRESS PLZ","AMERICAN EXPRESS PLZ","PARK ROW WEST","MEMORIAL BLVD","Front","1","Gleditsia triacanthos","3.0","No","Sidewalk Pit","12.0"
"POINT (-71.406114032064 41.84477910674517)","895",,"N MAIN ST","N MAIN ST","GRAND VIEW ST","EVERGREEN ST","Front","1","Pyrus calleryana","9.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.39180632022662 41.82648574841302)","40",,"PITMAN ST","PITMAN ST","IVES ST","GANO ST","Front","1","Quercus phellos","18.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.38249236929877 41.831692213174)","39",,"ORIOLE AVE","PATERSON ST","PATERSON ST","PARKSIDE RD","Side","1","Robinia pseudoacacia","4.8","Yes","Lawn Strip","2.0"
"POINT (-71.3920333591821 41.83288730946975)","40",,"IRVING AVE","TABER AVE","IRVING AVE","UNIVERSITY AVE","Side","2","Quercus palustris","43.0","No","Lawn Strip","2.0"
"POINT (-71.39567062148956 41.787497115700624)","164",,"MASSACHUSETTS AVE","MASSACHUSETTS AVE","VIRGINIA AVE","NARRAGANSETT BLVD","Front","2","Tilia spp.","2.0","No","Lawn Strip","10.0"
"POINT (-71.4261439799075 41.78735759760994)","58",,"ALEXANDER ST","ALEXANDER ST","RUTHERGLEN AVE","ROUNDS AVE","Front","1","Prunus serrulata 'Kwanzan'","12.0","Yes","Lawn Strip","8.0"
"POINT (-71.41804488214983 41.81978519386132)","77",,"DAVE GAVITT WAY","CATHEDRAL SQ","CATHEDRAL SQ","WASHINGTON ST","Side","2","Acer platanoides","20.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.45333353272893 41.82536914125395)","1069",,"ATWELLS AVE","ATWELLS AVE","DUTTON ST","PARNELL ST","Front","1","Acer rubrum","9.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.42019145632901 41.77868765607769)","29",,"SAWYER ST","SAWYER ST","ELMWOOD AVE","STAMFORD AVE","Front","2","Prunus cerasifera","1.0","No","Lawn Strip","8.0"
"POINT (-71.41244459736276 41.82309404569629)","231",,"WESTMINSTER ST","WESTMINSTER ST","EDDY ST","UNION ST","Front","1","Gleditsia triacanthos","7.0","No","Sidewalk Pit","1.0"
"POINT (-71.44140692266413 41.816221921678036)","1888",,"WESTMINSTER ST","BOUGH ST","BOUGH ST","TROY ST","Side","3","Tilia americana","7.0","No","Sidewalk Pit","15.0"
"POINT (-71.4311630635253 41.81908932128398)","402",,"BROADWAY","BROADWAY","MARSHALL ST","COURTLAND ST","Side","2","Cercidiphyllum japonicum","10.0","No","Sidewalk Pit","13.0"
"POINT (-71.40392258170762 41.852370552030415)","30",,"CONCORD ST","CONCORD ST","MATILDA ST","FROST ST","Front","1","Fraxinus pennsylvanica","9.5","No","Sidewalk Pit","3.0"
"POINT (-71.38897903670697 41.85268374054804)","624",,"BLACKSTONE BLVD","LORIMER AVE","HARTSHORN RD","BLACKSTONE BLVD","Side","1","Ginkgo biloba","14.0","Yes","Lawn Strip","3.0"
"POINT (-71.43089417207042 41.837638672650606)","38",,"PEMBROKE AVE","PEMBROKE AVE","CHAD BROWN ST","SMITH ST","Front","2","Acer rubrum","2.0","No","Lawn Strip","12.0"
