"holiday","day","date"
"New Years Day","Wednesday","2014-01-01T00:00:00.000"
"Martin Luther King Day","Monday","2014-01-20T00:00:00.000"
"President's Day","Monday","2014-02-17T00:00:00.000"
"Memorial Day","Monday","2014-05-26T00:00:00.000"
"Independence Day","Friday","2014-07-04T00:00:00.000"
"Victory Day","Monday","2014-08-11T00:00:00.000"
"Labor Day","Monday","2014-09-01T00:00:00.000"
"Columbus Day","Monday","2014-10-13T00:00:00.000"
"Election Day","Tuesday","2014-11-04T00:00:00.000"
"Veteran's Day","Tuesday","2014-11-11T00:00:00.000"
"Thanksgiving Day","Thursday","2014-11-27T00:00:00.000"
"Day after Thanksgiving","Friday","2014-11-28T00:00:00.000"
"Christmas Day","Thursday","2014-12-25T00:00:00.000"
