"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"991285","02 ISUZ","4S2DM58W024325789","366","3925.26","2000.00","1925.26","115.52","3729.00","103.76","11.76"
"SUGAR2","13 HOND","1HGCR2F32DA053168","364","13575.79","1989.00","11586.79","695.21","12897.00","654.48","40.73"
"MZ 856","15 TOYT","2T1BPRHE4FC386316","65","2500.00","355.00","2145.00","128.70","2375.00","121.20","7.50"
"TR 939","05 NISS","1N4AL11D75N905905","366","4200.00","2000.00","2200.00","132.00","3990.00","119.40","12.60"
"482385","00 NISS","JN1CA31A4YT002690","34","48.42","46.00","2.42","0.15","46.00",,"0.15"
"HH 174","14 CHEV","1GAWGRFGXE1108151","366","21000.00","2000.00","19000.00","1140.00","19950.00","1077.00","63.00"
"524776","01 CHEV","2G1WH55K819162839","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"TT 697","04 MAZD","JM1BK323541104785","366","4000.00","2000.00","2000.00","120.00","3800.00","108.00","12.00"
"477450","15 MERZ","4JGDA5HB1FA443967","291","31426.32","1590.00","29836.32","1790.18","29855.00","1695.92","94.26"
"VY 343","12 JEEP","1C4PJLAK8CW161047","366","12925.26","2000.00","10925.26","655.52","12279.00","616.76","38.76"
"IE 236","02 DODG","2B4GP44392R778776","314","2745.26","1716.00","1029.26","61.76","2608.00","53.52","8.24"
"85047","98 FORD","1FTZX18W8WNC15882","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"448820","96 CHEV","1G1BL52P5TR165445","214","307.37","292.00","15.37","0.92","292.00",,"0.92"
"26067","97 FORD","1FTHE24L1VHB13369","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"52866","14 FORD","1FTFX1EF8EKF49899","299","21812.63","1634.00","20178.63","1210.72","20722.00","1145.28","65.44"
"PCAA 4","14 FORD","2FMDK4JC7EBB33481","366","21925.26","2000.00","19925.26","1195.52","20829.00","1129.76","65.76"
"569552","14 FORD","2FMDK4JC9EBB67292","366","21925.26","2000.00","19925.26","1195.52","20829.00","1129.76","65.76"
"395827","14 FORD","2FMDK4KC5EBB51430","366","24350.53","2000.00","22350.53","1341.03","23133.00","1268.00","73.03"
"AU 631","15 FORD","2FMHK6C85FBA11516","366","25025.26","2000.00","23025.26","1381.52","23774.00","1306.44","75.08"
"LB 807","15 FORD","2FMTK4AP1FBB98245","366","30200.00","2000.00","28200.00","1692.00","28690.00","1601.40","90.60"
"CM 841","15 FORD","2FMTK4J94FBB24206","366","24574.74","2000.00","22574.74","1354.48","23346.00","1280.76","73.72"
"431027","15 FORD","2FMTK4J96FBC01142","366","24574.74","2000.00","22574.74","1354.48","23346.00","1280.76","73.72"
"GU 987","16 FORD","3FA6P0D91GR209200","366","24650.53","2000.00","22650.53","1359.03","23418.00","1285.08","73.95"
"FI 605","15 FORD","3FA6P0H74FR260519","366","15125.26","2000.00","13125.26","787.52","14369.00","742.16","45.36"
"DK 427","16 FORD","3FA6P0H77GR182383","366","17150.53","2000.00","15150.53","909.03","16293.00","857.60","51.43"
"481683","15 FORD","3FA6P0HD5FR155915","366","16374.74","2000.00","14374.74","862.48","15556.00","813.36","49.12"
"368420","15 FORD","3FA6P0K92FR230171","330","16747.37","1803.00","14944.37","896.66","15910.00","846.44","50.22"
"PV  92","16 FORD","3FA6P0LU0GR138318","366","19300.00","2000.00","17300.00","1038.00","18335.00","980.12","57.88"
"DP 609","15 FORD","3FA6P0LU7FR230234","366","18174.74","2000.00","16174.74","970.48","17266.00","915.96","54.52"
"SHERI5","16 FORD","3FA6P0T97GR120569","366","21350.53","2000.00","19350.53","1161.03","20283.00","1097.00","64.03"
"RR 300","15 LINC","3LN6L2J91FR604770","366","24125.26","2000.00","22125.26","1327.52","22919.00","1255.16","72.36"
"T  386","16 LINC","3LN6L2J94GR604909","366","28125.26","2000.00","26125.26","1567.52","26719.00","1483.16","84.36"
"FX 265","15 LINC","3LN6L2J95FR620941","366","24125.26","2000.00","22125.26","1327.52","22919.00","1255.16","72.36"
"BT  71","15 FORD","3LN6L2J96FR622987","366","24125.26","2000.00","22125.26","1327.52","22919.00","1255.16","72.36"
"CV 738","13 LINC","3LN6L2JK4DR816370","131","6765.26","716.00","6049.26","362.96","6427.00","342.68","20.28"
"9131","15 LINC","3LN6L2JK5FR603477","366","26625.26","2000.00","24625.26","1477.52","25294.00","1397.64","79.88"
"JR 428","16 LINC","3LN6L2JK7GR616183","366","30000.00","2000.00","28000.00","1680.00","28500.00","1590.00","90.00"
"DX 765","16 LINC","3LN6L2JKXGR611446","366","30000.00","2000.00","28000.00","1680.00","28500.00","1590.00","90.00"
"HD 143","15 LINC","5LMTJ2AH0FUJ30476","366","31550.53","2000.00","29550.53","1773.03","29973.00","1678.40","94.63"
"DOR  2","15 LINC","5LMTJ2AH4FUJ41125","366","31550.53","2000.00","29550.53","1773.03","29973.00","1678.40","94.63"
"2553","15 LINC","5LMTJ2AH8FUJ36784","366","31550.53","2000.00","29550.53","1773.03","29973.00","1678.40","94.63"
"D  778","15 LINC","5LMTJ2AHXFUJ14043","366","31550.53","2000.00","29550.53","1773.03","29973.00","1678.40","94.63"
"389424","15 TOYT","2T1BURHE1FC233028","366","12825.26","2000.00","10825.26","649.52","12184.00","611.04","38.48"
"KF 789","14 CHEV","1GAZG1FG1E1180001","366","21474.74","20401.00","1073.74","64.42","20401.00",,"64.42"
"81","15 CHEV","1GB3CYCG8FF515947","350","32585.26","1913.00","30672.26","1840.34","30956.00","1742.60","97.74"
"4019","11 CHEV","1GB3G3BG3B1172237","366","15650.53","2000.00","13650.53","819.03","14868.00","772.08","46.95"
"5029","15 STAR","1GB3G3BG5D1184439","366","25802.11","24512.00","1290.11","77.41","24512.00",,"77.41"
"38230","06 CHEV","1GBE5E1246F434615","91","3878.95","497.00","3381.95","202.92","3685.00","191.28","11.64"
"2496","01 MID","1GBHG31R411194044","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"57546","01 CHEV","1GBHG39RX11143720","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"22481","96 CHEV","1GBHK33J4TF017621","90","129.47","123.00","6.47","0.39","123.00",,"0.39"
"51608","94 CHEV","1GBHP32K0R3318456","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"54191","96 CHEV","1GBHP32W8T3308591","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"38134","06 CHEV","1GBJ7C1316F402257","91","3630.53","497.00","3133.53","188.01","3449.00","177.12","10.89"
"67614","07 CHEV","1GBJC34D47E184726","91","3164.21","497.00","2667.21","160.03","3006.00","150.56","9.47"
"62754","92 CHEV","1GBJC34K3NE144276","48","69.47","66.00","3.47","0.21","66.00",,"0.21"
"4805","08 CHEV","1GBJG316481213175","366","20531.58","19505.00","1026.58","61.59","19505.00",,"61.59"
"44848","00 CHEV","1GBJG31F2X1036172","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"51566","08 CHEV","1GBJG31K881122875","64","1757.89","350.00","1407.89","84.47","1670.00","79.20","5.27"
"62836","05 CHEV","1GBJK34235E184229","91","2306.32","497.00","1809.32","108.56","2191.00","101.64","6.92"
"52878","15 CHEV","1GC0CUEG0FZ514018","366","21574.74","2000.00","19574.74","1174.48","20496.00","1109.76","64.72"
"45618","15 CHEV","1GC0KUEG0FZ522090","366","25200.00","2000.00","23200.00","1392.00","23940.00","1316.40","75.60"
"45541","15 CHEV","1GC0KUEG4FZ521914","366","25200.00","2000.00","23200.00","1392.00","23940.00","1316.40","75.60"
"49369","15 CHEV","1GC0KUEG4FZ534081","366","25200.00","2000.00","23200.00","1392.00","23940.00","1316.40","75.60"
"49368","15 CHEV","1GC0KUEGXFZ126832","366","25200.00","2000.00","23200.00","1392.00","23940.00","1316.40","75.60"
"47010","04 CHEV","1GCEK19T84Z327783","366","10800.00","2000.00","8800.00","528.00","10260.00","495.60","32.40"
"33477","07 CHEV","1GCFG15X171218230","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"33337","07 CHEV","1GCFG15X171219930","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"34007","07 CHEV","1GCFG15X171222181","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"18795","07 CHEV","1GCFG15X171223122","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"64457","07 CHEV","1GCFG15X271217488","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"34008","07 CHEV","1GCFG15X371218665","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"33479","07 CHEV","1GCFG15X571217050","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
"34020","07 CHEV","1GCFG15X571219400","366","8200.00","2000.00","6200.00","372.00","7790.00","347.40","24.60"
