"department","employee_title","minimum_salary","maximum_salary"
"Archives","Archival Assistant","31769.37","31769.37"
"Archives","City Archivist","58487.34","58487.34"
"Arts, Culture & Tourism","Cultural Affairs Coordinator","55434.47","55434.47"
"Arts, Culture & Tourism","Deputy Dir.Cultural Affairs","63614.46","63614.46"
"Arts, Culture & Tourism","Production Coordinator","45091.96","45091.96"
"Board of Canvassers","Administrator for Elections","61502.35","61502.35"
"Board of Canvassers","Clerk IV","27616.13","34543.42"
"Board of Canvassers","Clerk IV / Bilingual","35275.06","35275.06"
"Board of Canvassers","Exec Secretary Bd Of Canvass","32468.07","32468.07"
"Board of Canvassers","Member-Bd Of Canvassers","21014.27","21014.27"
"Board of Canvassers","Supv.-Registrations B.O.C","41386.62","41386.62"
"Board of Canvassers","Teller","40303.9","40303.9"
"Board of Tax Assessement","Chairman Tax Assessment Board","3996","3996"
"Board of Tax Assessement","Member-Bd Tax Assessment Revw","3000","3000"
"Building Administration","Admin Asst","51596.87","51596.87"
"Building Administration","Administrative Coordinator","48552.14","48552.14"
"Building Administration","Chief Info Processor","46506.64","46506.64"
"Building Administration","Director  Inspection & Stnds","108838","108838"
"Building Administration","Permit Technician","39475.25","39475.25"
"Building Administration","Recording Secty-Bd Of Review","39469.07","39469.07"
"Building Administration","Sec Zon Bd Review","71261.55","71261.55"
"Building Administration","Senior Dept Clerk","37392.62","37392.62"
"Building Administration","Sr.Dept.Clerk/Bilingual","38817.32","38817.32"
"Building Administration","Zoning Assistant","46174.86","46174.86"
"Building Board of Review","Chairman  Bldg Bd Of Review","3000","3000"
"Building Board of Review","Member  Bldg Bd Of Review","2499.96","2499.96"
"Building Insp Struct Zoning","Apprentice Bldg Inspector I","38821.15","38821.15"
"Building Insp Struct Zoning","Building Inspector II","46174.86","46175.58"
"Building Insp Struct Zoning","Building Offical","81195.83","81195.83"
"Building Insp Struct Zoning","Chief Of Structures & Zoning","67388.59","67388.59"
"Building Insp Struct Zoning","Permit Technician","43689.46","46506.64"
"Building Insp Struct Zoning","Plan Estimator","65880.72","65881.82"
"Building Insp Struct Zoning","Supv Structures And Zoning","51952.63","51952.63"
"Bureau of Licenses","Chairman & Sec. Bd Of License","26068.22","26068.22"
"Bureau of Licenses","Commissioner  Bd Of Licenses","19139.66","19139.66"
"Bureau of Licenses","License Administrator","68971.27","68971.27"
"Bureau of Licenses","License Inspector","44810.58","44810.58"
"Bureau of Licenses","Senior License Bd Clerk","40891.4","40891.4"
"City Assesor","Administrative Aide","36591.83","36591.83"
"City Assesor","Appraiser I","44922.87","58798.74"
"City Assesor","Apprentice Appraiser","39880.19","39880.19"
"City Assesor","Cartographer","55522.92","55522.92"
"City Assesor","Certified Appraiser","58351.93","58351.93"
"City Assesor","City Assessor","98712.98","98712.98"
"City Assesor","Clerk II / Bilingual","24834.99","24834.99"
"City Assesor","Commercial Appraiser","68634.75","68634.75"
"City Assesor","Deputy Assessor","78095.83","78095.83"
"City Assesor","Motor Vehicle Appraiser","41970.47","41970.47"
"City Assesor","Reader of Deeds/Transferer","44309.9","44309.9"
"City Assesor","Secretary Bd Tax Assess Review","32732.15","32732.15"
"City Assesor","Sr.Reader of Deeds/Tranfer","50764.17","50764.17"
"City Assesor","Supervisor Tangible Tax","49913.14","49913.14"
"City Assesor","Supervsr Real Estate","51790.83","51790.83"
"City Clerk","City Clerk","85311.59","85311.59"
"City Clerk","Clerk I","27156.04","27156.04"
"City Clerk","Deputy City Clerk Second","58898.84","58898.84"
"City Clerk","Sec To Dir/City Clerk","43384.61","43384.61"
"City Clerk","Steno Reporter-City Council","51785.37","51789.56"
"City Collector","Assistant City Collector","73693.98","73693.98"
"City Collector","Chief Teller-Collector's","55520.19","55520.19"
"City Collector","City Collector","94029.75","94029.75"
"City Collector","Clerk II","24222.38","29487.46"
"City Collector","Clerk II / Bilingual","24834.81","24834.99"
"City Collector","Clerk IV","33937.18","33937.18"
"City Collector","Control Supervisor","45152.02","45152.02"
"City Collector","Deputy Tax Collector","81221.69","81221.69"
"City Collector","Tax Sale Specialist/Fiscal Off","47872.19","47872.19"
"City Collector","Teller","39471.61","40299.71"
"City Controller","Accounts Payable Clerk I","37396.62","37396.62"
"City Controller","Accounts Payable Supervisor","65881.27","65881.27"
"City Controller","Accts Payable Clerk","40298.99","49576.80"
"City ControllerScool Dept","Deputy City Controller","78093.47","78093.47"
"City ControllerScool Dept","Fiscal Officer III","56368.86","58580.16"
"City ControllerScool Dept","Payroll Clerk II","37396.62","37396.62"
"City ControllerScool Dept","Payroll Clerk III","38952.55","38952.55"
"City ControllerScool Dept","Supervisor Fiscal Office","70177.56","70177.56"
"City Council Administration","Administrative Aide/Translator","52800.75","52800.75"
"City Council Administration","Advance To City Council","45927.7","45927.7"
"City Council Administration","Chief of Staff/Council","65480.14","65480.14"
"City Council Administration","Dir Legisl Affairs /Communicat","75103.03","75103.03"
"City Council Administration","Receptionist/City Council","38757.08","38757.08"
"City Council Administration","Research Analyst-City Council","50844.43","50844.43"
"City Council Administration","Research Assistant","47380.61","47380.61"
"City Council Administration","Secretary To City Council","41824.87","41824.87"
"City Council Administration","Supervisor/City Council Office","57385.69","57385.69"
"City Council Administration","Technology Info Specialist","47872.01","47872.01"
"City Sergeant","City Sergeant","42175.33","42175.33"
"Code Enforcement","Lead Court Clerk","30586.56","30586.56"
"Code Enforcement","Limited Renewal Inspector I","36616.58","36616.58"
"Code Enforcement","Renewal Inspector I","33656.9","33656.9"
"Code Enforcement","Renewal Inspector III","46174.13","46506.82"
"Code Enforcement","Senior Dept Clerk","36616.58","36616.58"
"Commissioner Administration","Admin Assist Fiscal P Safety","77349.45","77349.45"
"Commissioner Administration","Admin Assist. Commissioner","41221.73","53364.22"
"Commissioner Administration","Chief Clerk","44315.54","47871.28"
"Commissioner Administration","Commmissioner,Public Safety","150000.76","150000.76"
"Commissioner Administration","Mgmt Info Systems/System Admin","77349.82","77349.82"
"Commissioner Administration","Senior Fiscal Officer","52302.8","52303.34"
"Communications","Admin. Assistant Crew Chief","71741.49","71741.49"
"Communications","Chief Radio Engineer","85257.33","85257.33"
"Communications","City Switchboard Oper.","39479.08","39479.08"
"Communications","Clerk II","29822.34","29822.34"
"Communications","Communications Specialist/Tech","46729.49","46729.49"
"Communications","Computer Technician","44883.28","44883.28"
"Communications","Control Center Operator","36530","52575.7"
"Communications","Deputy Director Communications","94029.21","94029.21"
"Communications","Director Of Communications","108837.82","108837.82"
"Communications","Fire Alarm Technician","59160.82","59160.82"
"Communications","Fire Department Dispatcher","65807.87","65807.87"
"Communications","Foreman  Cable Crew","65810.99","67785.74"
"Communications","Laborer","36144.37","36144.37"
