"department","employee_title","minofsalary","maxofsalary"
"Archives","City Archivist","56783.82","56783.82"
"Archives","Archival Assistant","30844.09","30844.09"
"Arts, Culture & Tourism","Production Coordinator","42925.25","42925.25"
"Arts, Culture & Tourism","Director Arts,Culture&Tourism","95797.16","95797.16"
"Arts, Culture & Tourism","Deputy Dir.Cultural Affairs","60549.58","60549.58"
"Arts, Culture & Tourism","Cultural Affairs Coordinator","53819.95","53819.95"
"Board of Canvassers","Exec Secretary Bd Of Canvass","31522.40","31522.40"
"Board of Canvassers","Member-Bd Of Canvassers","20402.2","20402.2"
"Board of Canvassers","Administrator for Elections","59711.11","59711.11"
"Board of Canvassers","Clerk IV / Bilingual","34247.67","34247.67"
"Board of Canvassers","Clerk IV","26811.69","33537.32"
"Board of Canvassers","Teller","39130","39130"
"Board of Canvassers","Supv.-Registrations B.O.C","40181.23","40181.23"
"Board of Tax Assessement","Member-Bd Tax Assessment Revw","3000","3000"
"Board of Tax Assessement","Chairman Tax Assessment Board","3996","3996"
"Building Administration","Director  Inspection & Stnds","105667.93","105667.93"
"Building Administration","Senior Dept Clerk","36303.54","36303.54"
"Building Administration","Admin Asst","50374.38","50374.38"
"Building Administration","Administrative Coordinator","47138","47138"
"Building Administration","Zoning Assistant","44829.88","44829.88"
"Building Administration","Sec Zon Bd Review","69186.03","69186.03"
"Building Administration","Permit Technician","38325.56","38325.56"
"Building Administration","Sr.Dept.Clerk/Bilingual","37686.74","37686.74"
"Building Administration","Chief Info Processor","45152.02","45152.02"
"Building Administration","Recording Secty-Bd Of Review","38319.55","38319.55"
"Building Board of Review","Chairman  Bldg Bd Of Review","3000","3000"
"Building Board of Review","Member  Bldg Bd Of Review","2499.96","2499.96"
"Building Insp Struct Zoning","Building Offical","78830.92","78830.92"
"Building Insp Struct Zoning","Permit Technician","42416.92","45152.02"
"Building Insp Struct Zoning","Apprentice Bldg Inspector I","37690.37","37690.37"
"Building Insp Struct Zoning","Building Inspector II","44829.88","44830.6"
"Building Insp Struct Zoning","Plan Estimator","63961.9","63962.99"
"Building Insp Struct Zoning","Chief Of Structures & Zoning","65425.91","65425.91"
"Building Insp Struct Zoning","Supv Structures And Zoning","50439.48","50439.48"
"Bureau of Licenses","Chairman & Sec. Bd Of License","25308.92","25308.92"
"Bureau of Licenses","Commissioner  Bd Of Licenses","18582.2","18582.2"
"Bureau of Licenses","Senior License Bd Clerk","39700.39","39700.39"
"Bureau of Licenses","License Inspector","43505.46","43505.46"
"Bureau of Licenses","License Administrator","66962.35","66962.35"
"City Assesor","Secretary Bd Tax Assess Review","31778.84","31778.84"
"City Assesor","Supervisor Tangible Tax","48459.32","48459.32"
"City Assesor","Clerk II / Bilingual","24111.72","24111.72"
"City Assesor","Reader of Deeds/Transferer","43019.34","43019.34"
"City Assesor","Cartographer","53905.67","53905.67"
"City Assesor","Commercial Appraiser","66635.66","66635.66"
"City Assesor","Apprentice Appraiser","38718.68","38718.68"
"City Assesor","Sr.Reader of Deeds/Tranfer","49285.59","49285.59"
"City Assesor","Appraiser I","43614.48","57086.12"
"City Assesor","Certified Appraiser","56652.41","56652.41"
"City Assesor","City Assessor","95837.92","95837.92"
"City Assesor","Administrative Aide","35526.04","35526.04"
"City Assesor","Motor Vehicle Appraiser","40747.98","40747.98"
"City Assesor","Supervsr Real Estate","50282.41","50282.41"
"City Assesor","Deputy Assessor","75821.2","75821.2"
"City Clerk","City Clerk","82826.74","82826.74"
"City Clerk","Sec To Dir/City Clerk","42120.99","42120.99"
"City Clerk","Deputy City Clerk Second","57183.31","57183.31"
"City Clerk","Steno Reporter-City Council","50277.14","50281.14"
"City Clerk","Clerk I","26365.07","26365.07"
"City Collector","Deputy Tax Collector","78856.05","78856.05"
"City Collector","Tax Sale Specialist/Fiscal Off","46477.89","46477.89"
"City Collector","Clerk II / Bilingual","24111.54","24111.72"
"City Collector","Clerk II","23516.95","28628.6"
"City Collector","Clerk IV","32948.73","32948.73"
"City Collector","Teller","38321.91","39126"
"City Collector","City Collector","91291.02","91291.02"
"City Collector","Assistant City Collector","71547.48","71547.48"
"City Collector","Chief Teller-Collector's","53903.12","53903.12"
"City Collector","Control Supervisor","43836.88","43836.88"
"City Controller","Accounts Payable Supervisor","63962.44","63962.44"
"City Controller","Accts Payable Clerk","39125.26","48132.81"
"City Controller","Accounts Payable Clerk I","36307.36","36307.36"
"City ControllerScool Dept","Fiscal Officer III","54727.04","56873.91"
"City ControllerScool Dept","Payroll Clerk III","37817.96","37817.96"
"City ControllerScool Dept","Payroll Clerk II","36307.36","36307.36"
"City ControllerScool Dept","Deputy City Controller","75818.83","75818.83"
"City ControllerScool Dept","Supervisor Fiscal Office","68133.52","68133.52"
"City Council Administration","Advance To City Council","44590","44590"
"City Council Administration","Research Analyst-City Council","49363.5","49363.5"
"City Council Administration","Technology Info Specialist","46477.7","46477.7"
"City Council Administration","Administrative Aide/Translator","51262.85","51262.85"
"City Council Administration","Receptionist/City Council","37628.32","37628.32"
"City Council Administration","Chief of Staff/Council","63572.95","63572.95"
"City Council Administration","Supervisor/City Council Office","55714.2","55714.2"
"City Council Administration","Dir Legisl Affairs /Communicat","72915.57","72915.57"
"City Council Administration","Research Assistant","46000.5","46000.5"
"City Council Administration","Secretary To City Council","40606.75","40606.75"
"City Sergeant","City Sergeant","40946.87","40946.87"
"Code Enforcement","Senior Dept Clerk","35550.06","35550.06"
"Code Enforcement","Limited Renewal Inspector I","35550.06","35550.06"
"Code Enforcement","Lead Court Clerk","29695.67","29695.67"
"Code Enforcement","Renewal Inspector I","32676.63","32676.63"
"Code Enforcement","Renewal Inspector III","44829.33","45152.2"
"Commissioner Administration","Commmissioner,Public Safety","150000.76","150000.76"
"Commissioner Administration","Mgmt Info Systems/System Admin","75096.84","75096.84"
"Commissioner Administration","Chief Clerk","43024.80","46476.98"
"Commissioner Administration","Admin Assist. Commissioner","40021.07","51809.94"
"Commissioner Administration","Admin Assist Fiscal P Safety","75096.47","75096.47"
"Commissioner Administration","Senior Fiscal Officer","50779.46","50780"
"Communications","Deputy Director Communications","91290.47","91290.47"
"Communications","Communications Specialist/Tech","45368.34","45368.34"
"Communications","City Switchboard Oper.","38329.19","38329.19"
"Communications","Clerk II","28953.65","28953.65"
"Communications","Admin. Assistant Crew Chief","69651.92","69651.92"
"Communications","Computer Technician","43576","43576"
