"month","misdemeanors_accused_within_90_days","in_custody_misdemeanors_accused_within_90_days","in_custody_misdemeanors_accused_within_60_days","in_custody_misdemeanors_accused_within_30_days","out_of_custody_misdemeanors_accused_within_90_days","arrestdate","cases_initiated","accusations_filed"
"Feb 2015","31.7","96.3","95.1","93.6","10","2015-02-01T00:00:00.000","1186","1113"
"Nov 2016","54.5","98","98","92.5","44.8","2016-11-01T00:00:00.000","3352","2055"
"Apr 2017","40.8","96.1","94.8","90.6","30.7","2017-04-01T00:00:00.000","3340","2490"
"Jul 2016","38.2","95.9","95.6","92.2","18.9","2016-07-01T00:00:00.000","2142","1138"
"Aug 2015","38.4","96.4","95.7","94.4","23.2","2015-08-01T00:00:00.000","2735","1448"
"Apr 2016","40.9","96.5","96.1","94.5","22.5","2016-04-01T00:00:00.000","2455","1007"
"Sep 2015","40.5","96.2","95.9","93","17.9","2015-09-01T00:00:00.000","1803","1235"
"Feb 2017","43.9","95","93.9","92.1","36.2","2017-02-01T00:00:00.000","3206","4648"
"Aug 2017","47.4","98.3","98.1","96.1","36.8","2017-08-01T00:00:00.000","1994","2751"
"Mar 2015","33.7","98.4","98.1","94.9","15.2","2015-03-01T00:00:00.000","3061","1403"
"Jan 2016","28.6","97.1","96.6","94.6","8.6","2016-01-01T00:00:00.000","1519","916"
"Apr 2015","32.9","97","95.8","93.1","11.1","2015-04-01T00:00:00.000","5105","1275"
"Nov 2017","44.6","97.5","96.8","95.1","31.8","2017-11-01T00:00:00.000","1204","1252"
"Jun 2016","43.2","93.5","93.1","90.6","26.7","2016-06-01T00:00:00.000","3017","1115"
"May 2017","43.7","99.1","97.8","92","31.6","2017-05-01T00:00:00.000","3897","2442"
"Jul 2015","42.7","96.9","96.6","96","24.3","2015-07-01T00:00:00.000","2455","1384"
"Mar 2016","35.8","91.8","90.3","89.2","21.9","2016-03-01T00:00:00.000","1854","1433"
"Mar 2017","37","96.4","95.6","93.6","26.9","2017-03-01T00:00:00.000","4130","4516"
"Oct 2015","34.9","96.2","95.2","92.8","12.3","2015-10-01T00:00:00.000","1383","1123"
"Aug 2016","42.6","95.2","93.8","87.9","23.2","2016-08-01T00:00:00.000","2238","979"
"Nov 2015","32.5","94.7","93.6","92.1","14","2015-11-01T00:00:00.000","1157","1164"
"Sep 2017","59.4","98.9","98.6","94.4","45.9","2017-09-01T00:00:00.000","1270","916"
"Sep 2016","45.7","97.2","96.2","92.3","27.8","2016-09-01T00:00:00.000","2075","1100"
"May 2015","48.6","96.3","94.7","93.1","32.6","2015-05-01T00:00:00.000","3199","991"
"Oct 2017","63.5","97.6","97.3","92.1","50.7","2017-10-01T00:00:00.000","1126","1015"
"Oct 2016","35.5","94.7","94","90.7","18.7","2016-10-01T00:00:00.000","3554","1432"
"Dec 2017","31.7","96.5","95.6","93","22.9","2017-12-01T00:00:00.000","355","630"
"Dec 2015","27.3","94.7","94.2","92.2","10.2","2015-12-01T00:00:00.000","1120","1217"
"Dec 2016","52.5","96.6","95","90.5","43.1","2016-12-01T00:00:00.000","6008","2153"
"Jan 2017","51.5","97.2","96.7","93.5","44.8","2017-01-01T00:00:00.000","3723","3105"
"Feb 2016","29","95.5","94.7","92.6","13.1","2016-02-01T00:00:00.000","1289","1238"
"Jul 2017","58.2","96.4","95.2","93.1","47.9","2017-07-01T00:00:00.000","1860","1457"
"Jan 2015","36.1","97.1","95.9","92.7","14","2015-01-01T00:00:00.000","1646","1208"
"Jun 2017","42.9","97.2","95.4","90.1","36.9","2017-06-01T00:00:00.000","3002","2544"
"May 2016","37.6","96.5","95.8","92.6","18.2","2016-05-01T00:00:00.000","2471","1106"
"Jun 2015","51.6","97.7","96.6","94.3","36.9","2015-06-01T00:00:00.000","2509","1422"
"Sep 2018","58.3","97.3","96.6","91.8","50.5","2018-09-01T00:00:00.000","801","704"
"Apr 2018","47.8","97.8","97.8","89.9","39.1","2018-04-01T00:00:00.000","4094","834"
"Jul 2018","54.5","98.6","97.9","93.6","41.2","2018-07-01T00:00:00.000","999","501"
"Nov 2018","64.4","96.4","95.2","94","43.5","2018-11-01T00:00:00.000","724","795"
"Aug 2018","37.3","96.2","94.9","85.3","30.7","2018-08-01T00:00:00.000","1210","1392"
"Jan 2018","46.2","96.1","94.1","89","35.4","2018-01-01T00:00:00.000","887","1514"
"Jun 2018","41.8","98.9","97.9","94.2","28.6","2018-06-01T00:00:00.000","707","861"
"Feb 2018","52.6","97.8","96.5","95.6","42.9","2018-02-01T00:00:00.000","870","1181"
"May 2018","48.8","97.7","96","90.3","39.8","2018-05-01T00:00:00.000","3280","809"
"Oct 2018","58.2","97.9","96.9","93.4","42.4","2018-10-01T00:00:00.000","988","1080"
"Mar 2018","45.4","97","94.9","92.9","35.7","2018-03-01T00:00:00.000","1014","1045"
