"numdays","quarter","count","offensetype"
"0 to 1","2014-01-01T00:00:00.000","383","Misdemeanor"
"2 to 7","2014-01-01T00:00:00.000","287","Misdemeanor"
"8 to 15","2014-01-01T00:00:00.000","98","Misdemeanor"
"16 to 30","2014-01-01T00:00:00.000","102","Misdemeanor"
"31 to 60","2014-01-01T00:00:00.000","59","Misdemeanor"
"61 to 90","2014-01-01T00:00:00.000","12","Misdemeanor"
"91 to 180","2014-01-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2014-02-01T00:00:00.000","353","Misdemeanor"
"2 to 7","2014-02-01T00:00:00.000","297","Misdemeanor"
"8 to 15","2014-02-01T00:00:00.000","140","Misdemeanor"
"16 to 30","2014-02-01T00:00:00.000","114","Misdemeanor"
"31 to 60","2014-02-01T00:00:00.000","60","Misdemeanor"
"61 to 90","2014-02-01T00:00:00.000","11","Misdemeanor"
"91 to 180","2014-02-01T00:00:00.000","13","Misdemeanor"
"0 to 1","2014-03-01T00:00:00.000","422","Misdemeanor"
"2 to 7","2014-03-01T00:00:00.000","272","Misdemeanor"
"8 to 15","2014-03-01T00:00:00.000","158","Misdemeanor"
"16 to 30","2014-03-01T00:00:00.000","86","Misdemeanor"
"31 to 60","2014-03-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2014-03-01T00:00:00.000","15","Misdemeanor"
"91 to 180","2014-03-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2014-04-01T00:00:00.000","379","Misdemeanor"
"2 to 7","2014-04-01T00:00:00.000","328","Misdemeanor"
"8 to 15","2014-04-01T00:00:00.000","177","Misdemeanor"
"16 to 30","2014-04-01T00:00:00.000","107","Misdemeanor"
"31 to 60","2014-04-01T00:00:00.000","52","Misdemeanor"
"61 to 90","2014-04-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2014-04-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2014-05-01T00:00:00.000","391","Misdemeanor"
"2 to 7","2014-05-01T00:00:00.000","315","Misdemeanor"
"8 to 15","2014-05-01T00:00:00.000","154","Misdemeanor"
"16 to 30","2014-05-01T00:00:00.000","120","Misdemeanor"
"31 to 60","2014-05-01T00:00:00.000","46","Misdemeanor"
"61 to 90","2014-05-01T00:00:00.000","9","Misdemeanor"
"91 to 180","2014-05-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2014-06-01T00:00:00.000","344","Misdemeanor"
"2 to 7","2014-06-01T00:00:00.000","320","Misdemeanor"
"8 to 15","2014-06-01T00:00:00.000","174","Misdemeanor"
"16 to 30","2014-06-01T00:00:00.000","110","Misdemeanor"
"31 to 60","2014-06-01T00:00:00.000","55","Misdemeanor"
"61 to 90","2014-06-01T00:00:00.000","3","Misdemeanor"
"91 to 180","2014-06-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2014-07-01T00:00:00.000","386","Misdemeanor"
"2 to 7","2014-07-01T00:00:00.000","298","Misdemeanor"
"8 to 15","2014-07-01T00:00:00.000","166","Misdemeanor"
"16 to 30","2014-07-01T00:00:00.000","129","Misdemeanor"
"31 to 60","2014-07-01T00:00:00.000","52","Misdemeanor"
"61 to 90","2014-07-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2014-07-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2014-08-01T00:00:00.000","382","Misdemeanor"
"2 to 7","2014-08-01T00:00:00.000","385","Misdemeanor"
