"month","bookings","releases"
"2018-06-01T00:00:00.000","1372","812"
"2018-07-01T00:00:00.000","2263","1663"
"2018-08-01T00:00:00.000","2268","2090"
"2018-09-01T00:00:00.000","2231","1950"
"2018-10-01T00:00:00.000","2196","2131"
"2018-11-01T00:00:00.000","1961","1963"
"2018-12-01T00:00:00.000","1879","1843"
"2019-01-01T00:00:00.000","2119","1927"
"2019-02-01T00:00:00.000","2039","1911"
"2019-03-01T00:00:00.000","2137","1965"
"2019-04-01T00:00:00.000","2050","2013"
"2019-05-01T00:00:00.000","2317","2059"
"2019-06-01T00:00:00.000","2092","1903"
"2019-07-01T00:00:00.000","2045","2085"
"2019-08-01T00:00:00.000","2193","2157"
"2019-09-01T00:00:00.000","1987","2025"
"2019-10-01T00:00:00.000","2133","2169"
"2019-11-01T00:00:00.000","1929","1987"
"2019-12-01T00:00:00.000","1868","1946"
"2020-01-01T00:00:00.000","2149","2003"
"2020-02-01T00:00:00.000","2038","1973"
"2020-03-01T00:00:00.000","1733","2006"
"2020-04-01T00:00:00.000","895","1082"
"2020-05-01T00:00:00.000","1231","1110"
"2020-06-01T00:00:00.000","773","826"
"2020-07-01T00:00:00.000","868","861"
"2020-08-01T00:00:00.000","1179","1078"
"2020-09-01T00:00:00.000","1181","1188"
"2020-10-01T00:00:00.000","1295","1225"
"2020-11-01T00:00:00.000","1088","1020"
"2020-12-01T00:00:00.000","1197","1156"
"2021-01-01T00:00:00.000","1203","1066"
"2021-02-01T00:00:00.000","1303","1234"
"2021-03-01T00:00:00.000","1602","1615"
"2021-04-01T00:00:00.000","1559","1543"
"2021-05-01T00:00:00.000","1445","1476"
"2021-06-01T00:00:00.000","1486","1525"
"2021-07-01T00:00:00.000","1545","1455"
"2021-08-01T00:00:00.000","1548","1406"
"2021-09-01T00:00:00.000","1433","1408"
"2021-10-01T00:00:00.000","1408","1432"
"2021-11-01T00:00:00.000","1350","1315"
"2021-12-01T00:00:00.000","1291","1394"
"2022-01-01T00:00:00.000","1390","1284"
"2022-02-01T00:00:00.000","1522","1474"
"2022-03-01T00:00:00.000","1769","1721"
"2022-04-01T00:00:00.000","1607","1616"
"2022-05-01T00:00:00.000","1644","1545"
