"numdays","quarter","count","offensetype"
"0 to 1","2014-01-01T00:00:00.000","133","Felony"
"2 to 7","2014-01-01T00:00:00.000","241","Felony"
"8 to 15","2014-01-01T00:00:00.000","121","Felony"
"16 to 30","2014-01-01T00:00:00.000","140","Felony"
"31 to 60","2014-01-01T00:00:00.000","139","Felony"
"61 to 90","2014-01-01T00:00:00.000","63","Felony"
"91 to 180","2014-01-01T00:00:00.000","92","Felony"
"181 to 365","2014-01-01T00:00:00.000","58","Felony"
"Over 365","2014-01-01T00:00:00.000","16","Felony"
"0 to 1","2014-02-01T00:00:00.000","163","Felony"
"2 to 7","2014-02-01T00:00:00.000","242","Felony"
"8 to 15","2014-02-01T00:00:00.000","104","Felony"
"16 to 30","2014-02-01T00:00:00.000","175","Felony"
"31 to 60","2014-02-01T00:00:00.000","177","Felony"
"61 to 90","2014-02-01T00:00:00.000","62","Felony"
"91 to 180","2014-02-01T00:00:00.000","106","Felony"
"181 to 365","2014-02-01T00:00:00.000","60","Felony"
"Over 365","2014-02-01T00:00:00.000","32","Felony"
"0 to 1","2014-03-01T00:00:00.000","174","Felony"
"2 to 7","2014-03-01T00:00:00.000","352","Felony"
"8 to 15","2014-03-01T00:00:00.000","134","Felony"
"16 to 30","2014-03-01T00:00:00.000","158","Felony"
"31 to 60","2014-03-01T00:00:00.000","153","Felony"
"61 to 90","2014-03-01T00:00:00.000","68","Felony"
"91 to 180","2014-03-01T00:00:00.000","79","Felony"
"181 to 365","2014-03-01T00:00:00.000","49","Felony"
"Over 365","2014-03-01T00:00:00.000","34","Felony"
"0 to 1","2014-04-01T00:00:00.000","154","Felony"
"2 to 7","2014-04-01T00:00:00.000","321","Felony"
"8 to 15","2014-04-01T00:00:00.000","148","Felony"
"16 to 30","2014-04-01T00:00:00.000","178","Felony"
"31 to 60","2014-04-01T00:00:00.000","171","Felony"
"61 to 90","2014-04-01T00:00:00.000","71","Felony"
"91 to 180","2014-04-01T00:00:00.000","89","Felony"
"181 to 365","2014-04-01T00:00:00.000","52","Felony"
"Over 365","2014-04-01T00:00:00.000","40","Felony"
"0 to 1","2014-05-01T00:00:00.000","165","Felony"
"2 to 7","2014-05-01T00:00:00.000","304","Felony"
"8 to 15","2014-05-01T00:00:00.000","156","Felony"
"16 to 30","2014-05-01T00:00:00.000","174","Felony"
"31 to 60","2014-05-01T00:00:00.000","192","Felony"
"61 to 90","2014-05-01T00:00:00.000","79","Felony"
"91 to 180","2014-05-01T00:00:00.000","82","Felony"
"181 to 365","2014-05-01T00:00:00.000","75","Felony"
"Over 365","2014-05-01T00:00:00.000","34","Felony"
"0 to 1","2014-06-01T00:00:00.000","147","Felony"
"2 to 7","2014-06-01T00:00:00.000","309","Felony"
"8 to 15","2014-06-01T00:00:00.000","158","Felony"
"16 to 30","2014-06-01T00:00:00.000","158","Felony"
"31 to 60","2014-06-01T00:00:00.000","185","Felony"
"61 to 90","2014-06-01T00:00:00.000","77","Felony"
"91 to 180","2014-06-01T00:00:00.000","66","Felony"
"181 to 365","2014-06-01T00:00:00.000","60","Felony"
"Over 365","2014-06-01T00:00:00.000","39","Felony"
"0 to 1","2014-07-01T00:00:00.000","160","Felony"
"2 to 7","2014-07-01T00:00:00.000","284","Felony"
"8 to 15","2014-07-01T00:00:00.000","137","Felony"
"16 to 30","2014-07-01T00:00:00.000","190","Felony"
"31 to 60","2014-07-01T00:00:00.000","191","Felony"
"61 to 90","2014-07-01T00:00:00.000","70","Felony"
"91 to 180","2014-07-01T00:00:00.000","86","Felony"
"181 to 365","2014-07-01T00:00:00.000","50","Felony"
"Over 365","2014-07-01T00:00:00.000","26","Felony"
"0 to 1","2014-08-01T00:00:00.000","164","Felony"
"2 to 7","2014-08-01T00:00:00.000","307","Felony"
"8 to 15","2014-08-01T00:00:00.000","160","Felony"
"16 to 30","2014-08-01T00:00:00.000","146","Felony"
"31 to 60","2014-08-01T00:00:00.000","228","Felony"
"61 to 90","2014-08-01T00:00:00.000","96","Felony"
"91 to 180","2014-08-01T00:00:00.000","113","Felony"
"181 to 365","2014-08-01T00:00:00.000","45","Felony"
"Over 365","2014-08-01T00:00:00.000","27","Felony"
"0 to 1","2014-09-01T00:00:00.000","178","Felony"
"2 to 7","2014-09-01T00:00:00.000","287","Felony"
"8 to 15","2014-09-01T00:00:00.000","124","Felony"
"16 to 30","2014-09-01T00:00:00.000","140","Felony"
"31 to 60","2014-09-01T00:00:00.000","177","Felony"
"61 to 90","2014-09-01T00:00:00.000","92","Felony"
"91 to 180","2014-09-01T00:00:00.000","107","Felony"
"181 to 365","2014-09-01T00:00:00.000","42","Felony"
"Over 365","2014-09-01T00:00:00.000","34","Felony"
"0 to 1","2014-10-01T00:00:00.000","156","Felony"
"2 to 7","2014-10-01T00:00:00.000","311","Felony"
"8 to 15","2014-10-01T00:00:00.000","134","Felony"
"16 to 30","2014-10-01T00:00:00.000","164","Felony"
"31 to 60","2014-10-01T00:00:00.000","174","Felony"
"61 to 90","2014-10-01T00:00:00.000","98","Felony"
"91 to 180","2014-10-01T00:00:00.000","99","Felony"
"181 to 365","2014-10-01T00:00:00.000","48","Felony"
"Over 365","2014-10-01T00:00:00.000","28","Felony"
"0 to 1","2014-11-01T00:00:00.000","94","Felony"
"2 to 7","2014-11-01T00:00:00.000","297","Felony"
"8 to 15","2014-11-01T00:00:00.000","124","Felony"
"16 to 30","2014-11-01T00:00:00.000","118","Felony"
"31 to 60","2014-11-01T00:00:00.000","160","Felony"
"61 to 90","2014-11-01T00:00:00.000","85","Felony"
"91 to 180","2014-11-01T00:00:00.000","94","Felony"
"181 to 365","2014-11-01T00:00:00.000","41","Felony"
"Over 365","2014-11-01T00:00:00.000","15","Felony"
"0 to 1","2014-12-01T00:00:00.000","126","Felony"
"2 to 7","2014-12-01T00:00:00.000","259","Felony"
"8 to 15","2014-12-01T00:00:00.000","124","Felony"
"16 to 30","2014-12-01T00:00:00.000","111","Felony"
"31 to 60","2014-12-01T00:00:00.000","123","Felony"
"61 to 90","2014-12-01T00:00:00.000","78","Felony"
"91 to 180","2014-12-01T00:00:00.000","82","Felony"
"181 to 365","2014-12-01T00:00:00.000","47","Felony"
"Over 365","2014-12-01T00:00:00.000","12","Felony"
