"incident_number","date","time","age","sex","race","last_30_days","patrolzone","patrolzonexy"
"20141249","10/31/2020","12:50","59","F","W","No","202","POINT (-73.757813044036 42.644585953194)"
"20141596","11/01/2020","01:41","23","M","B","No","207","POINT (-73.761586992056 42.663792095488)"
"20119828","09/17/2020","13:42","21","M","H","No","205","POINT (-73.751921403635 42.650620372849)"
"20119914","09/17/2020","16:42","36","F","W","No","207","POINT (-73.761586992056 42.663792095488)"
"20119838","09/17/2020","13:53","32","F","W","No","108","POINT (-73.769417826333 42.666456988125)"
"20119828","09/17/2020","13:42","18","M","B","No","205","POINT (-73.751921403635 42.650620372849)"
"20119715","09/17/2020","10:16","17","M","W","No","203","POINT (-73.781746725049 42.636101731163)"
"20120260","09/18/2020","09:57","65","M","W","No","107","POINT (-73.797970248884 42.678839726372)"
"21008033","01/20/2021","11:26","60","M","W","No","107","POINT (-73.797970248884 42.678839726372)"
"21017677","02/11/2021","18:30","50","F","A","Yes","104","POINT (-73.794458968403 42.658301503618)"
"20143025","11/04/2020","03:28","29","M","W","No","101","POINT (-73.779431578042 42.666832835593)"
"20143343","11/04/2020","17:28","47","M","B","No","202","POINT (-73.757813044036 42.644585953194)"
"20121042","09/19/2020","21:43","31","F","H","No","201","POINT (-73.763909085255 42.628714605775)"
"20120937","09/19/2020","17:02","38","M","B","No","202","POINT (-73.757813044036 42.644585953194)"
"20121042","09/19/2020","21:43","35","F","B","No","201","POINT (-73.763909085255 42.628714605775)"
"20120931","09/19/2020","16:59","60","M","B","No","205","POINT (-73.751921403635 42.650620372849)"
"20120701","09/19/2020","03:14","33","M","B","No","108","POINT (-73.769417826333 42.666456988125)"
"20121241","09/20/2020","10:23","75","F","B","No","206","POINT (-73.753308488287 42.659852974374)"
"20156249","12/04/2020","04:41","17","F","B","No","102","POINT (-73.775051594881 42.652317943495)"
"20121591","09/21/2020","02:46","20","M","B","No","101","POINT (-73.779431578042 42.666832835593)"
"20027459","02/25/2020","18:34","19","M","B","No","104","POINT (-73.794458968403 42.658301503618)"
"20122265","09/22/2020","11:44","37","F","B","No","102","POINT (-73.775051594881 42.652317943495)"
"20123765","09/25/2020","08:03","36","F","B","No","102","POINT (-73.775051594881 42.652317943495)"
"20123909","09/25/2020","12:07","58","F","W","No","102","POINT (-73.775051594881 42.652317943495)"
"20060743","05/18/2020","05:57","50","M","B","No","108","POINT (-73.769417826333 42.666456988125)"
"21003324","01/08/2021","20:02","32","M","W","No",,
"21003233","01/08/2021","16:32","27","F","B","No","101","POINT (-73.779431578042 42.666832835593)"
"21002908","01/07/2021","21:49","36","M","W","No","109","POINT (-73.785056205674 42.655440005232)"
"21002928","01/07/2021","22:54","72","M","M","No","101","POINT (-73.779431578042 42.666832835593)"
"21002552","01/07/2021","03:06","33","M","H","No","203","POINT (-73.781746725049 42.636101731163)"
"21003324","01/08/2021","20:02","26","F","W","No",,
"21002856","01/07/2021","18:30","58","M","B","No","207","POINT (-73.761586992056 42.663792095488)"
"21002970","01/08/2021","02:43","28","F","B","No","202","POINT (-73.757813044036 42.644585953194)"
"21002856","01/07/2021","18:30","28","F","W","No","207","POINT (-73.761586992056 42.663792095488)"
"21002543","01/07/2021","01:37","24","M","B","No","101","POINT (-73.779431578042 42.666832835593)"
"21003710","01/09/2021","21:50","22","F","B","No","207","POINT (-73.761586992056 42.663792095488)"
"21003611","01/09/2021","16:30","50","M","W","No","207","POINT (-73.761586992056 42.663792095488)"
"20027768","02/26/2020","13:46","36","F","B","No","209","POINT (-73.740415174498 42.666432008146)"
"20042309","03/29/2020","02:26","32","F","B","No","108","POINT (-73.769417826333 42.666456988125)"
"20042309","03/29/2020","02:26","26","F","B","No","108","POINT (-73.769417826333 42.666456988125)"
"20042317","03/29/2020","03:07","30","F","B","No","101","POINT (-73.779431578042 42.666832835593)"
"20042317","03/29/2020","03:07","26","F","B","No","101","POINT (-73.779431578042 42.666832835593)"
"20042317","03/29/2020","03:07","32","F","B","No","101","POINT (-73.779431578042 42.666832835593)"
"20060743","05/18/2020","05:57","45","F","B","No","108","POINT (-73.769417826333 42.666456988125)"
"21000404","01/01/2021","20:08","31","M","B","No","202","POINT (-73.757813044036 42.644585953194)"
"21003825","01/10/2021","09:24","28","M","B","No","209","POINT (-73.740415174498 42.666432008146)"
"21003773","01/10/2021","01:40","36","M","B","No","109","POINT (-73.785056205674 42.655440005232)"
"21003903","01/10/2021","14:55","40","M","W","No","107","POINT (-73.797970248884 42.678839726372)"
"21003753","01/10/2021","00:25","28","M","W","No","103","POINT (-73.776430210341 42.676455086247)"
"21003970","01/10/2021","18:03","31","M","B","No","207","POINT (-73.761586992056 42.663792095488)"
"20060743","05/18/2020","05:57","28","M","B","No","108","POINT (-73.769417826333 42.666456988125)"
"20094607","07/28/2020","22:33","26","F","W","No","207","POINT (-73.761586992056 42.663792095488)"
"20122077","09/22/2020","02:07","36","M","B","No","108","POINT (-73.769417826333 42.666456988125)"
"20053279","04/29/2020","08:14","55","M","B","No","101","POINT (-73.779431578042 42.666832835593)"
"20053499","04/29/2020","18:25","22","M","B","No","201","POINT (-73.763909085255 42.628714605775)"
"20037783","03/16/2020","19:58","25","M","B","No","105","POINT (-73.817050656525 42.64607074564)"
