"citation","incident","date","time","age","sex","code","code_description","day","violation_category","priority","patrolzone","patrolzone_xy","last_30_days"
"APD*0103F7C70T","22034518","2022-03-14T00:00:00.000","09:15am","80","M","112700B0I0","ONE-WAY VIOL-ROTARY ISLAND","MONDAY","All Other","5",,,"false"
"APD*0206FQT28V","22111325","2022-08-06T00:00:00.000","02:18am","27","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","SATURDAY","All Other","5",,,"true"
"APD*0301FN256V","22096582","2022-07-11T00:00:00.000","10:18am","49","F","112600A0I0","DRIVING LFT IN NO PASSING ZONE","MONDAY","All Other","5",,,"false"
"APD*0102FN2ZG1",,"2022-07-11T00:00:00.000","04:10pm","68","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","MONDAY","All Other","5",,,"false"
"APD*0302DWRTCL","21169392","2021-12-14T00:00:00.000","01:48pm","24","F","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","TUESDAY","All Other","5","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*TS03DVCFPM","21162908","2021-12-01T00:00:00.000","07:55am","26","F","03750400I0","OPER M/V W/O STOP LIGHTS","WEDNESDAY","All Other","5","107","POINT (-73.797970248884 42.678839726372)","false"
"APD*0307DVCK3G","21162928","2021-12-01T00:00:00.000","08:43am","27","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","104","POINT (-73.794458968403 42.658301503618)","false"
"APD*0307DVCNX6","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040200100I","REGIS PLATE DISPLAY VIOLATION","WEDNESDAY","All Other","5","206","POINT (-73.753308488287 42.659852974374)","false"
"APD*TS03DVCM62","21162938","2021-12-01T00:00:00.000","09:18am","22","M","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","WEDNESDAY","All Other","5",,,"false"
"APD*0307DVD6LJ","21163059","2021-12-01T00:00:00.000","01:34pm","26","M","040200100I","REGIS PLATE DISPLAY VIOLATION","WEDNESDAY","All Other","5","207","POINT (-73.761586992056 42.663792095488)","false"
"APD*0307DVCPJS","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","WEDNESDAY","All Other","5","206","POINT (-73.753308488287 42.659852974374)","false"
"APD*0216DVF37L","21163215","2021-12-01T00:00:00.000","07:00pm","25","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","WEDNESDAY","All Other","5",,,"false"
"APD*0307DVCWGZ","21163002","2021-12-01T00:00:00.000","11:18am","24","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","203","POINT (-73.781746725049 42.636101731163)","false"
"APD*0307DVCPW2","21162950","2021-12-01T00:00:00.000","09:34am","46","M","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","WEDNESDAY","All Other","5","206","POINT (-73.753308488287 42.659852974374)","false"
"APD*0307DVD6SP","21163059","2021-12-01T00:00:00.000","01:34pm","26","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","207","POINT (-73.761586992056 42.663792095488)","false"
"APD*0307DVCP6V","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040200400I","OPER MV WITH IMPROPER PLATES","WEDNESDAY","All Other","5","206","POINT (-73.753308488287 42.659852974374)","false"
"APD*0108F0PF8K","22004673","2022-01-10T00:00:00.000","10:17pm","30","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","MONDAY","All Other","5","108","POINT (-73.769417826333 42.666456988125)","false"
"APD*0999FN3T64","22096933","2022-07-11T00:00:00.000","10:48pm","51","M","116300A0I0","ILL SIGNAL - UNSAFE/FAIL TO","MONDAY","All Other","5",,,"false"
"APD*0209FGK6W3","22068447","2022-05-20T00:00:00.000","08:39pm","29","F","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","FRIDAY","All Other","5",,,"false"
"APD*0999FN3STL","22096933","2022-07-11T00:00:00.000","10:42pm","51","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","MONDAY","All Other","5",,,"false"
"APD*TS03DVGRX1","21163422","2021-12-02T00:00:00.000","08:58am","30","F","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","THURSDAY","All Other","5",,,"false"
"APD*TS03DVGZXW","21163452","2021-12-02T00:00:00.000","10:25am","35","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","THURSDAY","All Other","5",,,"false"
"APD*0305DLWXKN","21126578","2021-09-22T00:00:00.000","11:38am","33","M","118000C0I0","SPEED VIOL-SCHOOL ZONE","WEDNESDAY","SPEEDING","2","109","POINT (-73.785056205674 42.655440005232)","false"
"APD*0305DLWQPW","21126524","2021-09-22T00:00:00.000","10:10am","19","M","118000C0I0","SPEED VIOL-SCHOOL ZONE","WEDNESDAY","SPEEDING","2","109","POINT (-73.785056205674 42.655440005232)","false"
"APD*0301DLW8J1","21126451","2021-09-22T00:00:00.000","06:38am","61","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","WEDNESDAY","All Other","5",,,"false"
"APD*SS207DVJ8J","21163745","2021-12-02T00:00:00.000","07:16pm","24","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","THURSDAY","All Other","5","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*0305DLWWC6","21126569","2021-09-22T00:00:00.000","11:20am","22","M","118000C0I0","SPEED VIOL-SCHOOL ZONE","WEDNESDAY","SPEEDING","2","109","POINT (-73.785056205674 42.655440005232)","false"
"APD*SS207DVJ8J","21163745","2021-12-02T00:00:00.000","07:16pm","24","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","THURSDAY","All Other","5","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*0302DVH9D9","21163537","2021-12-02T00:00:00.000","12:51pm","85","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","THURSDAY","All Other","5","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*0302DWRT6N","21169392","2021-12-14T00:00:00.000","01:48pm","24","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","TUESDAY","All Other","5","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*0301FF0H4N",,"2022-05-06T00:00:00.000","06:47am","30","M","118000D0I0","SPEED VIOL  POSTED LIMIT","FRIDAY","SPEEDING","2",,,"false"
"APD*0209FF1WR6","22060732","2022-05-06T00:00:00.000","05:26pm","30","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","FRIDAY","All Other","5","209","POINT (-73.740415174498 42.666432008146)","false"
"APD*0302DWRVXN","21169400","2021-12-14T00:00:00.000","02:14pm","31","F","118000C0I0","SPEED VIOL-SCHOOL ZONE","TUESDAY","SPEEDING","2","208","POINT (-73.757143579235 42.675655301837)","false"
"APD*0308FKHCKR","22083610","2022-06-17T00:00:00.000","10:23am","18","M","120100A0I0","STOP/STAND/PARK VIOL HIGHWAY","FRIDAY","All Other","5",,,"false"
"APD*0104F3758W","22015874","2022-02-03T00:00:00.000","02:30pm","30","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","THURSDAY","All Other","5",,,"false"
"APD*BF7626754","22060567","2022-05-06T00:00:00.000","09:11am","63","M","1225C2A0I0","DRIVE WHILE USING MOBILE PHONE","FRIDAY","All Other","5","203","POINT (-73.781746725049 42.636101731163)","false"
"APD*0301FC32SC","22051687","2022-04-18T00:00:00.000","08:12am","39","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","MONDAY","All Other","5",,,"false"
"APD*0308FC36Q1","22051713","2022-04-18T00:00:00.000","09:10am","40","M","112800C0I0","SLOW TRAFFIC-FAIL KEEP RIGHT","MONDAY","All Other","5",,,"false"
"APD*0301FC3PHM","22051813","2022-04-18T00:00:00.000","12:52pm","25","M","1229C0300I","DRIVER/PASS W/O FRNT SEAT BELT","MONDAY","All Other","5",,,"false"
"APD*0205FKX9BB","22083933","2022-06-17T00:00:00.000","09:10pm","34","M","060001A0I0","OPER LEAVES SCENE OF PROPERTY DAMAGE ACC","FRIDAY","All Other","5","203","POINT (-73.781746725049 42.636101731163)","false"
"APD*0201F7WTDB",,"2022-03-19T00:00:00.000","01:51pm","53","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","SATURDAY","All Other","5","205","POINT (-73.751921403635 42.650620372849)","false"
"APD*BE9474861",,"2022-03-19T00:00:00.000","12:49am","38","F","03750020I0","MV LIGHTS DONT MEET STANDARDS","SATURDAY","All Other","5","205","POINT (-73.751921403635 42.650620372849)","false"
"APD*0307DSW97X","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","030600B00I","OPER MV W/O INSPECT CERTIFICAT","WEDNESDAY","All Other","5","204","POINT (-73.764880997752 42.650626996415)","false"
"APD*0172F7VDSS","22036983","2022-03-19T00:00:00.000","03:12am","54","M","11110D10I0","TRAFFIC DEVICE VIOL - PASSED RED LIGHT","SATURDAY","REDLIGHT","1","102","POINT (-73.775051594881 42.652317943495)","false"
"APD*TS03DSVXSG","21156542","2021-11-17T00:00:00.000","10:12am","27","M","117200A0I0","FAIL TO STOP-STOP SIGN","WEDNESDAY","STOPSIGN","3",,,"false"
"APD*0215FKGHTX",,"2022-06-17T00:00:00.000","03:28am","17","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","FRIDAY","All Other","5","101","POINT (-73.779431578042 42.666832835593)","false"
"APD*0307DSW6S7","21156601","2021-11-17T00:00:00.000","12:05pm","30","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5",,,"false"
"APD*0307DSW8NM","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","03750TA0I0","EQUIP VIOLATION:NO LEFT-SIDE VIEW MIRROR","WEDNESDAY","All Other","5","204","POINT (-73.764880997752 42.650626996415)","false"
"APD*0301DSW1L0","21156570","2021-11-17T00:00:00.000","10:53am","48","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2",,,"false"
"APD*0307DSVXJ5","21156538","2021-11-17T00:00:00.000","10:02am","43","M","116300A0I0","ILL SIGNAL - UNSAFE/FAIL TO","WEDNESDAY","All Other","5",,,"false"
"APD*TS03DSVQT3","21156495","2021-11-17T00:00:00.000","08:42am","35","F","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","WEDNESDAY","All Other","5",,,"false"
"APD*0307F0MRPV","22004346","2022-01-10T00:00:00.000","10:25am","68","F","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2",,,"false"
"APD*0301DSVWMZ","21156526","2021-11-17T00:00:00.000","09:51am","25","F","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5",,,"false"
"APD*CS105DLJPT","21124666","2021-09-18T00:00:00.000","11:01pm","19","M","117200A0I0","FAIL TO STOP-STOP SIGN","SATURDAY","STOPSIGN","3",,,"false"
"APD*0307DSW95S","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","WEDNESDAY","All Other","5","204","POINT (-73.764880997752 42.650626996415)","false"
"APD*0301DSW3WM","21156589","2021-11-17T00:00:00.000","11:28am","22","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","WEDNESDAY","All Other","5",,,"false"
"APD*0301DSVXPJ","21156541","2021-11-17T00:00:00.000","10:10am","18","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","WEDNESDAY","All Other","5",,,"false"
"APD*BF7626802",,"2021-11-17T00:00:00.000","09:47am","20","F","03190030I0","FAIL PRODUCE INSUR IDENT CARD","WEDNESDAY","All Other","5","107","POINT (-73.797970248884 42.678839726372)","false"
"APD*0203DXT77T",,"2021-12-24T00:00:00.000","08:07am","23","M","112800A0I0","FAILURE TO STAY IN SINGLE LANE","FRIDAY","All Other","5",,,"false"
"APD*0307DSW487","21156591","2021-11-17T00:00:00.000","11:31am","61","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","WEDNESDAY","All Other","5","207","POINT (-73.761586992056 42.663792095488)","false"
"APD*0301F0MSCC","22004354","2022-01-10T00:00:00.000","10:35am","23","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","MONDAY","All Other","5",,,"false"
"APD*0307DSW99V","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","WEDNESDAY","All Other","5","204","POINT (-73.764880997752 42.650626996415)","false"
"APD*0307DVGTDV","21163429","2021-12-02T00:00:00.000","09:17am","30","M","118000D0I0","SPEED VIOL  POSTED LIMIT","THURSDAY","SPEEDING","2",,,"false"
"APD*0999F0NRPL","22004568","2022-01-10T00:00:00.000","05:33pm","18","M","118000A0I0","SPEED VIOL-IMPRUDENT SPEED","MONDAY","SPEEDING","2",,,"false"
"APD*0301F0N5DW",,"2022-01-10T00:00:00.000","01:21pm","63","M","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2",,,"false"
"APD*HQ32F1X6Q9","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","050900200I","DRIVE MV W/O PROPER LICENSE","THURSDAY","All Other","5","207","POINT (-73.761586992056 42.663792095488)","false"
"APD*0301DSVS0M","21156503","2021-11-17T00:00:00.000","09:00am","20","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","WEDNESDAY","All Other","5",,,"false"
"APD*0307DSW91K","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","0375CIC0I0","UNSAFE TIRES","WEDNESDAY","All Other","5","204","POINT (-73.764880997752 42.650626996415)","false"
"APD*0172F7VDZD","22036983","2022-03-19T00:00:00.000","03:12am","54","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","SATURDAY","All Other","5","102","POINT (-73.775051594881 42.652317943495)","false"
