"incident_number","date","time","age","sex","race","last_30_days","neighborhoodassociation","neighborhoodxy"
"20127215","10/02/2020","08:43","55","M","B","No","Washington Square","POINT (-73.7718254949 42.6617090681)"
"20145590","11/09/2020","15:16","35","F","B","No","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"20127215","10/02/2020","08:43","53","M","B","No","Washington Square","POINT (-73.7718254949 42.6617090681)"
"20127264","10/02/2020","09:48","41","M","I","No",,
"20145729","11/09/2020","20:28","30","M","B","No","Hudson Park","POINT (-73.7660255299 42.6510030671)"
"20127572","10/02/2020","22:56","56","M","H","No","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"21008978","01/22/2021","13:04","20","M","B","No","South End","POINT (-73.7592617522 42.6392747943)"
"21008991","01/22/2021","13:41","51","F","W","No","Campus Area","POINT (-73.8190201566 42.6848032061)"
"20146016","11/10/2020","13:02","31","M","W","No","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"20127607","10/03/2020","00:44","21","M","W","No","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"21001679","01/05/2021","06:14","29","M","B","No","West Hill","POINT (-73.764844247 42.6666911887)"
"20127976","10/03/2020","20:41","65","F","W","No","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)"
"20127632","10/03/2020","01:49","21","M","W","No","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"20127632","10/03/2020","01:49","21","M","W","No","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"20127632","10/03/2020","01:49","21","M","W","No","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"21001687","01/05/2021","06:54","25","M","W","No","Park South","POINT (-73.7732191679 42.6541973756)"
"20146907","11/12/2020","12:56","25","F","W","No",,
"20128111","10/04/2020","04:45","26","M","B","No","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"20128111","10/04/2020","04:45","26","M","B","No","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"20128372","10/04/2020","19:41","31","M","B","No","West End","POINT (-73.7781040852 42.6749695802)"
"20128149","10/04/2020","08:21","58","F","W","No","West Hill","POINT (-73.764844247 42.6666911887)"
"20128056","10/04/2020","00:23","29","F","B","No","Washington Square","POINT (-73.7718254949 42.6617090681)"
"20128808","10/05/2020","18:50","62","M","W","No",,
"20146706","11/12/2020","00:24","22","M","W","No",,
"21001649","01/05/2021","03:18","24","M","B","No","West Hill","POINT (-73.764844247 42.6666911887)"
"21001646","01/05/2021","02:43","78","M","W","No","West Hill","POINT (-73.764844247 42.6666911887)"
"21009249","01/23/2021","01:14","20","M",,"No",,
