"arrestid","incident","arrestdate","arresttime","age","sex","race","ethnicity","law","crimelongid","codedescription","attempt","arresttype","last_30_days","city","state","patrolzone","patrolzonexy"
"APD*210001907","21136966","2021-10-11T00:00:00.000","09:17","45","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Complaint","false","Albany","NY","207","POINT (-73.761586992056 42.663792095488)"
"APD*220000968","21166417","2022-06-02T00:00:00.000","08:00","27","F","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Arrest Warrant","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*210001976","21135778","2021-10-19T00:00:00.000","11:00","26","M","B","N","PL","PL 220.09   01    CF4","CRIM POSS NARCO DRUG","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000967","22065151","2022-06-02T00:00:00.000","04:30","22","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220001323","22102497","2022-07-21T00:00:00.000","21:39","39","M","B","N","PL","PL 240.26   01    0V2","HARRASSMENT 2ND- PHY CONTACT","C","Complaint","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*220001481","22114083","2022-08-12T00:00:00.000","01:11","59","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","C","Crime in Progress","true","Albany","NY","201","POINT (-73.763909085255 42.628714605775)"
"APD*220000690","22052836","2022-04-20T00:00:00.000","16:11","42","M","B","H","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","false","Albany","NY","201","POINT (-73.763909085255 42.628714605775)"
"APD*220000926","22071516","2022-05-26T00:00:00.000","13:24","61","M","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Complaint","false","Albany","NY","110","POINT (-73.848687575844 42.696827302738)"
"APD*220000549","22043702","2022-04-01T00:00:00.000","22:29","35","M","B","N","PL","PL 215.50   06    AM2","FAIL TO OBEY MNDTE-JL/16,17,18A-B","C","Crime in Progress","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*220000930","22071851","2022-05-26T00:00:00.000","23:42","71","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY",,"Complaint","false","Albany","NY","105","POINT (-73.817050656525 42.64607074564)"
"APD*220000547","22026760","2022-04-01T00:00:00.000","11:00","38","M","B","N","PL","PL 160.10   01    CF2","ROBBERY 2ND/AIDED BY ANOTHER","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*210002205","21158322","2021-11-21T00:00:00.000","14:10","39","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","C","Crime in Progress","false","Albany","NY",,
"APD*220000492","21144189","2022-03-23T00:00:00.000","09:38","28","M","B","H","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220001214","19009743","2022-07-08T00:00:00.000","09:30","21","F","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Summons","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000496","22039167","2022-03-23T00:00:00.000","17:23","23","F","A","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Complaint","false","Albany","NY","102","POINT (-73.775051594881 42.652317943495)"
"APD*220000497","22039211","2022-03-23T00:00:00.000","18:52","34","F","W","N","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND","C","Crime in Progress","false","Albany","NY","108","POINT (-73.769417826333 42.666456988125)"
"APD*210002203","21158431","2021-11-21T00:00:00.000","09:45","30","M","W","N","PL","PL 220.09   01    CF4","CRIM POSS NARCO DRUG","C","Crime in Progress","false","Albany","NY","110","POINT (-73.848687575844 42.696827302738)"
"APD*220000300","21095512","2022-02-18T00:00:00.000","08:26","32","M","B","N","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Arrest Warrant","false","Albany","NY",,
"APD*220000621","22019280","2022-04-12T00:00:00.000","08:10","37","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Crime in Progress","false","Albany","NY","207","POINT (-73.761586992056 42.663792095488)"
"APD*220000619","20014639","2022-04-12T00:00:00.000","06:16","21","M","B","N","PL","PL 215.56         EF2","BAIL JUMPING 2ND DEGREE","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*210002204","21158645","2021-11-21T00:00:00.000","18:26","49","M","W","N","PL","PL 240.45   01    BM2","ENDANGER HEALTH OF OTHERS 2ND","C","Crime in Progress","false","Albany","NY","206","POINT (-73.753308488287 42.659852974374)"
"APD*220000623","22045735","2022-04-12T00:00:00.000","13:50","42","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000622","22031939","2022-04-12T00:00:00.000","10:00","61","M","H","H","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Crime in Progress","false","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*210002410","21176167","2021-12-29T00:00:00.000","18:12","24","M","B","N","PL","PL 145.05   02    EF3","CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250","C","Crime in Progress","false","Albany","NY","203","POINT (-73.781746725049 42.636101731163)"
"APD*220000928","22071720","2022-05-26T00:00:00.000","18:46","30","M","B","N","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Crime in Progress","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*210002387","21173628","2021-12-23T00:00:00.000","10:51","54","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Complaint","false","Albany","NY","107","POINT (-73.797970248884 42.678839726372)"
"APD*210001493","21115077","2021-09-01T00:00:00.000","02:40","21","F","W","N","PL","PL 220.16   12    BF3","CRIM POSS CONTR SUB/NARCO","C","Crime in Progress","false","Albany","NY","109","POINT (-73.785056205674 42.655440005232)"
"APD*210002384","21173474","2021-12-23T00:00:00.000","00:10","34","M","B","N","PL","PL 120.05   03    DF2","ASLT W/INT CAUS PH INJ TO OFF","C","Crime in Progress","false","Albany","NY","108","POINT (-73.769417826333 42.666456988125)"
"APD*220000923","22071334","2022-05-26T00:00:00.000","08:12","33","M","W","N","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST","C","Crime in Progress","false","Albany","NY","105","POINT (-73.817050656525 42.64607074564)"
"APD*220001535","22118713","2022-08-20T00:00:00.000","10:35","35","M","B","N","PL","PL 140.10   0A    BM3","CRIM TRESAPSS 3RD - ENCLSD PROP","C","Crime in Progress","true","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*210001908","21137096","2021-10-11T00:00:00.000","14:23","20","F","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Crime in Progress","false","Albany","NY","108","POINT (-73.769417826333 42.666456988125)"
"APD*220000179","22013772","2022-01-30T00:00:00.000","01:40","35","F","B","N","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Crime in Progress","false","Albany","NY","201","POINT (-73.763909085255 42.628714605775)"
"APD*220000498","22039211","2022-03-23T00:00:00.000","19:00","47","M","B","N","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND","C","Crime in Progress","false","Albany","NY","108","POINT (-73.769417826333 42.666456988125)"
"APD*220000858","22047929","2022-05-17T00:00:00.000","17:42","51","M","B","N","PL","PL 140.10   0A    BM3","CRIM TRESAPSS 3RD - ENCLSD PROP","C","Arrest Warrant","false","Albany","NY","109","POINT (-73.785056205674 42.655440005232)"
"APD*220000855","22045832","2022-05-17T00:00:00.000","11:11","20","F","B","N","PL","PL 145.05   02    EF3","CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000744","22056626","2022-04-28T00:00:00.000","12:27","40","M","W","N","PL","PL 165.50         DF3","CRIM POSS STLN PROP GREATER THAN $3000","C","Crime in Progress","false","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*220000437","22034111","2022-03-13T00:00:00.000","05:16","26","M","B","N","PL","PL 120.00         AM3","ASSAULT 3RD - SECTION","C","Complaint","false","Albany","NY","109","POINT (-73.785056205674 42.655440005232)"
"APD*220000178","22013801","2022-01-30T00:00:00.000","01:40","46","M","H","H","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Complaint","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*220000857","22066317","2022-05-17T00:00:00.000","15:10","34","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","C","Crime in Progress","false","Albany","NY","104","POINT (-73.794458968403 42.658301503618)"
"APD*220000052","20038462","2022-01-10T00:00:00.000","14:45","19","M","W","H","PL","PL 205.30         AM0","RESISTING ARREST","C","Arrest Warrant","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000969","22075192","2022-06-02T00:00:00.000","10:14","36","M","O","U","PL","PL 140.10   0A    BM3","CRIM TRESAPSS 3RD - ENCLSD PROP","C","Crime in Progress","false","Albany","NY","205","POINT (-73.751921403635 42.650620372849)"
"APD*220000749","22056793","2022-04-28T00:00:00.000","17:26","30","M","B","H","PL","PL 265.02   01    DF3","CRIM POSS WEAP","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000297","22023156","2022-02-18T00:00:00.000","02:12","50","M","W","N","PL","PL 240.45         BM2","CRIMINAL NUISANCE 2ND","C","Crime in Progress","false","Albany","NY","102","POINT (-73.775051594881 42.652317943495)"
"APD*220000750","21095512","2022-04-28T00:00:00.000","17:26","30","M","H","H","PL","PL 265.02   01    DF3","CRIM POSS WEAP","C","Complaint","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000859","22066697","2022-05-17T00:00:00.000","19:05","41","M","B","N","PL","PL 155.35         DF3","GRAND LARCENY 3 VALUE GREATER THAN $3000","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000051","22004391","2022-01-10T00:00:00.000","11:00","58","M","B","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Crime in Progress","false","Albany","NY","107","POINT (-73.797970248884 42.678839726372)"
"APD*220000235","22017948","2022-02-08T00:00:00.000","03:47","40","M","W","N","PL","PL 121.11   A     AM0","OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE","C","Crime in Progress","false","Albany","NY","108","POINT (-73.769417826333 42.666456988125)"
"APD*220000746","22056698","2022-04-28T00:00:00.000","14:32","40","M","W","N","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220001484","22114279","2022-08-12T00:00:00.000","11:10","21","F","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Complaint","true","Albany","NY","110","POINT (-73.848687575844 42.696827302738)"
"APD*220000695","21099270","2022-04-21T00:00:00.000","11:45","50","M","W","N","PL","PL 155.35   01    DF3","GRAND LARCENY 3RD DEGREE: PROPERTY VALUE EXCEEDS $3000","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220000700","22053224","2022-04-21T00:00:00.000","22:02","37","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","false","Albany","NY","102","POINT (-73.775051594881 42.652317943495)"
"APD*210001495","21040089","2021-09-01T00:00:00.000","09:00","35","M","B","U","PL","PL 160.15   01    BF1","ROB  FORC THEFT W/INJ-INCNT IND","C","Complaint","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*220000699","22053386","2022-04-21T00:00:00.000","21:15","23","M","B","N","PL","PL 120.11         BF0","ASLT POL/PEACE OFFR W/FIREARM","A","Crime in Progress","false","Albany","NY",,
"APD*220001223","22095448","2022-07-08T00:00:00.000","22:45","27","F","B","N","PL","PL 240.26   01    0V2","HARRASSMENT 2ND- PHY CONTACT","C","Crime in Progress","false","Albany","NY","203","POINT (-73.781746725049 42.636101731163)"
"APD*210001893","21136068","2021-10-09T00:00:00.000","17:41","39","F","W","N","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Crime in Progress","false","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*210002361","21171791","2021-12-19T00:00:00.000","12:24","30","F","W","H","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Crime in Progress","false","Albany","NY","204","POINT (-73.764880997752 42.650626996415)"
"APD*220000438","22034374","2022-03-13T00:00:00.000","21:15","18","M","B","N","PL","PL 165.50         DF3","CRIM POSS STLN PROP GREATER THAN $3000","C","Crime in Progress","false","Albany","NY","103","POINT (-73.776430210341 42.676455086247)"
"APD*220000182","22013681","2022-01-31T00:00:00.000","13:45","19","F","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Complaint","false","Albany","NY","109","POINT (-73.785056205674 42.655440005232)"
"APD*220000697","20153597","2022-04-21T00:00:00.000","19:19","28","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Arrest Warrant","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*210002324","21168501","2021-12-12T00:00:00.000","21:11","24","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Crime in Progress","false","Albany","NY","206","POINT (-73.753308488287 42.659852974374)"
"APD*220001036","22080100","2022-06-10T00:00:00.000","21:21","29","F","B","N","PL","PL 260.10   01    AM0","ACT IN MANNER INJUR CHILD LESS THAN 16","C","Crime in Progress","false","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*220001483","22112987","2022-08-12T00:00:00.000","11:00","42","M","B","N","PL","PL 140.25   02    CF2","BURG:W/CRI INT - DWELLING","C","Arrest Warrant","true","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*210002323","21168130","2021-12-12T00:00:00.000","00:07","33","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2",,"Order of Protection","false","Albany","NY","204","POINT (-73.764880997752 42.650626996415)"
"APD*220000929","22071634","2022-05-26T00:00:00.000","16:42","37","M","W","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Complaint","false","Albany","NY","201","POINT (-73.763909085255 42.628714605775)"
"APD*220000743","22056427","2022-04-28T00:00:00.000","01:19","30","F","W","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Order of Protection","false","Albany","NY","206","POINT (-73.753308488287 42.659852974374)"
"APD*220000548","22042582","2022-04-01T00:00:00.000","18:45","37","M","B","U","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Other","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220001321","22102387","2022-07-21T00:00:00.000","18:03","18","M","B","N","PL","PL 220.06   05    DF5","CRIM POSS CONTL SUB COCAINE","C","Crime in Progress","false","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*220000298","22023300","2022-02-18T00:00:00.000","10:14","32","M","B","N","PL","PL 220.16   07    BF3","CRIM POSS METHAMPH W/INT/SELL","C","Crime in Progress","false","Albany","NY",,
"APD*220000751","22056885","2022-04-28T00:00:00.000","20:23","30","M","O","N","PL","PL 165.40         AM5","CRIM POSSESSION STOLN PROP 5TH","C","Crime in Progress","false","Albany","NY","207","POINT (-73.761586992056 42.663792095488)"
"APD*220000495","22039150","2022-03-23T00:00:00.000","16:42","73","M","W","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Crime in Progress","false","Albany","NY","204","POINT (-73.764880997752 42.650626996415)"
"APD*220000301","22023264","2022-02-18T00:00:00.000","08:26","32","M","B","N","PL","PL 215.57         DF1","BAIL JUMPING - 1ST DEGREE","C","Crime in Progress","false","Albany","NY",,
"APD*220001486","22114560","2022-08-12T00:00:00.000","19:25","40","M","B","N","PL","PL 145.10         DF2","CRIMINAL MISCHIEF - 2ND","C","Crime in Progress","true","Albany","NY","101","POINT (-73.779431578042 42.666832835593)"
"APD*220000054","22004492","2022-01-10T00:00:00.000","15:13","54","F","W","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Crime in Progress","false","Albany","NY","110","POINT (-73.848687575844 42.696827302738)"
"APD*220000302","22023373","2022-02-18T00:00:00.000","13:18","34","F","H","H","PL","PL 120.05   03    DF2","ASLT W/INT CAUS PH INJ TO OFF","C","Crime in Progress","false","Albany","NY","202","POINT (-73.757813044036 42.644585953194)"
"APD*220001032","22079640","2022-06-10T00:00:00.000","01:47","20","M","W","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON",,"Crime in Progress","false","Albany","NY","205","POINT (-73.751921403635 42.650620372849)"
