"arrestid","incident","arrestdate","arresttime","age","sex","race","ethnicity","law","crimelongid","codedescription","attempt","arresttype","last_30_days","city","state","neighborhood","neighborhoodxy"
"APD*220000860","22066911","2022-05-18T00:00:00.000","00:54","25","M","W","N","PL","PL 140.20         DF3","BURGLARY 3RD","C","Crime in Progress","false","Albany","NY",,
"APD*210001493","21115077","2021-09-01T00:00:00.000","02:40","21","F","W","N","PL","PL 220.16   12    BF3","CRIM POSS CONTR SUB/NARCO","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*210001993","21127771","2021-10-21T00:00:00.000","17:45","41","F","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Crime in Progress","false","Albany","NY","Mansion","POINT (-73.7586477974 42.645152019)"
"APD*220000861","22065147","2022-05-18T00:00:00.000","09:42","50","M","W","N","PL","PL 130.52         AM0","FORCIBLE TOUCHING","C","Complaint","false","Albany","NY",,
"APD*220000555","22044186","2022-04-03T00:00:00.000","00:41","29","M","W","N","PL","PL 121.12         DF2","STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ","C","Crime in Progress","false","Albany","NY",,
"APD*210001911","21137445","2021-10-12T00:00:00.000","08:45","22","M","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Crime in Progress","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*210001990","21142312","2021-10-21T00:00:00.000","00:46","25","M","B","N","PL","PL 121.11   A     AM0","OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE","C","Complaint","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220001322","22102432","2022-07-21T00:00:00.000","19:24","63","M","W","N","PL","PL 245.00         BM0","PUBLIC LEWDNESS","C","Crime in Progress","false","Albany","NY",,
"APD*220001433","22111445","2022-08-07T00:00:00.000","11:19","49","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP",,"Crime in Progress","true","Albany","NY","Delaware Area","POINT (-73.7808874143 42.639906085)"
"APD*220001432","22111355","2022-08-07T00:00:00.000","05:33","33","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON",,"Order of Protection","true","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*220000506","22039646","2022-03-24T00:00:00.000","17:01","22","F","B","N","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210001752","21134116","2021-10-05T00:00:00.000","21:34","18","M","H","H","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Crime in Progress","false","Albany","NY",,
