"pais","ano","fuente_general","fuente_especifica","categoria","nombre_indicador","nivel_educativo","valor"
"ARG","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1744.2"
"ARG","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","2692.6"
"BHS","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"BHS","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"BRB","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","3157.0"
"BRB","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","3726.5"
"BLZ","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1148.4"
"BLZ","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1717.1"
"BOL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"BOL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"BRA","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","2024.1"
"BRA","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1732.4"
"CHL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","2021.9"
"CHL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","2225.3"
"COL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1546.8"
"COL","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1452.4"
"CRI","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"CRI","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"ECU","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"ECU","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"SLV","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","598.4"
"SLV","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","680.7"
"GTM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","402.0"
"GTM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","302.3"
"GUY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"GUY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"HTI","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"HTI","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"HND","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"HND","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"JAM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1179.4"
"JAM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1733.8"
"MEX","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","2251.0"
"MEX","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","2444.7"
"NIC","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","308.0"
"NIC","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","119.7"
"PAN","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"PAN","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"PRY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"PRY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"PER","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","559.5"
"PER","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","816.0"
"DOM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","634.9"
"DOM","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","453.8"
"SUR","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"SUR","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"TTO","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"TTO","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"URY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1167.7"
"URY","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1388.1"
"VEN","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"VEN","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"_LAC","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1318.9"
"_LAC","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","1395.8"
"_OECD","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","7495.0"
"_OECD","2005","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","9110.1"
"ARG","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","2075.1"
"ARG","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria","2953.7"
"BHS","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"BHS","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"BRB","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria",
"BRB","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Secundaria",
"BLZ","2006","UNESCO","UIS","Recursos Financieros","Gasto_Alumno_Nivel_PPP","Primaria","1181.9"
