"operation_number","country_name","date","transaction_type","amount","fund_code","fund_code_description","year","month","loan_number"
"AR-L1001","Argentina","2013-05-31T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2013","5","1575/OC-AR"
"AR-L1001","Argentina","2010-11-30T00:00:00.000","LOAN REPAYMENT","105509.31","ORC","Ordinary Capital","2010","11","1575/OC-AR"
"AR-L1001","Argentina","2009-05-31T00:00:00.000","LOAN REPAYMENT","49861.08","ORC","Ordinary Capital","2009","5","1575/OC-AR"
"AR-L1001","Argentina","2006-06-30T00:00:00.000","INTEREST REPAYMENT","2304.98","ORC","Ordinary Capital","2006","6","1575/OC-AR"
"AR-L1001","Argentina","2015-11-30T00:00:00.000","INTEREST REPAYMENT","30877.7","ORC","Ordinary Capital","2015","11","1575/OC-AR"
"AR-L1001","Argentina","2015-05-31T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2015","5","1575/OC-AR"
"AR-L1001","Argentina","2009-02-28T00:00:00.000","DISBURSEMENT","97958.74","ORC","Ordinary Capital","2009","2","1575/OC-AR"
"AR-L1001","Argentina","2011-11-30T00:00:00.000","LOAN REPAYMENT","136376.81","ORC","Ordinary Capital","2011","11","1575/OC-AR"
"AR-L1001","Argentina","2008-12-31T00:00:00.000","DISBURSEMENT","134043.64","ORC","Ordinary Capital","2008","12","1575/OC-AR"
"AR-L1001","Argentina","2008-07-31T00:00:00.000","DISBURSEMENT","162078.86","ORC","Ordinary Capital","2008","7","1575/OC-AR"
"AR-L1001","Argentina","2009-11-30T00:00:00.000","INTEREST REPAYMENT","12308.44","ORC","Ordinary Capital","2009","11","1575/OC-AR"
"AR-L1001","Argentina","2008-06-30T00:00:00.000","INTEREST REPAYMENT","24327.48","ORC","Ordinary Capital","2008","6","1575/OC-AR"
"AR-L1001","Argentina","2007-08-31T00:00:00.000","DISBURSEMENT","90761.79","ORC","Ordinary Capital","2007","8","1575/OC-AR"
"AR-L1001","Argentina","2015-11-30T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2015","11","1575/OC-AR"
"AR-L1001","Argentina","2006-05-31T00:00:00.000","INTEREST REPAYMENT","5036.84","ORC","Ordinary Capital","2006","5","1575/OC-AR"
"AR-L1001","Argentina","2008-11-30T00:00:00.000","LOAN REPAYMENT","42830.7","ORC","Ordinary Capital","2008","11","1575/OC-AR"
"AR-L1001","Argentina","2014-11-30T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2014","11","1575/OC-AR"
"AR-L1001","Argentina","2012-11-30T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2012","11","1575/OC-AR"
"AR-L1001","Argentina","2012-11-30T00:00:00.000","INTEREST REPAYMENT","19064.65","ORC","Ordinary Capital","2012","11","1575/OC-AR"
"AR-L1001","Argentina","2013-11-30T00:00:00.000","INTEREST REPAYMENT","36808.06","ORC","Ordinary Capital","2013","11","1575/OC-AR"
"AR-L1001","Argentina","2006-11-30T00:00:00.000","INTEREST REPAYMENT","4100.27","ORC","Ordinary Capital","2006","11","1575/OC-AR"
"AR-L1001","Argentina","2007-11-30T00:00:00.000","DISBURSEMENT","146788.94","ORC","Ordinary Capital","2007","11","1575/OC-AR"
"AR-L1001","Argentina","2009-10-31T00:00:00.000","DISBURSEMENT","94669.06","ORC","Ordinary Capital","2009","10","1575/OC-AR"
"AR-L1001","Argentina","2009-07-31T00:00:00.000","DISBURSEMENT","90999.32","ORC","Ordinary Capital","2009","7","1575/OC-AR"
"AR-L1001","Argentina","2010-08-31T00:00:00.000","DISBURSEMENT","720030","ORC","Ordinary Capital","2010","8","1575/OC-AR"
"AR-L1001","Argentina","2015-05-31T00:00:00.000","INTEREST REPAYMENT","31823.79","ORC","Ordinary Capital","2015","5","1575/OC-AR"
"AR-L1001","Argentina","2007-05-31T00:00:00.000","INTEREST REPAYMENT","19172.77","ORC","Ordinary Capital","2007","5","1575/OC-AR"
"AR-L1001","Argentina","2010-06-30T00:00:00.000","DISBURSEMENT","196095.61","ORC","Ordinary Capital","2010","6","1575/OC-AR"
"AR-L1001","Argentina","2010-11-30T00:00:00.000","DISBURSEMENT","215620.64","ORC","Ordinary Capital","2010","11","1575/OC-AR"
"AR-L1001","Argentina","2010-03-31T00:00:00.000","DISBURSEMENT","79592.86","ORC","Ordinary Capital","2010","3","1575/OC-AR"
"AR-L1001","Argentina","2011-05-31T00:00:00.000","LOAN REPAYMENT","136379.81","ORC","Ordinary Capital","2011","5","1575/OC-AR"
"AR-L1001","Argentina","2012-05-31T00:00:00.000","INTEREST REPAYMENT","23056.48","ORC","Ordinary Capital","2012","5","1575/OC-AR"
"AR-L1001","Argentina","2010-08-31T00:00:00.000","COMMITMENT","-409589.97","ORC","Ordinary Capital","2010","8","1575/OC-AR"
"AR-L1001","Argentina","2014-05-31T00:00:00.000","INTEREST REPAYMENT","34804.84","ORC","Ordinary Capital","2014","5","1575/OC-AR"
"AR-L1001","Argentina","2007-12-31T00:00:00.000","DISBURSEMENT","100317.95","ORC","Ordinary Capital","2007","12","1575/OC-AR"
"AR-L1001","Argentina","2007-10-31T00:00:00.000","DISBURSEMENT","56101.4","ORC","Ordinary Capital","2007","10","1575/OC-AR"
"AR-L1001","Argentina","2012-05-31T00:00:00.000","LOAN REPAYMENT","136213.04","ORC","Ordinary Capital","2012","5","1575/OC-AR"
"AR-L1001","Argentina","2008-01-31T00:00:00.000","DISBURSEMENT","162863.55","ORC","Ordinary Capital","2008","1","1575/OC-AR"
"AR-L1001","Argentina","2010-12-31T00:00:00.000","DISBURSEMENT","679623.82","ORC","Ordinary Capital","2010","12","1575/OC-AR"
"AR-L1001","Argentina","2009-05-31T00:00:00.000","INTEREST REPAYMENT","20956.77","ORC","Ordinary Capital","2009","5","1575/OC-AR"
"AR-L1001","Argentina","2010-11-30T00:00:00.000","INTEREST REPAYMENT","20047.91","ORC","Ordinary Capital","2010","11","1575/OC-AR"
"AR-L1001","Argentina","2013-11-30T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2013","11","1575/OC-AR"
"AR-L1001","Argentina","2009-05-31T00:00:00.000","DISBURSEMENT","122956.68","ORC","Ordinary Capital","2009","5","1575/OC-AR"
"AR-L1001","Argentina","2013-05-31T00:00:00.000","INTEREST REPAYMENT","33119.98","ORC","Ordinary Capital","2013","5","1575/OC-AR"
"AR-L1001","Argentina","2010-07-31T00:00:00.000","DISBURSEMENT","192172.95","ORC","Ordinary Capital","2010","7","1575/OC-AR"
"AR-L1001","Argentina","2005-11-30T00:00:00.000","DISBURSEMENT","240000","ORC","Ordinary Capital","2005","11","1575/OC-AR"
"AR-L1001","Argentina","2012-02-29T00:00:00.000","COMMITMENT","-116665.02","ORC","Ordinary Capital","2012","2","1575/OC-AR"
"AR-L1001","Argentina","2006-09-30T00:00:00.000","DISBURSEMENT","167307.59","ORC","Ordinary Capital","2006","9","1575/OC-AR"
"AR-L1001","Argentina","2009-12-31T00:00:00.000","DISBURSEMENT","198321.43","ORC","Ordinary Capital","2009","12","1575/OC-AR"
"AR-L1001","Argentina","2014-11-30T00:00:00.000","INTEREST REPAYMENT","33866.67","ORC","Ordinary Capital","2014","11","1575/OC-AR"
"AR-L1001","Argentina","2009-11-30T00:00:00.000","LOAN REPAYMENT","56547.2","ORC","Ordinary Capital","2009","11","1575/OC-AR"
"AR-L1001","Argentina","2011-05-31T00:00:00.000","INTEREST REPAYMENT","21420.99","ORC","Ordinary Capital","2011","5","1575/OC-AR"
"AR-L1001","Argentina","2008-04-30T00:00:00.000","DISBURSEMENT","104358.03","ORC","Ordinary Capital","2008","4","1575/OC-AR"
"AR-L1001","Argentina","2011-11-30T00:00:00.000","INTEREST REPAYMENT","20636.62","ORC","Ordinary Capital","2011","11","1575/OC-AR"
"AR-L1001","Argentina","2011-12-31T00:00:00.000","DISBURSEMENT","-4583.69","ORC","Ordinary Capital","2011","12","1575/OC-AR"
"AR-L1001","Argentina","2014-05-31T00:00:00.000","LOAN REPAYMENT","136210.04","ORC","Ordinary Capital","2014","5","1575/OC-AR"
"AR-L1001","Argentina","2010-05-31T00:00:00.000","INTEREST REPAYMENT","12597.91","ORC","Ordinary Capital","2010","5","1575/OC-AR"
"AR-L1001","Argentina","2006-11-30T00:00:00.000","DISBURSEMENT","225665.84","ORC","Ordinary Capital","2006","11","1575/OC-AR"
"AR-L1001","Argentina","2008-11-30T00:00:00.000","INTEREST REPAYMENT","17177.57","ORC","Ordinary Capital","2008","11","1575/OC-AR"
"AR-L1001","Argentina","2004-09-30T00:00:00.000","COMMITMENT","4800000","ORC","Ordinary Capital","2004","9","1575/OC-AR"
"AR-L1001","Argentina","2010-05-31T00:00:00.000","LOAN REPAYMENT","68566.02","ORC","Ordinary Capital","2010","5","1575/OC-AR"
"AR-L1001","Argentina","2007-11-30T00:00:00.000","INTEREST REPAYMENT","18369.6","ORC","Ordinary Capital","2007","11","1575/OC-AR"
"AR-L1002","Argentina","2012-08-31T00:00:00.000","INTEREST REPAYMENT","90308.66","ORC","Ordinary Capital","2012","8","1588/OC-AR"
"AR-L1002","Argentina","2007-07-31T00:00:00.000","DISBURSEMENT","263624.62","ORC","Ordinary Capital","2007","7","1588/OC-AR"
"AR-L1002","Argentina","2009-02-28T00:00:00.000","INTEREST REPAYMENT","66475.23","ORC","Ordinary Capital","2009","2","1588/OC-AR"
"AR-L1002","Argentina","2010-03-31T00:00:00.000","DISBURSEMENT","464540.85","ORC","Ordinary Capital","2010","3","1588/OC-AR"
"AR-L1002","Argentina","2013-02-28T00:00:00.000","LOAN REPAYMENT","604995.98","ORC","Ordinary Capital","2013","2","1588/OC-AR"
"AR-L1002","Argentina","2009-08-31T00:00:00.000","DISBURSEMENT","493617.8","ORC","Ordinary Capital","2009","8","1588/OC-AR"
"AR-L1002","Argentina","2009-07-31T00:00:00.000","DISBURSEMENT","143494.23","ORC","Ordinary Capital","2009","7","1588/OC-AR"
"AR-L1002","Argentina","2014-02-28T00:00:00.000","INTEREST REPAYMENT","160803.04","ORC","Ordinary Capital","2014","2","1588/OC-AR"
"AR-L1002","Argentina","2011-03-31T00:00:00.000","DISBURSEMENT","419341.77","ORC","Ordinary Capital","2011","3","1588/OC-AR"
"AR-L1002","Argentina","2006-08-31T00:00:00.000","INTEREST REPAYMENT","73954.24","ORC","Ordinary Capital","2006","8","1588/OC-AR"
"AR-L1002","Argentina","2007-02-28T00:00:00.000","INTEREST REPAYMENT","77389.55","ORC","Ordinary Capital","2007","2","1588/OC-AR"
"AR-L1002","Argentina","2007-08-31T00:00:00.000","INTEREST REPAYMENT","69802.64","ORC","Ordinary Capital","2007","8","1588/OC-AR"
"AR-L1002","Argentina","2004-11-30T00:00:00.000","COMMITMENT","18000000","ORC","Ordinary Capital","2004","11","1588/OC-AR"
"AR-L1002","Argentina","2008-02-29T00:00:00.000","INTEREST REPAYMENT","80620.54","ORC","Ordinary Capital","2008","2","1588/OC-AR"
"AR-L1002","Argentina","2008-12-31T00:00:00.000","DISBURSEMENT","720829.14","ORC","Ordinary Capital","2008","12","1588/OC-AR"
"AR-L1002","Argentina","2011-02-28T00:00:00.000","INTEREST REPAYMENT","106166.27","ORC","Ordinary Capital","2011","2","1588/OC-AR"
"AR-L1002","Argentina","2013-08-31T00:00:00.000","INTEREST REPAYMENT","169984.48","ORC","Ordinary Capital","2013","8","1588/OC-AR"
"AR-L1002","Argentina","2010-05-31T00:00:00.000","DISBURSEMENT","1590560.11","ORC","Ordinary Capital","2010","5","1588/OC-AR"
"AR-L1002","Argentina","2013-08-31T00:00:00.000","LOAN REPAYMENT","604995.98","ORC","Ordinary Capital","2013","8","1588/OC-AR"
"AR-L1002","Argentina","2006-03-31T00:00:00.000","DISBURSEMENT","1324611.31","ORC","Ordinary Capital","2006","3","1588/OC-AR"
"AR-L1002","Argentina","2012-02-29T00:00:00.000","INTEREST REPAYMENT","98858.99","ORC","Ordinary Capital","2012","2","1588/OC-AR"
"AR-L1002","Argentina","2014-08-31T00:00:00.000","LOAN REPAYMENT","604995.98","ORC","Ordinary Capital","2014","8","1588/OC-AR"
"AR-L1002","Argentina","2007-12-31T00:00:00.000","DISBURSEMENT","192596.06","ORC","Ordinary Capital","2007","12","1588/OC-AR"
