"countryname","ifs","year","system","yrsoffc","finittrm","yrcurnt","multpl","military","defmin","percent1","percentl","prtyin","execme","execrlc","execnat","execrurl","execreg","execrel","execage","allhouse","nonchief","totalseats","gov1me","gov1seat","gov1vote","gov1rlc","gov1nat","gov1rurl","gov1reg","gov1rel","gov1age","gov2me","gov2seat","gov2vote","gov2rlc","gov2nat","gov2rurl","gov2reg","gov2rel","gov2age","gov3me","gov3seat","gov3vote","gov3rlc","gov3nat","gov3rurl","gov3reg","gov3rel","gov3age","govoth","govothst","govothvt","opp1me","opp1seat","opp1vote","opp1rlc","opp1nat","opp1rurl","opp1reg","opp1rel","opp1age","opp2me","opp2seat","opp2vote","opp3me","opp3seat","opp3vote","oppoth","oppothst","oppothvt","ulprty","numul","ulvote","oppmajh","oppmajs","dateleg","dateexec","legelec","exelec","liec","eiec","mdmh","mdms","ssh","pluralty","pr","housesys","thresh","dhondt","cl","select","fraud","auton","muni","author","stconst","gwno","location_1"
"Comoro Is.","COM","1993","0","3","1","3","1","0","-999","55.3","-999","-999","independent","0","0","0","0","3",,,"-999","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-999","0","0","-999","-999","12","-999","1","0","6","6",,"-999","-999",,,"-999","-999",,,,"1","0",,"1","-999","581","
, 1 "
"Kyrgyzstan","KGZ","2000","0","10","1","0","1","0","1","71.599999999999994","-999","10","KDM","1","0","0","0","0",,"-999",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-999","3","10","1","1","6.5","7","0.8","1",,"1","1","-999","-999","-999","-999",,"-999","-999","1","-999","-999","703","
, 1 "
"Pakistan","PAK","1975","2","3","1","3","1","0","0","-999","-999","3","PPP","3","0","0","0","0","8",,,"0","PPP",,,"3","0","0","0","0","8","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0",,,,,,,,,,,,,,,,,,,"-999","0","0","0",,"-999","-999","0","0","6","6",,"16","0.24",,,,"0",,,,"0","1",,,"1","770",
"Latvia","LVA","2011","2","2","1",,"1","0","0","-999","-999","2","JL","1","0","0","0","0","9","0",,"100","UNITY","33",,"0","0","0","0","0","1","ZZS","22",,"2","0","1","0","0","9","TB/LNNK","8",,"1","1","0","0","0","14","0","0","0","SC","29",,"0","0","0","0","0","6","LPP-LC","8",,"NA","0",,"0","0","0","0","0","0","0","-999","9","-999","1","0","7","7","20","-999","-999","1","1","0","5","0","0",,"0","0",,,"-999","367",
"Cameroon","CMR","2000","0","18","1","4","1","0","0","92.57","-999","34","CPDM","0","0","0","0","0","34","1","-999","173","CPDM","109",,"0","0","0","0","0","34","MDR","1",,"0","0","0","1","0","8","UPC","1",,"3","-999","-999","-999","-999","52","0","0","0","SDF","43",,"3","0","0","0","0","10","UNDP","13",,"UDC","5",,"0","0","0","1","1",,"0","-999","-999","-999","0","0","7","6",,"-999","-999","1","0","1","-999","-999","0",,"1","0",,,,"471","
, 0 "
"Cameroon","CMR","2013","0","31","1","5","1","0","0","77.989999999999995","-999","47","RDPC","0","0","0","0","0","47","1","-999","163","RDPC","140",,"0","0","0","0","0","47","UNDP","4",,"0","0","0","0","0","22","NA",,,,,,,,,,,,"SDF","14",,"3","0","0","0","0","23","UDC","5",,"MP","1",,"0","0","0","0","0","0","0","-999","9","-999","1","0",,,"3.1","-999","-999","1","1","1","5","-999","0",,"1","0",,,"-999","471","
, 0 "
"Ecuador","ECU","1992","0","4","1","0","0","0","1","20","46","4","ID","3","0","0","0","0","15","0","-999","74","ID","14",,"3","0","0","0","0","15","DP","7",,"3","0","0","0","1","15","CFP","3",,"2","0","0","0","0","46","3","5",,"PSC","16",,"1","0","0","0","0","41","PRE","13",,"PSE","8",,"3","8",,"0","0","0","0","-999","5","7","1","1","7","7","4.5","-999","-999","0","1","0",,,"1",,"0","0","2","0","-999","130","
, 0 "
"Georgia","GEO","1999","0","7","1","1","1","0","1","75","-999","7","CU","2","0","0","0","0","6","1",,"202","CU","107","23.71","2","0","0","0","0","6","NDPG","34","7.95","0","0","0","0","0","18","AGUR","31","6.84","0","0","0","0","0","5","0","0","0",,,,,,,,,,,,,,,,,,,"9","30",,"0","-999","10","-999","1","0","7","6","1","-999","-999","1","1","0","5",,"1",,"0","1",,"0","-999","372",
"Ecuador","ECU","1995","0","3","1","1","0","0","1","32.9","58","3","PUR","3","0","0","0","0","4","0","-999","77","PSC","26",,"1","0","0","0","0","44","PRE","11",,"0","0","0","0","0","13","PUR","3",,"3","0","0","0","0","4","0","0","0","ID","8",,"3","0","0","0","0","18","MPD","8",,"PCE","6",,"8","15",,"0","0","0","0","-999","-999","-999","0","0","7","7","5.6","-999","-999","0","1","0",,"1","1",,"0","0","2","0","-999","130","
, 0 "
"Kyrgyzstan","KGZ","1994","0","4","1","2","1","0","1","95","-999","4","KDM","1","0","0","0","0",,"-999",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-999","0","0",,"-999","-999","-999","0","0","3.5","5",,"1","0.67","-999","-999","-999","-999","-999","-999",,"-999","-999","-999","-999","-999","703","
, -999 "
