"pa_s","categor_a","indicador","sub_indicador","respuesta","valor","porcentaje"
"Honduras","Violencia","Violencia física hacia la pareja ",,"Nunca","269","86.50"
"Honduras","Violencia","Violencia física hacia la pareja ",,"Una vez","28","9"
"Honduras","Violencia","Violencia física hacia la pareja ",,"Más de una vez","14","4.50"
