"operation_number","document_title","iati_document_code","iati_document_code_name","language","document_link","document_type"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A02","Objectives / Purpose of activity","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A03","Intended ultimate beneficiaries","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A06","Summary information about contract","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","ARGENTINA - Programa de Fortalecimiento Institucional de la Secretaría de Política Económica  (AR-L1001) - Informe de Terminación de Proyecto","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=35968371","Project Completion Report"
"AR-L1001","Informe para Publicación_PMR-#AR-L1001-2010-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312406","Project Monitoring Report ( Public version)"
"AR-L1001","Informe para Publicación_PMR-#AR-L1001-2010-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312406","Project Monitoring Report ( Public version)"
"AR-L1001","Informe para Publicación_PMR-#AR-L1001-2010-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312406","Project Monitoring Report ( Public version)"
