"a_o","pa_s","iso","instituci_n","acronimo","n_mero_de_instituciones","ciudad","tipo_de_instituci_n_en_el","tipo_de_instituci_n_bid","tipo_de_regulaci_n","propiedad","fuente","tasa_de_cambio","patrimonio","activos","obligaciones_con_instituciones","instrumentos_de_deuda_emitidos","dep_sitos_totales","otras_fuentes_de_financiaci","utilidad_neta","gastos_operativos","costos_derivados_de_fuentes","saldo_de_cartera_bruta","provisiones","saldo_de_cartera_comercial","saldo_de_cartera_a_mediana","saldo_de_cartera_a_peque","saldo_de_cartera_de_microcr","saldo_de_cartera_de_consumo","saldo_de_cartera_de_vivienda","saldo_otro_tipo_de_cartera","saldo_de_cartera_agropecuaria","saldo_de_cartera_a_mujeres","saldo_de_cartera_a_personas","n_mero_total_de_pr_stamos","n_mero_de_pr_stamos_de_cartera","n_mero_de_pr_stamos_de_cartera_1","n_mero_de_pr_stamos_de_cartera_2","n_mero_de_pr_stamos_de_cartera_3","n_mero_de_pr_stamos_de_cartera_4","n_mero_de_pr_stamos_de_cartera_5","n_mero_de_pr_stamos_otra","n_mero_de_pr_stamos_cartera","n_mero_de_pr_stamos_cartera_1","n_mero_de_pr_stamos_cartera_2","n_mero_total_de_prestatarios","n_mero_total_de_prestatarios_1","n_mero_de_prestatarios_cartera","n_mero_de_prestatarios_cartera_1","n_mero_de_prestatarios_cartera_2","n_mero_de_prestatarios_cartera_3","n_mero_de_prestatarios_cartera_4","n_mero_de_prestatarios_otra","n_mero_de_prestatarios_cartera_5","n_mero_de_prestatarios_cartera_6","n_mero_de_prestatarios_cartera_7","total_ingresos_por_intereses","ingresos_por_intereses_cartera","ingresos_por_intereses_cartera_1","ingresos_por_intereses_cartera_2","ingresos_por_intereses_cartera_3","ingresos_por_intereses_cartera_4","ingresos_por_intereses_cartera_5","ingresos_por_intereses_otra","ingresos_por_intereses_cartera_6","ingresos_por_intereses_cartera_7","ingresos_por_intereses_cartera_8","tasa_de_inter_s","tasa_de_inter_s_cartera","tasa_de_inter_s_cartera_a","tasa_de_inter_s_cartera_a_1","tasa_de_inter_s_cartera_de","tasa_de_inter_s_cartera_de_1","tasa_de_inter_s_cartera_de_2","tasa_de_inter_s_otra_cartera","tasa_de_inter_s_cartera_1","tasa_de_inter_s_cartera_2","tasa_de_inter_s_cartera_a_2","cartera_en_riesgo","cartera_en_riesgo_comercial","cartera_en_riesgo_a_mediana","cartera_en_riesgo_a_peque","cartera_en_riesgo_de_microcr","cartera_en_riesgo_de_consumo","cartera_en_riesgo_de_vivienda","cartera_en_riesgo_otra_cartera","cartera_en_riesgo_agropecuaria","cartera_en_riesgo_mujeres","cartera_en_riesgo_a_personas","dep_sitos_del_p_blico","dep_sitos_en_cuentas_simples","dep_sitos_en_cuentas_de_ahorro","dep_sitos_en_cuentas","dep_sitos_en_cuentas_a_plazo","otros_dep_sitos","dep_sitos_en_cuentas_con","n_mero_total_de_cuentas","n_mero_de_cuentas_simples","n_mero_de_cuentas_de_ahorro","n_mero_de_cuentas_corrientes","n_mero_de_cuentas_a_plazo","n_mero_de_otras_cuentas","n_mero_de_cuentas_con_saldo","n_mero_total_de_depositantes","n_mero_de_depositantes_cuentas","n_mero_de_depositantes_cuentas_1","n_mero_de_depositantes_cuentas_2","n_mero_de_depositantes_cuentas_3","n_mero_de_depositantes_otras","n_mero_de_depositantes_cuentas_4","n_mero_total_de_puntos_de","n_mero_de_oficinas","n_mero_de_cajeros_autom_ticos","n_mero_de_agentes","n_mero_de_otros_puntos_de","n_mero_de_tarjetas_d_bito","monto_de_las_transacciones","n_mero_de_tarjetas_de_cr","monto_de_las_transacciones_1"
"2005","Argentina","ARG","Abn Amro Bank N. V.","ABNAMRO","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","4562884","82185584","4516871","11763804","28013804","33243866","-2262270","6342025","2170246","26633436","728528","26403374",,,,"115031","115031",,,,,"284",,,,,,,,,,"170",,,,,,,,,,,,"3788344",,,,,,,,,,,"6",,,,,,,,,,,"2194595",,,,,,,,,,,"28466258",,"4210123","12737730","11065951","375767",,"561",,"101","385","0","75",,,,,,,,,"1","1","0",,"0","0",,"0",
"2005","Argentina","ARG","American Express Bank Ltd. S.A.","AMERICAN EXPRES","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","2162577","4846626",,,"2638037","46012","-30675","245399","0","1242331","0","1234663",,,,"7669","0",,,,,"0",,,,,,,,,,"0",,,,,,,,,,,,"99693",,,,,,,,,,,"4",,,,,,,,,,,"0",,,,,,,,,,,"2638037",,"1388037","1250000",,,,"6",,"2","4","0","0",,,,,,,,,"1","1","0",,"0","0",,"0",
"2005","Argentina","ARG","BANCO BRADESCO ARGENTINA S.A.","BRADESC","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","3857362","4907976",,,"766871","283742","61350","199387","0","3527607","0","3527607",,,,"0","0",,,,,"5",,,,,,,,,,"5",,,,,,,,,,,,"245399",,,,,,,,,,,"3",,,,,,,,,,,"0",,,,,,,,,,,"766871",,"207055","559816",,,,"28",,"0","28","0","0",,,,,,,,,"1","1","0",,"0","0",,"0",
"2005","Argentina","ARG","BANCO CMF S.A.","CFM","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","14440184","48995400","61350","260736","21173312","13059816","728528","1610430","1970859","29003068","2745399","27902606",,,,"931749","168712",,,,,"4677",,,,,,,,,,"4419",,,,,,,,,,,,"5605828",,,,,,,,,,,"13",,,,,,,,,,,"5043634",,,,,,,,,,,"20590490",,"1756135","4156442","15253068","153374",,"1475",,"926","441","53","55",,,,,,,,,"1","1","0",,"0","0",,"0",
"2005","Argentina","ARG","BANCO DE LA PAMPA SOCIEDAD DE ECONOMÍA MIXTA","LAPAMPA","1","La Pampa","Bancos Públicos","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Pública","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","14708589","106648776",,"115031","84892640","6472393","1802147","2967792","1273006","46740796","904908","31936350",,,,"10966258","3838190",,,,,"24459",,,,,,,,,,"993",,,,,,,,,,,,"5153374",,,,,,,,,,,"14",,,,,,,,,,,"1864958",,,,,,,,,,,"50529140",,"17070552","13796012","17983128","1395706",,"116189",,"100624","8488","6758","319",,,,,,,,,"158","101","52",,"5","122383",,"1438",
"2005","Argentina","ARG","BANCO DE SERVICIOS Y TRANSACCIONES S.A.","BST","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","2584356","22630368",,,"12645706","7400307","260736","1104295","636503","9240798","92025","7737730",,,,"751534","751534",,,,,"2228",,,,,,,,,,"1150",,,,,,,,,,,,"2200920",,,,,,,,,,,"16",,,,,,,,,,,"109966",,,,,,,,,,,"12960123",,"912577",,"11733129","38344",,"101",,"1","17","0","83",,,,,,,,,"1","1","0",,"0","0",,"0",
"2005","Argentina","ARG","BANCO DO BRASIL S.A.","DOBRASIL","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","5007669","7124233","536810",,"1157976","414110","-1211657","774540","23006","5889571","575153","5862730",,,,"26840","0",,,,,"94",,,,,,,,,,"58",,,,,,,,,,,,"475460",,,,,,,,,,,"6",,,,,,,,,,,"730307",,,,,,,,,,,"1211657",,"53681","1073620","30675","53681",,"382",,"155","223","3","1",,,,,,,,,"2","1","1",,"0","0",,"0",
"2005","Argentina","ARG","BANCO SUPERVIELLE S.A.","SUPERVI","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","7246933","124670248","1004601","2315951","99294480","14263804","-3282209","8174847","2967792","88167176","4562884","73071312",,,,"9516871","5578988",,,,,"59793",,,,,,,,,,"5034",,,,,,,,,,,,"9601227",,,,,,,,,,,"10",,,,,,,,,,,"9098853",,,,,,,,,,,"96219328",,"20667178","27492332","45291412","2147239",,"167753",,"116954","42652","7527","620",,,,,,,,,"178","60","117",,"1","158344",,"54603",
"2005","Argentina","ARG","BNP PARIBAS","BNP","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","6449387","46326688",,,"30268404","8481595","-759202","4332822","414110","26518404","1296012","23274540",,,,"1656442","1587423",,,,,"1959",,,,,,,,,,"254",,,,,,,,,,,,"2898773",,,,,,,,,,,"9",,,,,,,,,,,"3357230",,,,,,,,,,,"30582822",,"7707055","16457055","5981595","260736",,"20580",,"15617","4722","211","30",,,,,,,,,"43","17","26",,"0","27112",,"8288",
"2005","Argentina","ARG","Bacs Banco de Crédito Y Securitización S.A.","BACS","1","Capital Federal","Bancos Privados","Bancos","Instituciones reguladas y supervisadas por la autoridad financiera","Privada","BCRA, Sistema financiero, Consulta por tipo de Entidades","13.03999996","8174847","17216258",,,,"9049080","99693","513804","329755","1288344","7669","1234663",,,,"26840","26840",,,,,"539",,,,,,,,,,"2",,,,,,,,,,,,"782209",,,,,,,,,,,"7",,,,,,,,,,,"515",,,,,,,,,,,,,,,,,,"0",,"0","0","0","0",,,,,,,,,"1","1","0",,"0","0",,"0",
