"region","region_acro_bid","region_2","pais_extendido","extended_country","pais_acronimo","anio","anio2","ronda","var_descripcion","var_description","tipo_variable","var_type","var_categoria","var_category","var_subcategoria","var_subcategory","cobertura_geografica","rango_edad","age_range","genero","gender","zona_geografica","geographical_zone","nivel_educativo","educational_level","tam_de_firma","firm_size","quintil_ingreso_laboral","labor_income_quintile","quintil_ingreso_total","total_income_quintile","fuente_datos_original","institucion_ejecutora","institucion_ejecutora_acronimo","non_average","valor"
"ALC","CCB","CCB","Bahamas","Bahamas","BHS","2012","2012","a","Trabajadores en ocupaciones de servicios (en niveles)","Employed workers in service occupations","niveles, #","levels, #","Empleo","Employment","Grupo de ocupación","Occupational group","Nacional","Total","Total","Hombre","Men","Total","Total","Todos los niveles de escolaridad","All levels of schooling","No aplica","Do not apply","Todos","All","Todos","All","Labor Force Survey","Department of Statistics, Ministry of Finance","DSMF","0","10830.45"
"ALC","CCB","CCB","Bahamas","Bahamas","BHS","2012","2012","a","Trabajadores en ocupaciones de servicios (en niveles)","Employed workers in service occupations","niveles, #","levels, #","Empleo","Employment","Grupo de ocupación","Occupational group","Nacional","Total","Total","Mujer","Women","Total","Total","Todos los niveles de escolaridad","All levels of schooling","No aplica","Do not apply","Todos","All","Todos","All","Labor Force Survey","Department of Statistics, Ministry of Finance","DSMF","0","12615.02"
