CiudadId,Ciudad,City,Pais,Country,Lat,Long,Poblacion,Superficie,Ranking,Puntaje,PrimeraMedicionIndicadores,PrimeraMedicionEncuestas,Imagen,MostrarEnAcercaDeNosotros
CUM,Cumaná,Cumaná,Venezuela,Venezuela,10.4564,-64.1675,368204,65,,,2015,2015,https://mydata.iadb.org/views/m7ru-9336/files/SzQ_VwoL9aMkSy_uUJUqVqqttrMvChFSfDHO_ew2MJo,
PRA,Paraná,Parana,Argentina,Argentina,-31.733333,-60.533333,247863,137,,2.01,2015,2013,https://mydata.iadb.org/views/m7ru-9336/files/WvcuzHvhdRVnC6dBAtxAVugrMaGYeqiqw6Evd61o0bQ,
LHS,Las Heras,Las Heras,Argentina,Argentina,-46.55,-68.95,17821,8.8,,1.51,2014,2013,https://mydata.iadb.org/views/m7ru-9336/files/xWHABah3_UdeqAhdO559_6GXcryXTMckpGB27foGidM,
SLA,Salta,Salta,Argentina,Argentina,-24.783333,-65.416667,535303,60,,2.18,2015,2013,https://mydata.iadb.org/views/m7ru-9336/files/CeZTRFDAmFlmXOk00Y_tJ-qWFw5kO6LPVGGkV-_XFoo,
CBB,Cochabamba Metropolitana,Cochabamba Metropolitana,Bolivia,Bolivia,-17.383333,-66.166667,1536145,189.2,,1.65,2013,2012,https://mydata.iadb.org/views/m7ru-9336/files/qPTvSdhFa-yJIOcv2RqQstQRxwShod0zMLEcf9qch6s,
GIA,Goiania,Goiania,Brasil,Brazil,-16.678611,-49.253889,1300000,717,,2.26,2012,,https://mydata.iadb.org/views/m7ru-9336/files/k0oMdUVxsDsfJg9ri0c2ZlHao78zhSlJ5jxktOiFDgI,true
JPA,Joao Pessoa,Joao Pessoa,Brasil,Brazil,-7.115,-34.863056,720954,210.6,,2.28,2014,2013,https://mydata.iadb.org/views/m7ru-9336/files/5N9YK2X1nbS2vnRTWHJiTCCqKnDfERQdf6vT7EFlTR4,
FLN,Florianopolis,Florianopolis,Brasil,Brazil,-27.595378,-48.54805,421203,436.5,,2.21,2015,2014,https://mydata.iadb.org/views/m7ru-9336/files/di8wmMjrerGaDIevEy62Ga6VKbADa31qM-RBUsx30Xk,
VIT,Vitoria,Vitoria,Brasil,Brazil,-20.319444,-40.337778,313300,93,,2.43,2015,2014,https://mydata.iadb.org/views/m7ru-9336/files/VEa0fjBKCQKyx0JkmKErEYsiYDRfQG0YbypBmJrGczc,
ZAL,Valdivia,Valdivia,Chile,Chile,-39.819586,-73.24521,140934,1016,,2.54,2015,2013,https://mydata.iadb.org/views/m7ru-9336/files/LVe9lR6IwTF-k8pCmmna3s0f0slT0R6WuhGI2kmpIPU,
