"figura_tabla","cap_tulo","t_tulo","indicador","sub_indicador","pa_s","a_o","mes","per_odo","rubro","valor","valor_u_d","fuente","notas"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Argentina",,,,,,,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/15",
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Brasil",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/15","a/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Paraguay",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/16","a/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Uruguay",,,"Hasta el 31/12/2021",,"50",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/17","b/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Uruguay",,,"Hasta el 31/12/2023",,"45",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/18","c/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Uruguay",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/19","a/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Argentina","Venezuela",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/20","a/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Brasil","Argentina",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/21","a/"
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Brasil","Brasil",,,,,,,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/22",
"Cuadro 8","Capítulo III","Régimen de Origen para el comercio intra MERCOSUR (Contenido máximo de insumos importados y vigencia del requisito)","Contenido máximo de insumos importados","Brasil","Paraguay",,,"Hasta el 31/12/2023",,"40",,"Fuente: BID-INTAL en base a CMC/Dec. N° 31/15 y 32/23","a/"
