"iddate","year","idgeo","isoalpha3","source","indicator","area","quintile","sex","education_level","age","ethnicity","value","se","cv","sample"
"year","1970","country","ARG","IPUMS","jefa_ch_PHC","Total","Total","Total","Total","Total","Total","0.16542664","0.10677424","0.64544767","121099.0"
"year","1970","country","ARG","IPUMS","pobfem_ci_PHC","Total","Total","Total","Total","Total","Total","0.5033342000000001","0.073178388","0.14538726","466827.0"
"year","1970","country","ARG","IPUMS","miembro6_ch_PHC","Total","Total","Total","Total","Total","Total","0.30180841","0.13191152","0.43707034","121100.0"
"year","1970","country","ARG","IPUMS","miembro6y16_ch_PHC","Total","Total","Total","Total","Total","Total","0.4252270900000001","0.14206541","0.33409303","121100.0"
"year","1970","country","ARG","IPUMS","miembro65_ch_PHC","Total","Total","Total","Total","Total","Total","0.21251032000000006","0.11755529","0.5531745","121100.0"
"year","1970","country","ARG","IPUMS","unip_ch_PHC","Total","Total","Total","Total","Total","Total","0.10474814","0.087998547","0.84009647","121100.0"
"year","1970","country","ARG","IPUMS","nucl_ch_PHC","Total","Total","Total","Total","Total","Total","0.60434353","0.14051762","0.23251283","121100.0"
"year","1970","country","ARG","IPUMS","ampl_ch_PHC","Total","Total","Total","Total","Total","Total","0.22284063","0.11958645","0.53664559","121100.0"
"year","1970","country","ARG","IPUMS","comp_ch_PHC","Total","Total","Total","Total","Total","Total","0.051461601","0.06348905","1.233717","121100.0"
"year","1970","country","ARG","IPUMS","corres_ch_PHC","Total","Total","Total","Total","Total","Total","0.01660611","0.036722094","2.2113602","121100.0"
"year","1970","country","ARG","IPUMS","tamh_ch_PHC","Total","Total","Total","Total","Total","Total","3.7813046","0.005806677","0.15356278","121100.0"
"year","1970","country","ARG","IPUMS","pob18_ci_PHC","Total","Total","Total","Total","Total","Total","0.36462322","0.070444152","0.19319712","466860.0"
"year","1970","country","ARG","IPUMS","pob65_ci_PHC","Total","Total","Total","Total","Total","Total","0.06987319500000001","0.037310708","0.53397745","466860.0"
"year","1970","country","ARG","IPUMS","union_ci_PHC","Total","Total","Total","Total","Total","Total","0.42070004","0.072866894","0.17320392","459004.0"
"year","1970","country","ARG","IPUMS","pobedad_ci_PHC","Total","Total","Total","Total","Total","Total","27.0",,,"466892.0"
"year","1970","country","ARG","IPUMS","prangoedad_00_15_PHC","Total","Total","Total","Total","Total","Total","0.31081909","0.067737252","0.21793145","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_16_30_PHC","Total","Total","Total","Total","Total","Total","0.24217110000000006","0.062698029","0.25889972","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_31_45_PHC","Total","Total","Total","Total","Total","Total","0.19753674","0.058269817","0.29498217","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_46_60_PHC","Total","Total","Total","Total","Total","Total","0.15032129000000002","0.052305188","0.34795594","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_61_75_PHC","Total","Total","Total","Total","Total","Total","0.080131092","0.039734762","0.49587199","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_76_90_PHC","Total","Total","Total","Total","Total","Total","0.01841023","0.019674411","1.0686673","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_91mas_PHC","Total","Total","Total","Total","Total","Total","0.00061046138","0.0036149612","5.921686599999999","466860.0"
"year","1970","country","ARG","IPUMS","prangoedad_00_15_PHC","Total","Total","men","Total","Total","Total","0.31702299","0.096636072","0.30482352","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_16_30_PHC","Total","Total","men","Total","Total","Total","0.24313263","0.089088641","0.36641994","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_31_45_PHC","Total","Total","men","Total","Total","Total","0.19898472","0.082912706","0.41667876","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_46_60_PHC","Total","Total","men","Total","Total","Total","0.14799207999999994","0.073744886","0.49830288","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_61_75_PHC","Total","Total","men","Total","Total","Total","0.076956916","0.055351023","0.71924686","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_76_90_PHC","Total","Total","men","Total","Total","Total","0.015505247","0.025658831","1.6548483","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_91mas_PHC","Total","Total","men","Total","Total","Total","0.00040542230000000006","0.0041807732","10.312143","231857.0"
"year","1970","country","ARG","IPUMS","prangoedad_00_15_PHC","Total","Total","women","Total","Total","Total","0.30465166","0.094950594","0.31166938","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_16_30_PHC","Total","Total","women","Total","Total","Total","0.24120525","0.08825722300000001","0.3659009","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_31_45_PHC","Total","Total","women","Total","Total","Total","0.19613567","0.081915177","0.41764548","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_46_60_PHC","Total","Total","women","Total","Total","Total","0.15264076","0.074193142","0.48606375","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_61_75_PHC","Total","Total","women","Total","Total","Total","0.08327446","0.05699940000000001","0.68447638","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_76_90_PHC","Total","Total","women","Total","Total","Total","0.021279311","0.029771648","1.3990889","234970.0"
"year","1970","country","ARG","IPUMS","prangoedad_91mas_PHC","Total","Total","women","Total","Total","Total","0.00081286974","0.0058793402","7.2328199999999985","234970.0"
"year","1970","country","ARG","IPUMS","tasa_bruta_asis_PHC","Total","Total","Total","primary","Total","Total","102.57832","0.2684069000000001","0.26166043","466860.0"
"year","1970","country","ARG","IPUMS","tasa_neta_asis_PHC","Total","Total","Total","primary","Total","Total","0.82357964","0.16416816","0.19933492","466860.0"
"year","1970","country","ARG","IPUMS","tasa_bruta_asis_PHC","Total","Total","Total","secondary","Total","Total","47.80370300000001","0.2630668","0.55030632","466860.0"
"year","1970","country","ARG","IPUMS","tasa_neta_asis_PHC","Total","Total","Total","secondary","Total","Total","0.36924011","0.21351874","0.57826531","466860.0"
"year","1970","country","ARG","IPUMS","tasa_bruta_asis_PHC","Total","Total","Total","tertiary","Total","Total","24.861132","0.23377535","0.94032466","466860.0"
"year","1970","country","ARG","IPUMS","tasa_neta_asis_PHC","Total","Total","Total","tertiary","Total","Total","0.095991011","0.13436267","1.3997421","466860.0"
"year","1970","country","ARG","IPUMS","Ninis_2_PHC","Total","Total","Total","Total","15_24","Total","0.23501955","0.14939415","0.63566691","80555.0"
