"year","county","mortality_per_100_000","geocoded_column"
"2014","Arenac","65.3","POINT (-83.893019 44.074876)"
"2016","Saginaw","47.8","POINT (-84.016742 43.404425)"
"2011","Washtenaw","32.9","POINT (-83.84730200000001 42.307649)"
"2012","Ogemaw","65.3","POINT (-84.185712 44.327074)"
"2011","Manistee","76.8","POINT (-86.324223 44.24447)"
"2013","Calhoun","43.7","POINT (-85.023346 42.207391)"
"2013","Wexford","55.3","POINT (-85.520024 44.387157)"
"2015","Marquette","29.7","POINT (-87.559382 46.644579)"
"2014","Wayne","46.7","POINT (-83.336188 42.279075)"
"2010","Cheboygan","57.5","POINT (-84.56362800000001 45.547226)"
"2016","Gratiot","60.7","POINT (-84.68975 43.283651)"
"2016","Montcalm","54","POINT (-85.189405 43.305734)"
"2014","Wexford","45.6","POINT (-85.520024 44.387157)"
"2016","Alger",,"POINT (-86.490452 46.424618)"
"2017","Ogemaw","52.4","POINT (-84.185712 44.327074)"
"2014","Livingston","47.9","POINT (-83.84730200000001 42.620795)"
"2010","Livingston","28.2","POINT (-83.84730200000001 42.620795)"
"2010","Chippewa","44","POINT (-84.593209 46.311708)"
"2016","Lake","139.2","POINT (-85.848624 43.9447)"
"2013","Wayne","41.1","POINT (-83.336188 42.279075)"
"2014","Iosco","74.7","POINT (-83.638623 44.334046)"
"2016","Gogebic","78.7","POINT (-89.921474 46.439279)"
"2010","Marquette","46.2","POINT (-87.559382 46.644579)"
"2013","Antrim","60.3","POINT (-85.176909 44.973044)"
"2016","Dickinson","86.2","POINT (-87.86161 45.960139)"
"2012","Tuscola","31.1","POINT (-83.50702 43.530114000000005)"
"2013","Luce","107.3","POINT (-85.513329 46.582751)"
"2011","Clinton","42","POINT (-84.522219 42.966346)"
"2017","Isabella","54.9","POINT (-84.856793 43.598799)"
"2016","Chippewa","45.1","POINT (-84.593209 46.311708)"
"2015","Newaygo","41.7","POINT (-85.766664 43.559358)"
"2013","Menominee","67.4","POINT (-87.574628 45.499528)"
"2016","Ionia","32.7","POINT (-85.023346 42.989212)"
"2017","Montcalm","40.9","POINT (-85.189405 43.305734)"
"2013","Alger",,"POINT (-86.490452 46.424618)"
"2013","Iosco","78.8","POINT (-83.638623 44.334046)"
"2017","Genesee","79.3","POINT (-83.677393 43.077729)"
"2014","Hillsdale","65.3","POINT (-84.522219 41.868596)"
"2012","Schoolcraft","83.8","POINT (-82.648344 43.016179)"
"2013","Alcona","113.5","POINT (-83.60224 44.672794)"
"2015","Van Buren","41.3","POINT (-86.012157 42.245967)"
"2014","Midland","45.5","POINT (-84.354205 43.575098)"
"2010","Genesee","53.2","POINT (-83.677393 43.077729)"
"2013","Midland","40.7","POINT (-84.354205 43.575098)"
"2010","Sanilac","58","POINT (-84.185712 42.949754)"
"2012","Shiawassee","44.8","POINT (-85.520024 41.911804)"
"2010","Saginaw","45","POINT (-84.016742 43.404425)"
"2013","Charlevoix","57.3","POINT (-85.061904 45.244217)"
"2010","Menominee","62.6","POINT (-87.574628 45.499528)"
"2014","Crawford","65.4","POINT (-84.68975 44.652432)"
"2012","Oscoda","93.1","POINT (-84.185712 44.62789)"
"2013","Mecosta","48.5","POINT (-85.354965 43.620103)"
"2017","Lenawee","41.6","POINT (-84.016742 41.843386)"
"2015","Benzie","51.6","POINT (-86.037126 44.645845)"
"2010","Missaukee","74.3","POINT (-85.023346 44.366621)"
"2017","Grand Traverse","65.4","POINT (-85.520024 44.687984)"
"2012","Marquette","44.2","POINT (-87.559382 46.644579)"
"2016","Ingham","34","POINT (-84.354205 42.646894)"
"2013","Cheboygan","85.9","POINT (-84.56362800000001 45.547226)"
"2010","Eaton","40.8","POINT (-84.773332 42.58865)"
