"name_of_scholarship","url","county","deadline_date"
"STARR Charitable Foundation Scholarship","https://starr.msu.edu/","Baraga","2223-06-16T00:00:00.000"
"Adrian College Academic Scholarships","http://adrian.edu/admissions/financial-aid/tuition-scholarships/","Lenawee","2222-02-22T00:00:00.000"
"STARR Charitable Foundation Scholarship","https://starr.msu.edu/","Chippewa","2223-06-17T00:00:00.000"
"Cass Community Foundation Scholarships","http://casscountycf.org/pages/applying+for+a+scholarship/32","Cass","2022-01-29T00:00:00.000"
"STARR Charitable Foundation Scholarship","https://starr.msu.edu/","Delta","2223-06-18T00:00:00.000"
"Macomb County Bar Foundation","https://www.macombbar.org/foundation-scholarships/","Macomb","2222-02-24T00:00:00.000"
"Trustees Law School Scholarship","https://www.macombbar.org/foundation-scholarships/","Macomb","2222-02-25T00:00:00.000"
"Mattawan Public Education Foundation Scholarships","http://mpef.org/senior-scholarships/","Van Buren","2222-01-02T00:00:00.000"
"The Vomberg Trumley Foundation Scholarship","http://vombergtrumleyfoundation.weebly.com/applications.html","Eaton","2022-04-30T00:00:00.000"
"Judith A. Quinn Detroit Member Chapter Scholarship","http://www.aist.org/students-faculty/scholarships/local-member-chapter-scholarships/judith-a-quinn-detroit-chapter-scholarship","Wayne","2222-04-30T00:00:00.000"
"MLK Regional Scholarship","http://www.bayfoundation.org/students-menu/scholarship-opportunities/mlk-regional-scholarship","Bay","2222-09-01T00:00:00.000"
"MLK Regional Scholarship","http://www.bayfoundation.org/students-menu/scholarship-opportunities/mlk-regional-scholarship","Midland","2222-09-02T00:00:00.000"
"MLK Regional Scholarship","http://www.bayfoundation.org/students-menu/scholarship-opportunities/mlk-regional-scholarship","Saginaw","2222-09-03T00:00:00.000"
"Arthur and Bonna Vanderlyn Scholarship","http://www.berriencommunity.org/scholar","Van Buren","2222-03-04T00:00:00.000"
"Branch County Community Foundation","http://www.brcofoundation.org/scholarships/","Branch","2222-03-04T00:00:00.000"
"Rich Duvall Memorial Scholarship Fund","http://www.cfmonroe.org/apply/scholarships/","Wayne","2222-02-21T00:00:00.000"
"The Detroit College Promise Scholarship","https://detroitpromise.com/do-i-qualify/","Wayne","2222-03-08T00:00:00.000"
"Delta Schoolcraft Intermediate School District","http://www.dsisd.net/cms/One.aspx?portalId=124530&pageId=31796586","Delta","2222-03-09T00:00:00.000"
"Delta Schoolcraft Intermediate School District","http://www.dsisd.net/cms/One.aspx?portalId=124530&pageId=31796586","Schoolcraft","2222-03-10T00:00:00.000"
"Elizabeth Wilson Camp Scholarship","http://www.elizabethwilsonfoundation.org/camp-scholarships.html","Lenawee","2222-03-11T00:00:00.000"
"Escanaba Rotary Club Scholarships","http://www.escanabarotary.org/scholarshipsforeign-exchange.html","Delta","2222-03-12T00:00:00.000"
"Fruiport Education Foundation Scholarships","http://www.fruitporteducationfoundation.com/scholarships.html","Muskegon","2222-03-13T00:00:00.000"
"The Genesee Opportunity","http://www.geneseego.org/","Genesee","2222-03-14T00:00:00.000"
