"category","title","year"
"Report of the State Geologist","ERP: Report of the State Geologist 1838 &#91;House No. 14&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1838_House_14_306036_7.pdf)","1838"
"Report of the State Geologist","ERP: Report of the State Geologist 1838 &#91;House No. 14&#93; - Houghton OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1838_House_14_opt_306037_7.pdf)","1838"
"Annual Report","ERP: Annual Report of the State Geologist 1839 &#91;House No. 23&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1839_House_23_306861_7.pdf)","1839"
"Annual Report","ERP: Annual Report of the State Geologist 1839 &#91;House No. 23&#93; - Houghton Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1839_House_23A_opt_306864_7.pdf)","1839"
"Annual Report","ERP: Annual Report of the State Geologist 1839 &#91;House No. 23&#93; - Houghton Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1839_House_23B_opt_306866_7.pdf)","1839"
"Annual Report","ERP: Annual Report of the State Geologist 1840 &#91;House No. 8&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1840_House_8_306038_7.pdf)","1840"
"Annual Report","ERP: Annual Report of the State Geologist 1840 &#91;House No. 8&#93; - Houghton OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1840_House_8_opt_306039_7.pdf)","1840"
"Annual Report","ERP: Annual Report of the State Geologist 1840 &#91;Senate No. 8&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1840_Senate_8_306040_7.pdf)","1840"
"Annual Report","ERP: Annual Report of the State Geologist 1840 &#91;Senate No. 8&#93; - Houghton OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1840_Senate_8_opt_306041_7.pdf)","1840"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;House No. 27&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1841_House_27_306042_7.pdf)","1841"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;House No. 27&#93; - Houghton Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1841_House_27A_opt_306044_7.pdf)","1841"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;House No. 27&#93; - Houghton Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1841_House_27B_opt_306046_7.pdf)","1841"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;Joint Doc. 11&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1841_Joint_11_306047_7.pdf)","1841"
