"date","michiganmotorvehicleproductionyearly_thousands","month","michiganmonthlyvehicleproduction","highlights"
"1990","2696761","Jan-90","133905",
"1991","2160036","Feb-90","216674",
"1992","2444388","Mar-90","282292",
"1993","2810738","Apr-90","235686",
"1994","3410303","May-90","290275",
"1995","3084498","Jun-90","284386",
"1996","2899082","Jul-90","159751",
"1997","2996426","Aug-90","233998",
"1998","2783328","Sep-90","249816",
"1999","3107798","Oct-90","292083",
"2000","3092635","Nov-90","185378",
"2001","2687045","Dec-90","132517",
"2002","2895548","Jan-91","166248",
"2003","2783681","Feb-91","179952",
"2004","2596312","Mar-91","166300",
"2005","2513551","Apr-91","185433",
"2006","2275269","May-91","184451",
"2007","2331219","Jun-91","176401",
"2008","1843857","Jul-91","142576",
"2009","1145626","Aug-91","189994",
"2010","1576992","Sep-91","195894",
"2011","1924207","Oct-91","243866",
"2012","2258961","Nov-91","177778",
"2013","2473651","Dec-91","151143",
"2014","2357802","Jan-92","140781",
"2015","2327142","Feb-92","172910",
"2016","2387813","Mar-92","201293",
"2017","2098239","Apr-92","214927",
"2018","1832252","May-92","239110",
"2019","1914954","Jun-92","247098",
"2020","1587085","Jul-92","140905",
,,"Aug-92","215635",
,,"Sep-92","213577",
,,"Oct-92","248268",
,,"Nov-92","194962",
,,"Dec-92","214922",
,,"Jan-93","205675",
,,"Feb-93","229718",
,,"Mar-93","293813",
,,"Apr-93","265025",
,,"May-93","255852",
,,"Jun-93","266913",
,,"Jul-93","129747",
,,"Aug-93","180448",
,,"Sep-93","197048",
,,"Oct-93","264505",
,,"Nov-93","264167",
,,"Dec-93","257827",
,,"Jan-94","286409",
,,"Feb-94","291413",
,,"Mar-94","327153",
,,"Apr-94","280975",
,,"May-94","308034",
,,"Jun-94","320068",
,,"Jul-94","129142",
,,"Aug-94","298109",
,,"Sep-94","295597",
,,"Oct-94","315691",
,,"Nov-94","296048",
,,"Dec-94","261664",
,,"Jan-95","262847",
,,"Feb-95","291229",
,,"Mar-95","341946",
,,"Apr-95","253230",
,,"May-95","275518",
,,"Jun-95","292560",
,,"Jul-95","110135",
,,"Aug-95","234410",
,,"Sep-95","250646",
,,"Oct-95","288944",
,,"Nov-95","260338",
,,"Dec-95","222695",
,,"Jan-96","246252",
,,"Feb-96","270345",
,,"Mar-96","190958",
,,"Apr-96","273340",
,,"May-96","281104",
,,"Jun-96","255065",
,,"Jul-96","138050",
,,"Aug-96","256770",
,,"Sep-96","260132",
,,"Oct-96","275293",
,,"Nov-96","248524",
,,"Dec-96","203249",
,,"Jan-97","257998",
,,"Feb-97","264803",
,,"Mar-97","264207",
,,"Apr-97","252380",
,,"May-97","251218",
,,"Jun-97","242997",
,,"Jul-97","127700",
,,"Aug-97","252740",
,,"Sep-97","281882",
,,"Oct-97","312349",
,,"Nov-97","257852",
,,"Dec-97","230300",
,,"Jan-98","210877",
,,"Feb-98","230757",
,,"Mar-98","269008",
,,"Apr-98","280381",
,,"May-98","253820",
,,"Jun-98","185933",
,,"Jul-98","78282",
,,"Aug-98","233397",
,,"Sep-98","274835",
,,"Oct-98","280775",
,,"Nov-98","243805",
,,"Dec-98","241458",
,,"Jan-99","225017",
,,"Feb-99","265077",
,,"Mar-99","311308",
,,"Apr-99","270909",
,,"May-99","268942",
,,"Jun-99","284642",
,,"Jul-99","145307",
,,"Aug-99","271911",
,,"Sep-99","280229",
,,"Oct-99","295857",
,,"Nov-99","265822",
,,"Dec-99","222777",
,,"Jan-00","267928",
,,"Feb-00","298413",
,,"Mar-00","330419",
,,"Apr-00","257448",
,,"May-00","305463",
,,"Jun-00","297635",
,,"Jul-00","128509",
,,"Aug-00","284184",
,,"Sep-00","250606",
,,"Oct-00","274162",
,,"Nov-00","221653",
,,"Dec-00","176215",
