"month","procurement_hard_savings","procurement_har_savings_target","procurement_nps","procurement_csat","css_csc_contact_resolution","ors_customer_contact","dtmb_engagementscore","dtmb_engagement_action_plan","bls_deliverables_completed","freight_services_at_market_rate","savings_from_reutilized_property","dtmb_customer_satisfaction_score","lmisi_gf_deliverables_completed","bls_deliverables_target","gen_fund_deliverables_target"
"2015-01-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-02-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-03-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-04-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-05-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-06-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-07-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-08-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-09-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-10-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-11-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2015-12-01T00:00:00.000",,,,,,,"0.79",,,,,"0.56",,,
"2016-01-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-02-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-03-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-04-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-05-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-06-01T00:00:00.000",,,,,,,,,,,,,,,
"2016-07-01T00:00:00.000",,,,,,,,,"0.86",,,,,"0.86",
"2016-08-01T00:00:00.000",,,,,,,,,"0.93",,,,,"0.93",
"2016-09-01T00:00:00.000",,,,,,,,,"1.00",,,,,"1.00",
"2016-10-01T00:00:00.000","11200000","5000000",,,,,,,"0.10",,,,,"0.10",
"2016-11-01T00:00:00.000","11200000","5000000",,,,,,,"0.18",,,,,"0.18",
"2016-12-01T00:00:00.000","11200000","5000000",,,,,,,"0.25",,,,,"0.25",
"2017-01-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.35",,,"0.71",,"0.35",
"2017-02-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.41",,,"0.71",,"0.40",
"2017-03-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.52",,,"0.71",,"0.53",
"2017-04-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.62",,,"0.71",,"0.62",
"2017-05-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.70",,,"0.71",,"0.70",
"2017-06-01T00:00:00.000","11200000","5000000","88",,,,"0.83",,"0.76",,,"0.71",,"0.77",
"2017-07-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.86",,,"0.71",,"0.86",
"2017-08-01T00:00:00.000","11200000","5000000",,,,,"0.83",,"0.93",,,"0.71",,"0.93",
"2017-09-01T00:00:00.000","11200000","5000000","56",,,,"0.83",,"1.00",,,"0.71",,"1.00",
"2017-10-01T00:00:00.000","8800000","7000000",,,,,"0.83",,"0.09",,,"0.71",,"0.08",
