"ticket_last_updated_date_time","ticket_id","issue_type","issue_description","secondary_issue_type","street_address","city","state","zip_code","ticket_status","ticket_created_date_time","ticket_closed_date_time","case_closure_reason","neighborhood_district","neighborhood_district_secondary","locatable","latitude","longitude","count","location"
"2015-05-14T11:10:38.000","101000000321","Missed bus stop","Missed bus stop","Transit",,,,,"Closed","2015-05-08T08:08:00.000","2015-05-14T11:10:38.000","Case Resolved","Ward 4",,"true","53.5614","-113.257","1","POINT (-113.257 53.5614)"
"2015-05-14T10:02:41.000","101000000343","Bus route or schedule compliment","Bus route or schedule compliment","Transit",,,,,"Closed","2015-05-08T14:40:00.000","2015-05-14T10:02:41.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-11T08:37:59.000","101000000369","Transit other complaint","Transit other complaint","Transit",,,,,"Closed","2015-05-11T08:33:00.000","2015-05-11T08:37:59.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-14T11:15:07.000","101000000372","Transit other complaint","Transit other complaint","Transit",,,,,"Closed","2015-05-11T09:00:00.000","2015-05-14T11:15:07.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-11T09:49:22.000","101000000377","Transit other complaint","Transit other complaint","Transit",,,,,"Closed","2015-05-11T09:44:00.000","2015-05-11T09:49:22.000","Case Resolved","No Location",,"false",,,"1",
"2015-12-02T09:43:55.000","101000000436","Transit other complaint","Transit other complaint","Transit",,,,,"Closed","2015-05-12T15:12:00.000","2015-12-02T09:43:55.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-14T13:41:11.000","101000000493","Bus route or schedule suggestion","Bus route or schedule suggestion","Transit",,,,,"Closed","2015-05-14T13:37:00.000","2015-05-14T13:41:11.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-15T14:26:21.000","101000000550","Bus route or schedule suggestion","Bus route or schedule suggestion","Transit",,,,,"Closed","2015-05-15T14:20:00.000","2015-05-15T14:26:21.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-26T11:21:46.000","101000000629","Transit driver or staff behaviour concern","Transit driver or staff behaviour concern","Transit",,,,,"Closed","2015-05-20T12:47:00.000","2015-05-26T11:21:46.000","Case Resolved","No Location",,"false",,,"1",
"2015-05-21T10:48:07.000","101000000642","Transit driver or staff behaviour compliment","Transit driver or staff behaviour compliment","Transit",,,,,"Closed","2015-05-20T14:46:00.000","2015-05-21T10:48:07.000","Case Resolved","No Location",,"false",,,"1",
"2015-06-01T15:33:43.000","101000000942","Assessment clarification","Assessment clarification","Assessment & Tax","1232 FOXWOOD CR  Sherwood Park AB","Sherwood Park","AB","T8A 4X5","Closed","2015-06-01T09:32:00.000","2015-06-01T15:33:43.000","Case Resolved","Ward 8",,"true","53.5208","-113.249","1","POINT (-113.249 53.5208)"
"2015-06-01T11:54:49.000","101000000943","Assessment clarification","Assessment clarification","Assessment & Tax",,,,,"Closed","2015-06-01T10:51:00.000","2015-06-01T11:54:49.000","Case is Invalid","No Location",,"false",,,"1",
"2015-06-01T11:03:51.000","101000000944","Assessment clarification","Assessment clarification","Assessment & Tax",,,,,"Closed","2015-06-01T11:02:00.000","2015-06-01T11:03:51.000","Case is Invalid","No Location",,"false",,,"1",
"2015-06-01T12:28:01.000","101000000945","Assessment clarification","Assessment clarification","Assessment & Tax","53126 RNG RD 214 RNG RD  Strathcona County AB","Strathcona County","AB","T8E 2E1","Closed","2015-06-01T11:14:00.000","2015-06-01T12:28:01.000","Case Resolved","Ward 5",,"true","53.5604","-113.051","1","POINT (-113.051 53.5604)"
"2015-06-16T11:29:21.000","101000000946","Assessment clarification","Assessment clarification","Assessment & Tax","278 52224 RNG RD 231 RNG RD  Strathcona County AB","Strathcona County","AB","T8B 1N3","Closed","2015-06-01T11:24:00.000","2015-06-16T11:29:21.000","Case Resolved","Ward 6",,"true","53.4873","-113.282","1","POINT (-113.282 53.4873)"
