"category","indicator","sub_indicator","locality","gender","council_district","fiscal_year","fy_qtr","calendar_year","cy_qtr","quarter_start","as_of_date","unit_of_measure","unit_text","value","source"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2015","2015-02","2014","2014-04","10-1-2014","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10944584","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2012","2012-02","2011","2011-04","10-1-2011","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9691738.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2017","2017-02","2016","2016-04","10-1-2016","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","11515882","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2016","2016-04","2016","2016-02","4-1-2016","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10969188","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2001","2001-02","2000","2000-04","10-1-2000","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7952557.8","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2014","2014-04","2014","2014-02","4-1-2014","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10895422","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2016","2016-01","2015","2015-03","7-1-2015","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","11031423","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2001","2001-04","2001","2001-02","4-1-2001","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7874566.9","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2007","2007-02","2006","2006-04","10-1-2006","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9939119.6","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2001","2001-01","2000","2000-03","7-1-2000","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7858873.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2013","2013-01","2012","2012-03","7-1-2012","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10003259","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2012","2012-02","2011","2011-04","10-1-2011","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9686820","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2009","2009-01","2008","2008-03","7-1-2008","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9989165.6","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2010","2010-02","2009","2009-04","10-1-2009","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8456333.8","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2010","2010-03","2010","2010-01","1-1-2010","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8540892.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2009","2009-04","2009","2009-02","4-1-2009","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8277444.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2015","2015-03","2015","2015-01","1-1-2015","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10954910","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2016","2016-03","2016","2016-01","1-1-2016","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10859630","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2011","2011-01","2010","2010-03","7-1-2010","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8715287.8","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2007","2007-03","2007","2007-01","1-1-2007","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10169809","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2004","2004-01","2003","2003-03","7-1-2003","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8442884.6","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2002","2002-01","2001","2001-03","7-1-2001","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7762637.6","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2007","2007-01","2006","2006-03","7-1-2006","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9904329.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2015","2015-02","2014","2014-04","10-1-2014","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10941764","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2002","2002-01","2001","2001-03","7-1-2001","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7738204.8","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2005","2005-04","2005","2005-02","4-1-2005","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9265188.6","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2006","2006-03","2006","2006-01","1-1-2006","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9673554.2","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2010","2010-03","2010","2010-01","1-1-2010","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8553140.2","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2007","2007-02","2006","2006-04","10-1-2006","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9966331","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2009","2009-02","2008","2008-04","10-1-2008","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8972730.7","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2016","2016-01","2015","2015-03","7-1-2015","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","11093625","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2013","2013-03","2013","2013-01","1-1-2013","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10347389","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL ALL OUTLETS","LOS ANGELES CITY",,"CITY TOTAL","2002","2002-02","2001","2001-04","10-1-2001","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","8063232.1","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2007","2007-04","2007","2007-02","4-1-2007","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","9966907.9","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2002","2002-03","2002","2002-01","1-1-2002","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","7774540","BOARD OF EQUALIZATION"
"TAXABLE SALES","TAXABLE SALES","TOTAL","LOS ANGELES CITY",,"CITY TOTAL","2012","2012-03","2012","2012-01","1-1-2012","04-11-2017","$","THOUSANDS, SEASONALLY ADJUSTED","10000509","BOARD OF EQUALIZATION"
