"age","year","estimate"
"Under 5 years","2015-01-01T00:00:00.000","6.60"
"5 to 19 years","2015-01-01T00:00:00.000","22.30"
"20 to 44 years","2015-01-01T00:00:00.000","33.70"
"45 to 59 years","2015-01-01T00:00:00.000","18.80"
"60 years and older","2015-01-01T00:00:00.000","18.70"
